Арҽхәаԥхьыӡқәа, жәҩантәылақәа рынцәахәы Аллаҳ иузкуп.	﻿Хвала Аллаху, Господу миров,
Иԥшьоу ажәа ҳабжьара иараӡә заҵәык имацара иоума иззаашьҭу? Мап! Уи мыцҳәаҩык, ҽхарззалаҩык иоуп!»	Неужели среди всех нас напоминание ниспослано только ему одному? О нет! Он — надменный лжец».
Амцҳәаҩ, аҽхарззалаҩы дызусҭоу уаҵәы ирбараны иҟоуп!	Завтра они узнают, кто является надменным лжецом!
Ииашаҵәҟьаны, ҳара, урҭ ԥаҳшәарц азы ажәмахҽ рзынаҳашьҭит. Умыццакын, ачҳара аарԥшы.	Аллах сказал их пророку: «Мы посылаем верблюдицу для того, чтобы испытать их. Подожди же и будь терпелив.
Насгьы, амахҽи дареи рыбжьара аӡыхь шеиҩыршаша рзеиҭаҳәа. Ирзалху аамҭа иақәыршәаны аӡы ахықәахь инеилааит.	Сообщи им, что вода поделена между ними и верблюдицей. Пусть же они приходят попить каждый раз в отведенное для них время».
Ус ишыҟаз, рҩызцәа рахьтә иреицәаз иԥхеит. Уигьы иаҳәа аашьҭыхны, амахҽ ишьит.	Они позвали своего товарища, и тот схватил верблюдицу и перерезал ей поджилки.
Сыргәаҟреи сыгәҽанҵарақәеи зеиԥшрахеи?	Какими же были мучения от Меня и предостережения Мои!
Бжьыҭҟьак рыжәаҳҵеит. Ауасақәа рыҭраҿы иԥсаҟьаны иҭаԥсоу аҭәа иаҩызахеит.	Воистину, Мы наслали на них всего лишь один вопль, и они уподобились сену хозяина загона.
Ииашаҵәҟьаны, Аҟәырҟан иазхәыцааит ҳәа иҳармариеит. Еилызкаауа дыҟаӡами?	Мы облегчили Коран для поминания. Но есть ли среди вас вспоминающие?
Луҭ ижәларгьы агәҽанҵарақәа ирызхьамԥшкәа уи амцҳәара идыркылеит.	Народ Лута (Лота) счел ложью предостережения.
Ҳаргьы ԥшатлакә ахаҳә ацны ирзынаҳашьҭит. Аха, Луҭ иҭаацәара ашамҭаз еиқәҳархеит.	Мы наслали на них ураган с камнями, и только семью Лута (Лота) Мы спасли перед рассветом
Ҳаҭәашьара иалаҳархәит. Иҭабуп аҳәашьа иақәшәаз абас ауп ҳалԥха шырзаҳшо.	по милости от Нас. Так Мы воздаем тем, кто благодарен.
Амала, Луҭ, урҭ ргәырҽаниҵахьан иаалырҟьаны ишықәаҳхуала. Аха дара уи игәҽанҵарақәа гәыҩбарала иазнеит.	Он предостерег их от Нашей Хватки, но они усомнились в его предостережениях.
Насгьы урҭ, рысасцәа ихәымгаз ҭахрак ала ирыдгылеит. Ҳаргьы рыблақәа аш рхаҳҵеит, иҳарлашәит. Ргьама жәба абыржәы, сыргәаҟреи, шәгәы злашәҽанысҵаз рылҵшәақәа!	Они настойчиво требовали от него его гостей, и тогда Мы лишили их зрения. Вкусите же мучения от Меня и предостережения Мои!
Аҵыхәтәан, ашьыжь шаанӡа гәаҟра ҿаасҭак урҭ ирыхьӡеит.	На утро их постигли неотвратимые мучения.
Сыргәаҟреи, шәгәы злашәҽанысҵаз рылҵшәақәеи ргьама жәба абыржәы!	Вкусите же мучения от Меня и предостережения Мои!
Ииашаҵәҟьаны, Аҟәырҟан иазхәыцааит ҳәа иҳармариеит. Еилызкаауа дыҟаӡами?	Мы облегчили Коран для поминания. Но есть ли среди вас вспоминающие?
Ҳәарада, Фараон ижәларгьы агәҽанҵарақәа рзынаҳашьҭхьан.	Предостережения также явились к роду Фараона.
Аха ҳаршаҳаҭгақәа зегьы имцны ирыԥхьаӡеит, ҳаргьы, урҭ иҳараку, насгьы амч змаҵәҟьоу ишихәҭаз ала иақәаҳкит.	Они сочли ложью все Наши знамения, и Мы схватили их Хваткой Могущественного, Всемогущего.
Уажәы шәара шәмапкыҩцәа убарҭ раасҭа иеиӷьума? Мамзаргьы иԥшьоу ашәҟәқәа рҿы шәхы злеиқәшәырхаша аршаҳаҭгақәа ыҟоума?	Разве ваши неверующие лучше тех? Или же у вас есть неприкосновенность, упомянутая в Писаниях?
Мамзаргьы: «Ҳарҭ ашьаура зылшо, иаҵамхаша уаауп» рҳәоума?	Или же они говорят: «Мы являемся победоносной группой».
Ааигәа урҭгьы аҵахоит, шьҭахьҟа имхьаԥшкәа ибналарангьы иҟоуп.	Эта группа будет разбита, и они обратятся вспять!
Аха, урҭ ирзыԥшыҵәҟьоу, акаамеҭ амш ауп. Уи амш, ҳәарада, еиҳа игәыҭҟьагоуп, еиҳа ихьаагоуп.	Час является назначенным для них сроком, и Час этот — самый тяжкий, самый горький.
Абри ииашаҵәҟьоуп, зыԥсҭазаара агәырԥса иалахәаҽыз, амҩа иаша иацәыхҟьаны иеилагаз ауаа роуп.	Воистину, грешники сбились с пути и страдают (или отдалились от истины).
Уи амш, амца ашҟа ианыԥхарҵалак: «Агьама жәба абыржәы, џьаҳаным аргәаҟра!» ҳәа раҳәахоит.	В тот день их ничком поволокут в Огонь: «Вкусите прикосновение Преисподней!».
Ҳәарада, ҳара зегьы шәага-загак ала иаҳшеит.	Воистину, Мы сотворили каждую вещь согласно предопределению.
Ҳара ҳадҵа, ажәак ауп, алеи-аԥси рыбжьара иааҟалоит.	Мы повелеваем только один раз, и повеление исполняется в мгновение ока.
Ииашаҵәҟьаны, шәара шәҩызцәа иагьа жәларқәа ықәаҳгахьеит. Иазхәыцуа ыҟаӡами?	Мы уже погубили подобных вам. Но есть ли среди вас вспоминающие?
Иҟарҵаз зегьы иҩны ишьҭоуп.	Все, что они совершили, есть в книгах деяний.
Ихәыҷы, идуу зегьы цәаҳәа цәаҳәала ианҵоуп.	Все малое и великое уже начертано.
Агәырԥса зҽацәызыхьчаз ракәзар, џьанаҭ аҟны аӡиасқәа рхықә аҟны иҟоуп.	Воистину, богобоязненные пребудут в Райских садах и среди рек
Аиашара аҳра ахьауа аҭыԥ – зымчра ҳәаа амам Аллаҳ иҿаԥхьа ауп.	на седалище истины возле Всемогущего Властелина.
Азылыԥхаҩы,	Милостивый
Аҟәырҟан иирҵеит,	научил Корану,
Ауаԥсы дишеит,	создал человека
Уи аилкаареи, аиҭаҳәареи иирҵеит.	и научил его изъясняться.
Амреи амзеи шәага-загак инақәыршәаны иныҟәоит.	Солнце и луна движутся согласно рассчитанному порядку.
Ашьацқәагьы аҵлақәагьы иҿаԥхьа ихырхәоит.	Травы (или звезды) и деревья совершают поклоны.
Ажәҩан, Иара иоуп ишьҭызхыз, ашәага-загагьы уи иазаԥиҵеит.	Он возвысил небо и установил весы,
Иахырҟьаны аҳәаа шәахымсырц азы.	чтобы вы не преступали границы дозволенного на весах.
Акапанра ииашаны, ишахәҭоу ала иҟашәҵа, иагырханы ишәымкапанын.	Взвешивайте беспристрастно и не занижайте вес.
Аԥсабара унахәаԥш, ԥсызхоу зегьы рзы ишеиҵихыз убап.	Он установил землю для тварей.
Уаҟа ашәырқәеи, иптыз ахәырмаҵлақәеи ыҟоуп.	На ней есть фрукты и финиковые пальмы с чашечками (или волокнами),
Иҵәыӷьаз арыцқәеи, афҩыхаа змоу аҵиаақәеи ыҟоуп.	а также злаки с листьями и травы благоуханные.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Ауаҩԥсы, иӡу анышәаԥшь еиԥшу, нышәк далихит.	Он создал человека из сухой (или звенящей) глины, подобной гончарной,
Аџьинцәагьы амцаҵәҟьа иалихит.	и создал джиннов из чистого пламени (или из пламени, смешанного с дымом).
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Ҩ-мрагыларагки, ҩ-мраҭәашәараки ирынцәоу Иара иоуп.	Господь обоих востоков и Господь обоих западов!
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Иара, иеиԥыло ҩ-мшынк еицеиуижьит.	Он смешал два моря, которые встречаются друг с другом.
Аха рыбжьара ԥынгылак ыҟоуп, изеилалом.	Между ними существует преграда, которую они не могут преступить.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Урҭ аҩбагьы рҟынтә абырлаши акоралли ҭыргоит.	Из них обоих вылавливают жемчуг и кораллы.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Иара итәуп ашьхақәа иреиԥшны иӡсо амшын иху зыԥрақәа шьҭыху аӷбақәа.	Ему принадлежат плывущие по морю с поднятыми парусами корабли, подобные горам.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Адгьылтәыла иқәу зегьы аԥсра рықәуп.	Все на ней (земле) смертны.
Идуӡӡоу, ирыцҳашьаҩӡоу Унцәа иакәзар, Уи наунагӡа дыҟоуп.	Вечен лишь Лик Господа твоего, обладающий величием и великодушием.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Ажәҩанқәеи адгьыли рҿы иҟоу зегьы Иара иҳәоит. Есыҽны иара аус даҿуп.	Его просят те, кто на небесах и на земле, и каждый день Он занят делом.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп  ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Уа ауааԥсыреи аџьинцәеи! Шәаргьы шәҳасаб ҳазҵаараны ҳаҟоуп.	Скоро Мы займемся только вами, о два весомых (или обремененных) рода!
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Уа ауааԥсыреи аџьин жәларқәеи! Ажәҩанқәеи адгьыли рҳәаақәа шәзырхысуазар, шәахыс! Аха, уи аҩыза амч ду ҳара ишәаҳамҭакәа хысшьа шәымаӡам.	О сонмище джиннов и людей! Если вы можете проникнуть за пределы небес и земли, то проникните. Но вы не проникните, не обладая властью (или ясным доводом)!
Уажәшҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Амцабзи ирҭәоу абҩеи аншәыжәырҵалак, хеиқәырхашьагьы цхыраарагьы шәауӡом.	На вас нашлют зеленое пламя (или пламя без дыма) и расплавленную медь (или дым), и вы не поможете друг другу.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Ажәҩан еиҟәшаны, иеилашуа ахәшеиԥш, иҟаԥшьӡа ианыҟала аамҭазы.	И вот небо разверзнется и станет красным, как кипящее масло (или покрасневшая кожа; или расплавленный свинец).
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Иара убри амш аҽны, ауааԥсырагьы аџьинцәагьы ргәырԥсақәа рзы зҵаара рыҭахаӡом (избанзар, зегьы иккаӡа иубарҭахоит).	В тот день ни человек, ни джинн не будет спрошен о его грехе.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Агәырԥсауаа рхаҿсахьа мацарала иудыруеит, нас рԥырцәқәеи рышьхәақәеи рыла иаанкылахоит.	Грешников будут узнавать по их признакам, а затем хватать за хохлы и стопы.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Агәырԥсауаа имцны ирыԥхьаӡаз џьаҳаным, абар иахьыҟоу!	Вот Геенна, которую грешники считали ложью.
Уи амцеи аӡырши ирыбжьазаауеит.	Они будут ходить между нею и кипящей водой.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Зынцәа иҿаԥхьа агылара иацәшәо рзы ҩ-џьанаҭк ыҟоуп.	Тем же, которые боялись предстать перед своим Господом, уготовано два сада.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Аҩганкгьы хкы рацәала меигӡарах аразҟқәа рыла иҭәуп.	В них обоих есть ветви.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Аҩганк рҿы илеиуеит ҩ-ӡыхьк.	В них обоих текут два источника.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Аҩганк рҿы иеиуеиԥшым ашәырқәа ыҟоуп.	В них обоих есть от всех фруктов по паре.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Атлас (сатин) ала иқәҵоу атәарҭақәа ирықәтәоит. Ари аҩџьанаҭгьы ршәырқәа уахьынаӡаша аҟара иузааигәоуп.	Они будут лежать, прислонившись, на матрацах, выстланных снизу парчой, а свежие плоды этих двух садов будут склоняться низко.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Уаҟа зыԥшәмацәа рыда уаҳа аӡәгьы изхьамԥшуа аҳәсақәа ыҟоуп. Уаанӡа уаҩԥсык, мамзаргьы џьинк дызкьымсыц.	Там будут девы, потупляющие взоры, с которыми прежде не имели близости ни человек, ни джинн.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Урҭ, рубини акоралли ирылхушәоуп ишыҟоу.	Они подобны рубинам и кораллам.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Абзиара ацымхәра, бзиарамзар иҟаларыз?	Воздают ли за добро иначе, чем добром?
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Арҭ аҩџьанаҭк рыдагьы, даҽа ҩ-џьанаҭк ыҟоуп.	А перед теми двумя есть еще два сада.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Рыҩбагьы иеиқәара-хиаҵәаауп.	Они оба — темно-зеленые.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Урҭ раҩба рҟынгьы агәгәаҳәа иҵыҵуа ҩ-ӡыхьк ыҟоуп.	В них обоих бурлят два источника.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Аҩба рҟынгьы хкы рацәала ашәырқәеи, ахәырмеи, амыҵмыџьи ыҟоуп.	В них обоих есть фрукты, финиковые пальмы, гранаты.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Убарҭ рҿы, зҟазшьа бзиоу, зхаҿсахьа ԥшӡоу аҭыԥҳацәа ыҟоуп.	Там есть девы хорошие, прекрасные.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Рқьала ԥшӡақәа рҿы, игәырӷьаҽҳәашаны ахатәҩызцәа рзыԥшуп.	Они — черноокие и большеглазые, удерживаемые в шатрах.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Арҭ, дара раԥхьа, уаҩԥсык мамзаргьы џьинк дыркьымсӡац.	С ними прежде не имели близости ни человек, ни джинн.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Ииаҵәоу, иблахкыгоу ахчқәа рыҵаҵаны иркыдиаалоуп.	Они будут лежать, прислонившись, на зеленых подушках и прекрасных матрацах.
Уажәшьҭа, шәынцәа ишәаҭәеишьақәаз рҟынтә иарбану имцуп ҳәа ишәыԥхьаӡо?	Какую же из милостей вашего Господа вы считаете ложью?
Идуӡӡоу, ирыцҳашьаҩӡоу унцәа ихьӡ шаҟа иҳаракӡоузеи!	Благословенно имя Господа твоего, Обладающего величием и великодушием!
Ахҭыс ду (акаамеҭ), аныҟалалак,	Когда наступит Событие (День воскресения),
Уи шыҟалаша имцуп зҳәаша усгьы дзыҟалом.	никто не сочтет его наступление ложью.
Шьоукы ланарҟәуеит, шьоукы ҳаранакуеит.	Оно унижает и возвышает.
Адгьыл ӷәӷәала ианҵыслак.	Когда земля сильно содрогнется,
Ашьхақәа иеилаҟәыбаса ицаны,	когда горы раскрошатся на мелкие кусочки,
Анаҩс иансабахалак,	а затем превратятся в развеянный прах,
Шәаргьы, х-гәыԥкны шәҽышәшоит.	вы разделитесь на три группы.
Гәыԥҩык рышәҟәы аргьарахь ала ироуеит, ирыбаргәузеи урҭ!	Одни будут по правую сторону. Кто же будет по правую сторону?
Гәыԥҩык рышәҟәгьы армарахь ала ироуеит, шаҟа ирыцҳаузеи урҭ!	Другие же будут по левую сторону. Кто же будет по левую сторону?
Насгьы абзиараҿы аԥхьа игылақәаз, урҭ аџьшьараҿгьы аԥхьа игылазаауеит.	И будут опередившие их всех в добре, которые опередят их и в Раю.
Иара убарҭ разҟыла иҭәу аџьанаҭқәа рыҿгьы аԥхьа игылоу роуп.	Это будут приближенные,
Аллаҳ зегьы раасҭа изааигәақәо роуп.	которые пребудут в Садах блаженства.
Реиҳараҩык, раԥхьатәиқәа роуп,	Многие из них — из первых поколений,
Маҷҩыкгьы, ашьҭахьтәиқәа роуп.	и лишь немногие — из последних.
Хьымаҭәала иеиқәычаԥоу атәарҭәақәа ирықәтәаны,	Они будут лежать на расшитых ложах
Наҟ-ааҟ иеиҿаԥшуа икыдиаалоит.	друг против друга, прислонившись.
Рыкәша-мыкәша, наунагӡа рымаҵ зуыша аҿар рывагьежьлоит,	Вечно юные отроки будут обходить их
Џьанаҭтәи аӡыхьқәа рҟынтә идырҭәыз аԥҳалқәеи, аирыӡқәеи, аҵәцақәеи рыла.	с чашами, кувшинами и кубками с родниковым напитком (вином),
Иагьа ржәыргьы, рхы рнархьуам, иагьынҵәом.	от которого не болит голова и не теряют рассудок,
Иргәаԥханы иалырхуа ашәырқәа,	с фруктами, которые они выбирают,
Рыԥсы иаҭаххо аԥсаатә ржьы,	и мясом птиц, которое они желают.
Насгьы зыблақәа ԥшӡаӡа иҟоу аҭыԥҳацәа цқьақәа,	Их женами будут черноокие, большеглазые девы,
Иҭалаҳаны иҵәаху абырлашқәа реиԥш.	подобные сокрытым жемчужинам.
Адунеи аҟны иҟарҵаз ихәарҭоу аусқәа ирҳамҭаны ироулоит.	Таково воздаяние за то, что они совершали.
Уаҟа ибашоу, мамзаргьы агәырԥса иаҵазҵаша ажәак раҳауам.	Они не услышат там ни празднословия, ни греховных речей,
Ираҳауа акы заӡәык: «Абзиара шәымаз, агәырӷьара шәԥеиԥшыз!» ауп.	а только слова: «Мир! Мир!».
Зышәҟәы арӷьарахь ала изауз, ирыбаргәузеи! Изықәшәашази убарҭ?	И будут те, кто по правую сторону. Кто же будет по правую сторону?
Амаӷ змам ацақәеи,	Они пребудут среди лотосов, лишенных шипов,
Иҿассы изҿоу абанан ҵлақәеи,	под бананами (или акациями камеденосными) с висящими рядами плодами,
Зҽеиҵыхны иҟоу ашәшьырырҭақәа,	в распростертой тени,
Аӡхыҽҽақәа рхықә аҟны,	среди разлитых вод
Меигӡарахда ашәырқәа	и многочисленных фруктов,
Иагьрыгхом, уагьахырбаауам.	которые не кончаются и доступны.
Насгьы рывараҿы рхатә ҩызцәа, иԥшӡоу, ԥсыцқьаралагьы иҳаракӡоу.	Они будут лежать на приподнятых матрацах.
Ҳәарада, ҳара урҭ, џьанаҭ ишақәнагау ала иаҳшахьеит.	Мы сотворим их в новом облике (совершенными)
Урҭ еснагь кьыс змам ракәны иҟаҳҵалоит.	и сделаем их девственницами,
Рыхатәҩызцәа рзы бзиабарала иҭәны, изҭагылоу ақәрагьы мыԥсахкәа.	любящими и равными по возрасту.
Абарҭқәа зегьы, аиашеи ақәнагеи иақәныҟәаз рзоуп.	Это — для тех, кто по правую сторону.
Урҭ рыхәҭак, аԥхьатәиқәа роуп.	Многие из них — из первых поколений,
Рыхәҭакгьы ашьҭахьтәиқәа роуп.	а многие — из последних.
Рышәҟәы армарахь ала изырҭақәаз… Изықәшәашази убарҭ?	И будут те, кто по левую сторону. Кто же будет по левую сторону?
Убылны узҷыҷуа амцеи, аӡырши аҩныҵҟа,	Они окажутся под знойным ветром и в кипятке,
Алҩа жәпак аҵаҟа иҟоуп.	в тени черного дыма,
Хьшәашәаракгьы, ҭынчракгьы рызымҭаша.	которая не приносит ни прохлады, ни добра.
Избанзар, уаанӡа рҭахрақәа итҟәаны ирыман.	Прежде они нежились роскошью,
Идуӡӡоу агәырԥса изацәхьаҵуамызт.	упорствовали в великом грехе
Абас рҳәон: «Ииашаҵәҟьаны, ҳарҭ ҳаԥсны, ҳабаҩқәа еиқәыжьны ҳаныҟалалак ашьҭахь, еиҭах ҳаԥсы ҭалоума?	и говорили: «Неужели мы будем воскрешены после того, как мы умрем и станем прахом и костями?
Ҳара мацара ҳакәымкәа уаанӡатәи ҳабдуцәагьы, ус аума?»	Или же наши праотцы?».
Убас ҳәа: «Уаанӡатәиқәагьы, уи анаҩстәиқәагьы,	Скажи: «Воистину, как первые, так и последние поколения
Иалкаау уи амш, иарбоу аамҭазы хымԥада џьарак иеизгахоит!»	будут собраны в определенном месте в известный день.
Насгьы, шәарҭ имҩахҟьаз амапкыҩцәа!	Тогда вы, о заблудшие, считающие лжецами посланников,
Хымԥада, олеандр ҵла аҟынтә ишәфоит.	непременно вкусите от дерева заккум.
Шәыцақәа убри ала ишәырҭәлоит.	Вы будете набивать ими животы
Ашьҭахьгьы аӡыршы шәыжәлоит.	и запивать их кипятком,
Ишабаз амахҽқәа аӡы шыржәуаҵәҟьа еиԥш!	как пьют больные верблюды, которые не могут спастись от жажды».
Абар, аҳасабеилыргаратә мшы урҭ реишәачара!	Таким для них будет угощение в День воздаяния.
Шәарҭ шәызшаз ҳара ҳауп, абыржәгьы ишәызхамҵаӡои!	Мы сотворили вас. Почему же вы не признаете воскрешения?
Икашәҭәо ахӡы зынӡа шәазымхәыцӡои?	Видели ли вы семя, которое вы извергаете?
Уи шәара шәоума изшо, мамзаргьы ҳара ҳакәу?	Вы создаете его или Мы создаем?
Шәыбжьара иеихаҳшеит аԥсра, ҳара акагьы ҳԥырхагахраны иҟам.	Мы распределили между вами смерть, и ничто не может помешать Нам
Аԥсра шәақәыршәаны шәара шәцымхәра даҽа абиԥарақәак раагарагьы.	заменить вас подобными вам (или изменить ваше обличие) и создать вас такими, какими вы себе и не представляете.
Ҳәарада, раԥхьаӡатәи шәшара зегьы ижәдыруеит, шәазхәыцны аҵатәхәы залшәымхуеи?	Вы уже знаете о первом сотворении. Почему же вы не помяните назидание?
Икашәыԥсаз ажәла шәазхәыцхьоума?	Видели ли вы то, что вы сеете?
Уи шәара шәоума иеиззырҳауа, мамзаргьы ҳара ҳакәу?	Вы ли заставляете его произрасти или Мы заставляем?
Иаҳҭаххар, уи , хәарҭара злам ҵәаҟьак иаҩызаҳтәуан, шәаргьы иџьашәшьарын.	Если Мы пожелаем, то превратим его в труху, и тогда вы останетесь удивленными
«Иҳахьи» шәҳәарын, «Аиашазы аԥхасҭа ӷәӷәа ҳауит!	и скажите: «Воистину, мы потерпели убыток.
Аиашаҵәҟьазы зынӡа арыцҳара ҳҭагылт» шәҳәарын.	Более того, мы лишились пропитания».
Ишәжәуа аӡы шәазхәыцхьоума?	Видели ли вы воду, которую вы пьете?
Уи, аԥҭа аҟынтә шәара шәоума илбаазго, мамзаргьы ҳара ҳакәу?	Вы ли ниспосылаете ее из дождевых туч или Мы ниспосылаем?
Иаҳҭаххар, уи аџьыка аҭаны, иҵааны иҟаҳҵарын. Ус анакәха, иҭабуп шәҳәарҭаӡами?	Если бы Мы пожелали, то сделали бы ее горькой. Почему же вы неблагодарны?
Иеиқәышәҵо амца иахышәҳәаауеи?	Видели ли вы огонь, который вы высекаете?
Уи аҵла, шәара ишаны иеизшәырҳауама?	Вы ли создаете деревья для него или Мы создаем?
Ҳара уи, асакараҿы амҩа иану рзы, насгьы амла иакуа рзы дыргас, разҟыс иаҳшеит.	Мы сделали его напоминанием и предметом пользования для путников.
Ус анакәха, иҳаракӡоу унцәа деиҭаҳәа.	Прославляй же имя Великого Господа твоего!
Аеҵәақәа рҭыԥқәа сырхықәаауеит.	Но нет! Клянусь местами заката звезд (или ниспослания частей Корана)!
Ижәдыруазааит, ари қәра дуӡӡоуп.	Если бы вы только знали, что это — клятва великая.
Ҳәарада, уи, кырӡа иаԥсоу, иҳаракӡоу Аҟәырҟан ауп.	Воистину, это — благородный Коран,
Ахаҭаҵәҟьа (жәҩангәашәԥхьараҿы) ихьчоу шәҟәуп.	находящийся в Хранимом Писании.
Уи, ицқьашәқьа иҟоу амаалықьцәа заҵәык роуп акьысра азин змоу.	К нему прикасаются только очищенные.
Уи, адгьылтәылақәа рынцәахәы иҟынтә илбаагоуп.	Он ниспослан Господом миров.
Шәарҭ уажәы, абри ажәа аума иҟәнышәшьо?	Неужели вы не веруете в это повествование (или отворачиваетесь от него)
Шәара, ишәыҭоу аразҟы, амцҳәара адкыланы аума аҭак шыҟашәҵо?	и делаете ваш удел тем, что считаете ложью истину?
Амала, шәыԥсы шәҟырҟы ианкылахалак,	А когда душа подступает к горлу
Иара убри аамҭазы иҟашәҵара шәзымдыруа шәнаԥшы-ааԥшлап.	и вы смотрите на умирающего,
Ҳара, уи шәара шәаасҭа ҳазааигәоуп, аха ишәзыбом.	Мы находимся ближе вас к нему, хотя вы не видите этого.
Шәааи, аӡәы инапаҵҟа шәыҟамзар, ахьырхәрагьы шәақәымшәозар,	Почему же вы, если вы действительно не получите воздаяние
Уи (шәыԥсҭазаара), шьҭахьҟа ишәырхынҳәы, шәажәа иашазар!	не вернете ее, если вы говорите правду?
Амала уи (зыԥсы зхыҵыз), Аллаҳ изааигәаз аӡәы иакәзар,	Если он будет одним из приближенных,
