Иахәаԥштәуп...	Просмотреть...
Акаҵкәыр аҭаӡ ахархәара азухоит ахәҭақәа рыҵәахразы, акаҵкәыр ахь иҭагалоу.	Папка корзины используется для хранения элементов, перемещенных в корзину.
Афаилахь анеира	Доступ к файлам
Анеира мап ацәкәуп.	Доступ запрещен.
Анеира:	Доступ:
анеира арыцхә:	Дата доступа:
Аелемент ҩынтәи ақәсрала активтәра азура	активировать элементы двойным щелчком
аелемент зныктәи ақәсра ала активтә азура	активировать элементы одним щелчком
Аемблема ацҵтәуп...	Добавить эмблемы...
Уажәтәи адрес азы ари амениу агәылаҵа ацҵатәуп.	Добавить закладку для текущего адреса в это меню.
Аԥшаара акритери ҿыц ацҵатәуп	Добавить новый критерий поиска
Инагӡахоу афаилқәа зегьы ари аҭаӡ аҟынтәи амениу "Асценари" аҟны иаарԥшхоит.	Все исполняемые файлы из этой папки будут показаны в меню "Сценарии".
Инагӡатәу афаилқәа ари аҭаӡ аҟынтәи амениу "Асценари" аҟны ицәырҵуеит. Амениу аҟынтәи асценари алхра ари асценари аус анаруеит.  Алокалтә ҭаӡ аҟынтәи аҭагалараан асценариақәа иалху афаилқәа рыхьӡ рыҭахоит.Инахароу аҭаӡ аҟынтәи аҭагалараан (иаҳҳәап, аҭаӡ аҵакы мамзаргьы авеб сервер аазырԥшуа) апараметрқәа ииагахаӡом асценариақәа рышҟа  Еснагь, иҟало ахыкҿырша аиҭакрақәа апргорамма "Nautilus ала ишьақәыргылахоит" асценари ала ахархәаразы:  NAUTILUS_SCRIPT_SELECTED_FILE_PATHS: цәаҳәа ҿыцла еихшоу иалкаау афаилқәа рыхьӡынҵа (илокалтәу мацара)  NAUTILUS_SCRIPT_SELECTED_URIS: цәаҳәа ҿыцла еихшоу иалкаау аиндефикаторқәа рыхьӡынҵа (URI) иалкаау афаилқәа рзы  NAUTILUS_SCRIPT_CURRENT_URI: аидентификатор (URI) уажәтәи адрес азы  NAUTILUS_SCRIPT_WINDOW_GEOMETRY: уажәтәи аԥенџьыр аҭыԥи ашәагааи	Все исполняемые файлы их этой папки появятся в меню "Сценарии". Выбор сценария из меню запустит этот сценарий.  При загрузке из локальной папки сценариям будут переданы имена выбранных файлов. При загрузке из удалённой папки (к примеру, из папки, отображающей содержимое файлового или веб серверов), параметры не будут переданы сценариям.  Во всех случаях, следующие переменные окружения будут установлены программой Nautilus для использования сценариями:  NAUTILUSSCRIPTSELECTEDFILEPATHS: разделённый новой строкой список выделенных файлов (только локальных)  NAUTILUSSCRIPTSELECTEDURIS: разделённый новой строкой список идентификаторов (URI) для выделенных файлов  NAUTILUSSCRIPTCURRENTURI: идентификатор (URI) для текущего адреса  NAUTILUSSCRIPTWINDOWGEOMETRY: позиция и размер текущего окна
Апрограммақәа реиԥш афаил анагӡара ақәиҭтәра	Позволять выполнение файла как программы
Еснагь Алокалтә фаилқәа мацара Ахаангьы	Всегда Только локальные файлы Никогда
Акаталогқәа еснагь  ахҳәааҟаҵагаҿ	Всегда открывать каталоги в обозревателе
Еснагь ахархәара азутәуп адрес аҭагалара апанель мҩа аҭыԥан	Всегда использовать ввод адреса вместо панели пути
Адгылара змам аиҭагара атип ахархәара аман.	Был использован недопустимый тип перетаскивания.
Иарбанзаалак	Любой
Адиафрагма аҵакы	Значение диафрагмы
Абара	Видение
Азинқәа иагәыло афаилқәа рахь игатәуп	Распространить права на вложенные файлы
Шәара иашаны ишәҭахума шәызҭааз адресқәа рыхьӡынҵа шәрыцқьарц?	Вы действительно хотите очистить список адресов, которые вы посетили?
Шәара иашаны ишәҭахума аҭоурых шәхашәыршҭырц?	Вы действительно хотите забыть историю?
Афаилқәа зегь аашәыртырц шәҭахыҵәҟьоума?	Вы действительно хотите открыть все файлы?
Рхыҳәышьа амамкәа «%s» иаԥышәхыпц шәҭахыҵәҟьоума акаҵкәыр аҟынтә?	Вы действительно хотите безвозвратно удалить «%s» из корзины?
Шәара «%s» ианышәхӡарц шәҭахыҵәҟоума?	Вы действительно хотите окончательно удалить «%s»?
«%s» иалкаау аелемент рхыҳәышьа амамкәа ықәыжәгарц шәҭахыҵәҟьоума  акаҵкәыр аҟынтә?	Вы действительно хотите окончательно удалить %d выделенный элемент из корзины?
«%s» иалкаақәоу аелементқәа рхыҳәышьа амамкәа ықәыжәгарц шәҭахыҵәҟьоума  акаҵкәыр аҟынтә?«%s» иалкаақәоу аелементқәа рхыҳәышьа амамкәа ықәыжәгарц шәҭахыҵәҟьоума  акаҵкәыр аҟынтә?	Вы действительно хотите окончательно удалить %d выделенных элемента из корзины?
Иалкаау аелемент %d ианышәхӡарц шәҭахыҵәҟьоума?	Вы действительно хотите окончательно удалить %d выделенный элемент?
Иалкаау аелементқәа %d ианышәхӡарц шәҭахыҵәҟьоума?	Вы действительно хотите окончательно удалить %d выделенных элемента?
Аелеметқәа  шьақәыргылатәуп	Выстраивать элементы
 Ашьақәырӷәӷәара иадҵаалатәуп акаҵкәыр арыцқьареи афаилқәа раԥыхреи 	Запрашивать подтверждение очистки корзины или удаление файлов
Аеҵҟаҟара	Лазурь
Аҭоурых ала ашьҭахьҟа	Назад по истории
Афони аемблемақәеи	Фон и эмблемы
Nautilus аҿакра аԥхьа иақәнагоуп ари аҭаӡ аԥҵара мамзаргьы азинқәа рышьақәыргылара Nautilus уи иаԥнаҵартә еиԥш.	Перед запуском Nautilus необходимо создать эту папку или установить права так, чтобы Nautilus мог их создать.
Nautilus аҿакра аԥхьа иахәҭоуп абарҭ аҭаӡқәа раԥҵара мамзаргьы азинқәа рышьақәыргылара Nautilus уи иаԥнаҵартә еиԥш.	Перед запуском Nautilus необходимо создать эти папки или установить права так, чтобы Nautilus мог их создать.
Аиқәаҵәа	Черный
Аеҵәа цәқәырԥасса	Голубая рябь
Иеҵәоу аџьаџьара	Голубая шероховатость
Анбанқәа иеҵәоу афонаҿ	Буквы на синем фоне
Иҟам адрес агәылаҵа	Закладка на несуществующий адрес
Аҳа ахҳәаа	Обзор сети
Афаилтә менеџьер аҟны афаилтә система алаԥшхгара	Просмотр файловой системы в менеджере файлов
Иқәхаахьоу металл	Потёртый металл
Ажаҳәага резина	Жевательная резинка
Ащасыр	Мешковина
аемблема ала	по эмблемам
аиҭакратә рыцхә ала	по дате изменения
Хьӡыла Шәагаала Хкыла Арыцхәи ианыԥсахыз алеи Емблемала	По имени По размеру По типу По дате изменения По эмблеме
ашәара ала	по размеру
ахкы ала	по типу
Ашәагаа ала	по размеру
CD/DVD раԥҵара	Создание CD/DVD
CD/DVD аԥҵара	Создание CD/DVD
Аныхра аԥыхтәуп	Отменить удаление
Аҽамадара	Соединиться
Акамера амарка	Марка камеры
Акамера амодель	Модель камеры
Акамуфлиаж	Камуфляж
Асервер аҽамадара ауам. «%s» ииашоу адресӡам.	Невозможно подключится к серверу. «%s» не является допустимым адресом.
 Асервер аҽамадара ауам. Асервер ахьӡ ҭагалатәуп.	Невозможно подключится к серверу. Необходимо ввести имя сервера.
Адрес «%s» аарԥшра ауам	Не удается отобразить адрес «%s»
Ахҳәаа аԥшаара залмыршахеит "x-directory/normal" азыҳәангьы . Иҟалап шәара шәфаилgnome-vfs.keys иахьахәҭоу иҟамзар ҟалап, мамзаргьы иԥшаамхеитдаҽа мзызқәак ирыхьҟьаны	Не удалось найти описание даже для "x-directory/normal". Видимо ваш файл gnome-vfs.keys находится не там где надо или не был найден по каким-то другим причинам.
Иаԥыхтәуп	Отменить
Агәыԥ аԥсахра аҟәыхтәума?	Отменить смену группы?
Аԥшәма иԥсахра аҟәыхтәума?	Отменить смену владельца?
«%s» аиагара ҟалом, избанзар иара ахаҭа мамзаргьы иара аҭаацәаратә каталогиахьахәҭоу аҭыԥаҿ иҟоуп.	Невозможно переместить «%s», потому что он или его родительский каталог содержатся в месте назначения.
«%s» аиагара ҟалом, избанзар иақәнагоу азин шәымамари аелемент мамзаргьы иара аҭаацәаратә ҭаӡ аԥсахразы.	Невозможно переместить «%s», потому что у вас недостаточно прав для изменения этого элемента или его родительской папки.
Акаҵкәырахь аиҭагара амуит, афаил архыҳәышьа амамкәа иаԥыхтәума?	Не удалось переместить в корзину, удалить файл безвозвратно?
Аелементқәа акаҵкәырахь аиҭагара амуит, рхыҳәышьа амамкәа иаԥыхтәума? 	Не удалось переместить элементы в корзину, удалить их безвозвратно?
Елементқәак акаҵкәырахь аиҭагара амуит, архыҳәышьа амамкәа иаԥыхтәума? 	Некоторые элементы не удалось переместить в корзину, удалить их безвозвратно?
Афаил "%s" аартра ауӡом	Невозможно открыть файл "%s"
Амел	Мел
Аусурҭатә еишәа афон еиҭактәуп	Изменить фон рабочего стола
Афаил анапхгара архиара адиалог	Диалог настроек управления файлами
Ари аԥенџьыр адрес ацәаҳәа аԥшра ԥсахтәуп	Изменить видимость строки адреса этого окна
Ари аԥенџьыр ихадоу амыругақәа рпанель аԥшра ԥсахтәуп	Изменить видимость основной панели инструментов этого окна
Ари аԥенџьыр аганахьтәи апонель аԥшра ԥсахтәуп	Изменить видимость боковой панели этого окна
Ари аԥенџьыр аҭагылазаашьа ацәаҳәа аԥшра ԥсахтәуп	Изменить видимость строки состояния этого окна
Ахаҳә рацәа	Каменный уголь
Алокалтә еимадараҿы SMB асервер аус шауа ала игәашәҭ.	Убедитесь, что в локальной сети работает сервер SMB.
Адрес гхада шҭагалои апрокси апараметр шиашои гәашәҭ.	Убедитесь, что адрес введен без ошибок и параметры прокси верны.
Ари аемблема аныхразы азин шәымазар гәашәҭ.	Убедитесь, что у вас есть права для удаления этой эмблемы.
Игәашәҭ ари аҳарџь аныхразы иахәҭоу азин шәымазар.	Убедитесь, что у вас достаточно прав для удаления этого орнамента.
Апрокси апараметрқәа иашазар гәашәҭ.	Убедитесь, что параметры прокси верны.
Апрограмма алхтәуп иалкаау адокумет аартразы	Выбрать программу для открытия выбранного элемента
Иалху аелемет аартразы даҽа аԥшьык алхтәуп	Выбрать другое приложение для открытия выбранного элемента
Иалышәх аиҿкаара, аинформациа адыргаҷақәа рыҵаҟа цәырҵлартә еиԥш. Амасштаб аиёәатәраан еиҳа аинформациа цәырҵлоит.	Выберите порядок, в котором информация будет возникать под именами значков. При увеличении масштаба будет появляться больше информации.
 Иалышәх аиҿкаара, аинформациа адыргаҷақәа рыҵаҟа цәырҵлартә еиԥш. 	Выберите порядок, в котором информация будет возникать под именами значков.
Аиҿкаашьа алышәх, аинформациа ари аҭаӡ аҟны иаарԥшхартә еиԥш.	Выберите порядок, в котором информация будет отображаться в этой папке.
Амениу аҟынтәи асценари ари асценари аус арулоит иалху аелементқәа рыла аҭагалара аҳасабла.	Выбор сценария из меню будет запускать этот сценарий с выбранными элементами в качестве ввода.
Аҭоурых рыцқьатәуп	Очистить историю
Ахьӡ ала еиҵаргылатәуп	Выстроить по имени
Амениу аҵакыра "Аиасра"  насгьы ахьӡынҵа "Ԥхьаҟа/Шьҭахьҟа" рыцқьатәуп	Очистить содержимое меню "Переход" и списков "Вперед/Назад"
Аԥштәы аныхразы иара шәақәыӷәӷәа.	Щелкните на цвете, чтобы удалить его
Аџьоуҳар аныхразы иара шәақәыӷәӷәа.	Щелкните на орнаменте, чтобы удалить его.
Аемблема аныхразы иара шәақәыӷәӷәа	Щелкните на эмблеме, чтобы удалить ее.
Аҭаӡқәа зегьы арктәуп	Закрыть все папки
Аҭаацәаратә ҭаӡқәа арктәуп	Закрыть родительские папки
Аԥенџьырқәа зегьы арктәуп	Закрыть все окна
Анавигациа аԥенџьырқәа зегьы арктәуп	Закрыть все окна навигации
Аҭаӡқәа рԥенџьырқәа зегьы арктәуп	Закрыть все окна папок
Аваратәи апанель арктәуп	Закрыть боковую панель
Ари аҭаӡ арктәуп	Закрыть эту папку
Ари аҭаӡ аҭаацәаратә ҭаӡқәа арктәуп	Закрыть родительские папки этой папки
Аԥштәы ахьӡ	Наименование цвета:
Аԥштәы аҵакы:	Значение цвета:
Аԥштәқәа:	Цвета:
Адҵа	Команда
ижәпаны	уплотнённо
Акомпиутер	Компьютер
Адыргаҷа арбаралатәуп "Акомпиутер" аусурҭатә еишәа аҟны	Показывать значок "Компьютер" на рабочем столе
Абетон	Бетон
Ари асервер аҽамадатәуп	Соединиться с этим сервером
Асервер аҽамадара	Соединение с сервером
Асервер «%s» аҽамадара	Соединение с сервером «%s»
Асервер аҽамадатәуп…	Соединиться с сервером...
Аҭаҵа ахәаԥшра	Просмотр содержимого
Аҭаҵа:	Содержание:
Афаил иақәҭыххоит	Копируется файл
Афаил иақәҭыххоит:	Копируется файл:
Copyright © 1999-2006 Апрограмма Nautilus авторцәа	Copyright © 1999-2006 Авторы программы Nautilus
Арыԥҵә	Пробка
Аҭыԥ ҿыц ахь «%s» ақәҭыхра алымшеит.	Не удалось скопировать «%s» на новое место.
«%s» аҭыԥ ҿыц ахь аиагара залмыршахеит.	Не удалось переместить «%s» на новое место.
Агәыԥ «%s» аиҭакра ауӡом, избанзар адиск аԥхьара мацараз еиҿкаауп.	Невозможно изменить группу для «%s», потому что этот диск только для чтения.
Адиск аԥхьара мацараз иахьыҟоу, азы ахьӡ «%s» аиҭакра ауӡом.	Невозможно изменить имя для «%s», потому что это диск только для чтения.
«%s» азы ахархәаҩ иԥсахра ауӡом, избанзар адиск аԥхьара мацараз еиҿкаауп.	Невозможно изменить владельца для «%s», потому что этот диск только для чтения.
Ҳаҭамыз, «%s» азы азинқәа аԥсахшьа амам, избанзар адиск аԥхьара мацараз еиҿкаауп.	Извините, невозможно изменить права для «%s», потому что этот диск только для чтения
«%s» арбара алымшеит, избанзар Nautilus SMB амастер-браузер аҽазамамдеит.	Не удалось показать «%s», потому что Nautilus не может связаться с мастер-браузером SMB.
«%s» Аарԥшра амуит,избанзар аиқәҳәаларҭа «%s» ԥшаам.	Не удалось отобразить «%s», потому что узел «%s» не найден.
«%s» аарԥшра амуит.	Не удалось отобразить «%s».
«%s» аԥшаара амуит.	Не удалось найти «%s».
Аемблема «%s» ахьӡ зху аԥыхра ауам.	Не удалось убрать эмблему с именем «%s».
 Аемблема «%s» ахьӡ зху ахьӡ аиҭакра амуит.	Не удалось переименовать эмблему с именем «%s».
Аҭаӡқәа рҿы ахәҭақәа рхыԥхьаӡара аарԥшлатәуп 	Показывать число элементов в папках
Аҿыкәыршақәа	Контуры
Ашаблон «%s» аҟынтә адокумент аԥҵатәуп	Создать документ из шаблона «%s»
Аус аруратә апатҟәыр аԥҵатәуп...	Создать кнопку запуска...
Адокумент аԥҵатәуп	Создать документ
Аҭаӡ аԥҵара	Создать папку
Аԥштә ҿыц аԥҵатәуп:	Создать новый цвет:
Аемблема ҿыц аԥҵатәуп	Создать новую эмблему
Ари аҭаӡаҿ иҭацәу афаил ҿыц аԥҵатәуп	Создать новый пустой файл внутри этой папки
Ари аҭаӡаҿ иҭацәу аҭаӡ ҿыц аԥҵатәуп	Создать новую пустую папку в этой папке
 Аус аруратә адыргаҷа ҿыц аԥҵатәуп	Создать новый значок запуска
Иалкаау елементцыԥхьаӡазы асимволикатә зхьарԥш аԥҵатәуп	Создать символическую ссылку для каждого выделенного элемента
Афаил аԥҵареи аԥыхреи	Создание и удаление файлов
Раԥхьатәи аԥенџьыр аԥҵатәуп иазалху агеометриала.	Создать первоначальное окно с заданной геометрией.
Аҟазшьақәа рԥенџьыр аԥҵахоит.	Создается окно свойств.
Афаилқәа рахь азхьарԥш аԥҵара	Создание ссылок на файлы
Аԥшааратә критери аԥшаага панель азы	Критерий поиска для поисковой панели
Афаилқәа реишьашәалара акритериақәа апанель аԥшаага ала аԥшаараан. Ишьақәыргылазар"search_by_text", Nautilus афаилқәа аԥшаалоит ахьӡқәа рыла мацара.Ишақәыргылазар "search_by_text_and_properties", афаил аԥшаара мҩаԥыслоит ахьӡи аҭагылазаашьеи рыла.	Критерий соответствия файлов при поиске через панель поиска. Если установлено "searchbytext", Nautilus будет искать файлы только по имени. Если установлено "searchbytextandproperties", поиск файла будет производиться по имени и свойствам.
Уажәтәи атема Nautilus (иажәхьоу)	Текущая тема Nautilus (устаревшее)
Ахарахәаҩтә фон шьақәыргылоуп	Установлен пользовательский фон
Даҽа адреск	Другой адрес
Ахарахәаҩтә фон аганахьтәи апанель шьақәыргылоуп	Установлен пользовательский фон боковой панели
Адубль ҟаҵатәуп	Продублировать
Дунаитәи	Дунайский
Арыԥҵә еиқәа	Темная пробка
GNOME иеиқәоу	Темный GNOME
Анеира арыцхә	Дата доступа
Ацифркра арыцхә	Дата оцифровки
Арыцхә аформат	Формат даты
Амодификациа арыцхә	Дата модификации
Адыррақәа адкылоуп	Данные получены
Ахиаҵәаара ҵаула	Глубокий зеленовато-синий
Афон аԥштәы ишыҟоу еиԥш	Цвет фона по умолчанию
Афаил ахьӡ афон азы ишыҟоу еиԥш	Имя файла для фона по умолчанию
Афон аԥштәы аганахьтәи апанель ишыҟоу еиԥш	Цвет фона боковой панели по умолчанию
Афаил афон ахьӡ аганахьтәи апанель ишыҟоу еиԥш	Имя файла фона боковой панели по умолчанию
Аханатәи амасштаб:	Исходный масштаб:
Аиҵаргылақәа реишьҭаргылашьа ишыҟоу еиԥш	Порядок столбцов по умолчанию
Аиҵаргылақәа реишьҭаргылашьа ишыҟоу еиԥш ахьӡынҵа аҳасабала ахәаԥшраан.	Порядок столбцов по умолчанию при просмотре в виде списка.
Аҭаӡ ахәҭа ахәаԥшра ишыҟоу еиԥш	Компонент просмотра папок по умолчанию
Адыргаҷқәа рмасштаб ишыҟоу еиԥш	Масштаб значков по умолчанию
Аиҵаргылақәа рыхьӡынҵа ишыҟоу еиԥш	Список столбцов по умолчанию
Аиҵаргылақәа рыхьӡынҵа ишыҟоу еиԥш ахьӡынҵа аҳасабала ахәаԥшраан.	Cписок столбцов по умолчанию при просмотре в виде списка.
Ахьӡынҵақәа рмасштаб ишыҟоу еиԥш	Масштаб списка по умолчанию
Аилыԥшаара аихшашьа ишыҟоу еиԥш	Порядок сортировки по умолчанию
Адыргаҷақәа раҳасабала арежим ахәаԥшразы амасштаб ишыҟоу еиԥш.	Масштаб по умолчанию для режима просмотра в виде значков.
Ахьӡынҵақәа раҳасабала арежим ахәаԥшразы амасштаб ишыҟоу еиԥш.	Масштаб по умолчанию для режима просмотра в виде списка.
Ахәҭақәа зегьы акаҵкәыр аҟынтәи иаԥыхтәуп	Удалить все элементы из корзины
Иалкаау аелементқәа зегьы рхынҳәышьа рымамкәа иаԥыхтәуп	Окончательно удалить все выделенные элементы
Акаҵкәыр ахь еиҭамгакәа, иалкаау елементцыԥхьаӡа аԥыхтәуп	Удалить каждый выделенный элемент, не перемещая его в корзину
Иаарту аҭаӡ рхынхәышьа амамкәа аԥыхра	Окончательно удалить открытую папку
Акаҵкәыр ахь еиҭамгакәа аҭаӡ аԥаыхтәуп	Удалить эту папку без перемещения в корзину
Афаил аныххоит	Удаляется файл
Афаилқәа раныхра	Удаление файлов
Аусурҭатә аишәа	Рабочий стол
Адыргаҷ ахьӡ "Акомпиутер" аусуратә еишәаҿы	Имя значка "Компьютер" на рабочем столе
Аусуратә еишәа ашрифт	Шрифт рабочего стола
Адыргаҷ аҵаҩыра "Аҩнытәи аҭаӡ" аусуратә еишәаҿы	Подпись значка "Домашняя папка" на рабочем столе
Адыргаҷ анапаҵаҩра "Акаҵкәыр" аусуратә еишәаҿы	Подпись значка "Корзина" на рабочем столе
Инҭкааны: 	Подробности: 
Nautilus азы аилыркаага аарԥштәуп	Отобразить справку по Nautilus
Афаилқәа рықәсра аан аарԥшлатәуп	показывать файлы при щелчке на них
Ари амениу агәылаҵақәа рыԥсахра ахьалшо аԥенџьр аарԥштәуп.	Отобразить окно, в котором можно будет изменить закладки этого меню.
Nautilus аԥҵаҩцәа рыхьӡынҵа аарԥштәуп	Отобразить список создателей Nautilus
Адыргаҷақәа шьҭахьла раарԥшра	Показывать значки в обратном порядке
Адәахьтәи ахаҿы архиаразы ахархәара заур зылшо аџьоуҳарқәеи аԥштәқәеи аемблемақәеи аарԥштәуп	Отобразить орнаменты, цвета и эмблемы, которые могут быть использованы для настройки внешнего вида
Ари адрес аарԥшразы аусурҭа аишәа алаԥшхгара архәара аҭатәуп.	Использовать просмотр в виде рабочего стола для отображения этого адреса.
Алаԥшхгара дыргаҷас ахы иархәатәуп ари адрес аарԥшразы	Использовать просмотр в виде значков для отображения этого адреса.
Ари адрес аарԥшраан алаԥшхаратә компонент ахьӡынҵеиԥш иаарԥштәуп.	Использовать просмотр в виде списка при отображении этого адресе.
Аусурҭаҭыԥ анапхгара аҭатәӡам (архиарақәа архиара адиалог аҟны иазхьаԥштәым).	Не управлять рабочим столом (игнорировать настройки в диалоге настроек)
Шәара шәыхьӡынҵаҿы иҟам адресқәа ргәылаҵа анышәхыр шәҭахума?	Хотите удалить все закладки на несуществующие адреса из вашего списка?
Афаил «%s» аус арура шәгәу иҭоу ус мамзаргьы шәылаԥш ахыжәгарц шәҭаху?	Хотите запустить файл «%s» или просмотреть его содержимое?
%d адрес ахәаԥшра шәҭахума?	Хотите просмотреть %d адрес?
%d адресқәа рыхәаԥшра шәҭахума?	Хотите просмотреть %d адреса?
Акәаԥқәа	Точки
Ари адрес ҭагалатәума?	Закачать этот адрес?
Аобиект аԥшшәы аԥсахразы аԥшшәы ииажәга аобиект ахь	Перетащите цвет на объект, чтобы изменить цвет объекта
Аобиект аԥсахразы аџьоуҳар ииажәга аобиект ахь	Перетащите орнамент на объект, чтобы изменить объект
Аобиек ахь ацҵаразы аемблема аобиект ахь ииажәга	Перетащите эмблему на объект, чтобы добавить ее к объекту
Аиҭагара адгылом	Перетаскивание не поддерживается.
 Аиҭагара адгылоит алокалт фаил сиситемаҿ мацара.	Перетаскивание поддерживается только на локальных файловых системах.
Илкаау елементцыԥхьаӡа адубль азыҟаҵатәуп	Продублировать каждый выделенный элемент
Анагӡара	Выполнение
Афаилқәа рықәсра аан нагӡалатәуп	выполнять файлы при щелчке на них
Атыҩкра	Затмение
Агәылаҵақәа ԥсахтәуп	Изменить закладки
Nautilus апараматрқәа ԥсахтәуп	Изменить параметры Nautilus
Еиқәырхоу аԥшаара аредакциа азутәуп	Редактировать сохраненный поиск
Иалкаау атом агәылхтәуп 	Извлечь выделенный том
Атом, иаарту аҭаӡ зыдҳәало, иагәылхтәуп	Извлечь том, связанный с открытой папкой
Аемблемақәа	Эмблемы
Аемблемақәа:	Эмблемы:
Акаҵкәыр ҭарцәтәуп	Очистить корзину
 Nautilus аклассикатә хымҩаԥгашьа аҿактәуп, аԥенџьырқәа зегьы ахьбраузерқәоу	Включить классическое поведение Nautilus, где все окна - браузеры
Ахцъажъаратъ хьыӡқәа ҭажәгал емблемацыԥхьазы. Уи ахархәара аиоуеит анаҩс аемблема аидентификациазы.	Введите описательное имя для каждой эмблемы. Это имя будет использовано впоследствии для идентификации эмблемы.
Ахцъажъаратъ хьыӡқәа ҭажәгал емблемацыԥхьазы. Уи ахархәара аиоуеит анаҩс аемблема аидентификациазы.	Введите описательное имя для эмблемы. Это имя будет использовано впоследствии для идентификации эмблемы.
Аемблемазы ахьӡ ҿыц ҭажәгал:	Введите новое имя для эмблемы:
Ашьыцра	Зависть
Ианыхтәуп	Стереть
Адокумент ҿыц аԥҵараан агха «%s».	Ошибка «%s» при создании нового документа.
Аҭаӡ ҿыц аԥҵараан агха «%s».	Ошибка «%s» создания новой папки.
Агха «%s» «%s» аиагараан.	Ошибка «%s» при перемещении «%s».
Агха «%s» ақәҭыхраан.	Ошибка «%s» при копировании.
Агха «%s» «%s» ахь азхьарԥш аԥҵараан.	Ошибка «%s» при создании ссылки на «%s».
Агха «%s» «%s» аныхраан.	Ошибка «%s» при удалении «%s».
Агха «%s» аныхраан.	Ошибка «%s» при удалении.
Агха «%s» азхьарԥш аԥҵараан.	Ошибка «%s» при создании ссылки.
Агха «%s» аиагараан.	Ошибка «%s» при перемещении.
Адокумент ҿыц аԥҵараан агха.	Ошибка при создании нового документа.
Аҭаӡ ҿыц аԥҵараан агха.	Ошибка создания новой папки.
«%s» ахь  ақәҭыхра агха ҟалеит.	Ошибка копирования в «%s».
Ақәҭыхраан агха.	Ошибка при копирования.
«%s» ахь азхьарԥш аԥҵараан агха.	Ошибка при создании ссылки в «%s».
«%s» ахь азхьарԥш аԥҵараан агха.	Ошибка при создании ссылок в «%s».
Аныхраан агха.	Ошибка при удаления.
«%s» ахь алементқәа риагараан агха.	Ошибка при перемещении элементов в «%s».
«%s» ахь ақәҭыхра агха.	Ошибка копирования в «%s».
Аиагараан агха.	Ошибка при перемещения.
Анагӡара:	Выполнение:
Ари афаил аҟазаара иунарбоит,  Nautilus архиара ацхыраага уажәаԥхьагьа иаадыртхьан.  Ацхырааҩ аус аларгара азыҳәан ари афаил напыла иаԥышәхыр шәылшоит. 	Наличие этого файла указывает на то, что помощник по настройке Nautilus вызывался ранее.  Вы можете удалить этот файл вручную, чтобы снова запустить помощника. 
Аекспозициа апрограмма	Программа экспозиции
Аекспозициа аамҭа	Время экспозиции
АФАИЛАХЬӠ	ИМЯФАЙЛА
FTP (авторизациа ацны)	FTP (с авторизацией)
Афаилтә менеџьер Nautilus-и акуршеи рфабрика	Фабрика оболочки и файлового менеджера Nautilus
Асахьазы адыррақәа рҭагалараан агха ҟалеит	Произошёл сбой при загрузке информации об изображении
Ацыхәқәа	Волокна
Афаилахь анеира:	Доступ к файлу:
Афаилқәа рнапхгара	Управление файлами
Афаилқәа рырхиарақәеи рнапхгареи	Настройки управления файлами
Афаилтә менеџьер	Файловый менеджер
Афаил азнеира азин:	Права доступа к файлу:
Афаил ахкы	Тип файла
Афаил ахьӡ, аҭаӡ азы афон ишыҟоу еиԥш змоу. Ахархәара аиуеит апараметр background_set шьақәыргылазар.	Имя файла, содержащего фон для папок по умолчанию. Используется только если параметр backgroundset установлен.
Афаил ахьӡ, аганахьтәи апанель азы ишыҟоу еиԥш афон зҭоу. Ахархәара аиуеит апараметр side_pane_background_set шьақәыргылазар.	Имя файла, содержащего фон по умолчанию для боковой панели.  Используется только если параметр sidepanebackgroundset установлен.
Афаилқәеи аҭаӡқәеи ииагазар мацара ҟалоит акаҵкәырахь.	Файлы и папки могут быть только перемещены в корзину.
Афаилқәа аныхуп:	Файлов удалено:
Азхьарԥш аԥҵара хыркәшахоит…	Завершается создание ссылок...
Аиагара хыркәшахоит…	Завершается перемещение...
Амцарцәаратә машьына	Пожарная машина
Амцабзҵҟьара аус аура	Срабатывание вспышки
Афлора	Флора
Афокус абжьаӡара	Фокусное расстояние
Аҭаӡахь анеира:	Доступ к папке:
Аҭаӡ азнеира азин	Права доступа к папке:
Аҭаӡқәа, иарбоу ашәагаа иеиҳахаз ихҵәахоит ари ашәагаа аҟынӡа. Ари аҭахуп машәырны агәынкылара арҭәцәареиNautilus аҭаӡ дуқәа рахь акаҳареи ацәцаразы. Иҵоурам аҵакы иаанагоитаҳәаркра аҟамзаара. Аҳәааркра инықәырԥшшәа иҟоуп, избанзар аҭаӡ аԥхьара хәҭа-хәҭала иахьымҩаԥысуазы.	Папки, размер которых превышает указанный, будут обрезаны до этого размера. Это нужно для того, чтобы избежать непреднамеренного переполнения памяти и падения Nautilus на больших папках. Отрицательное значение означает отсутствие ограничения. Ограничение приблизительно, поскольку чтение папок производится по частям.
Илхәу атом иформатрктәуп 	Форматировать выбранный том
Атом, иаарту аҭаӡ зыдҳәало, иформатрктәуп 	Форматировать том, связанный с открытой папкой
Аҭоурых ала аԥхьаҟа	Вперед по истории
Аҳашҳатәра	Окаменелость
Иҭацәу аҭыԥ:	Свободное место:
GNOME алагылазаара	Среда GNOME
Ииастәуп… ахь	Перейти к:
CD/DVD аԥҵарахьы ииастәуп	Перейти к созданию CD/DVD
Аҭаӡ "Акомпиутер" ахь ииастәуп	Перейти в папку "Компьютер"
