source,target
"Select a table from the Contents list, then press Tab or click outside the input box to leave the input box.","Select a table from the Contents list, then press Tab or click outside the input box to leave the input box."
"<ahelp hid=""."">The Add Field window is shown automatically when you have selected a table in the Contents box and leave that box. You can also click the Add Field icon on the toolbar, or choose <item type=""menuitem"">View - Add Field</item>.</ahelp>","<ahelp hid=""."">The Add Field window is shown automatically when you have selected a table in the Contents box and leave that box. You can also click the Add Field icon on the toolbar, or choose <item type=""menuitem"">View - Add Field</item>.</ahelp>"
"The <emph>General</emph> tab page can be used to change the name of the report, and to disable the Page Header or Page Footer areas, among others.","The <emph>General</emph> tab page can be used to change the name of the report, and to disable the Page Header or Page Footer areas, among others."
"<ahelp hid=""."">To display the Data or General tab page for the whole report, choose Edit - Select Report.</ahelp>","<ahelp hid=""."">To display the Data or General tab page for the whole report, choose Edit - Select Report.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Groups are kept together by page or by column (default). You must enable Keep Together also.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Groups are kept together by page or by column (default). You must enable Keep Together also.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Specifies in which context the page header will be printed: on all pages, or not on pages with a report header or footer.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Specifies in which context the page header will be printed: on all pages, or not on pages with a report header or footer.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Specifies in which context the page footer will be printed: on all pages, or not on pages with a report header or footer</ahelp>","<ahelp hid=""."" visibility=""hidden"">Specifies in which context the page footer will be printed: on all pages, or not on pages with a report header or footer</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Specifies to print repeated values.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Specifies to print repeated values.</ahelp>"
"If you click the Page Header or Page Footer area without selecting any object, you see the <emph>General</emph> tab page for that area.","If you click the Page Header or Page Footer area without selecting any object, you see the <emph>General</emph> tab page for that area."
You can edit some visual properties for the area.,You can edit some visual properties for the area.
"<ahelp hid=""."" visibility=""hidden"">Sets the background color for the selected object, both on screen and for printing.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Sets the background color for the selected object, both on screen and for printing.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">An invisible object is not shown in the executed report. It is still visible in the Report Builder view.</ahelp>","<ahelp hid=""."" visibility=""hidden"">An invisible object is not shown in the executed report. It is still visible in the Report Builder view.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Defines the height of the selected object.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Defines the height of the selected object.</ahelp>"
"<ahelp hid=""."">If the Conditional Print Expression evaluates to TRUE, the selected object will be printed.</ahelp>","<ahelp hid=""."">If the Conditional Print Expression evaluates to TRUE, the selected object will be printed.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Specifies whether the background of the selected object is transparent or opaque.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Specifies whether the background of the selected object is transparent or opaque.</ahelp>"
"If you click the <emph>Detail</emph> area without selecting any object, you see the <emph>General</emph> tab page for that area.","If you click the <emph>Detail</emph> area without selecting any object, you see the <emph>General</emph> tab page for that area."
You can specify some properties to fine-tune the way the records are printed.,You can specify some properties to fine-tune the way the records are printed.
"<ahelp hid=""."" visibility=""hidden"">Force New Page specifies whether the current section and/or the next section is printed on a new page.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Force New Page specifies whether the current section and/or the next section is printed on a new page.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">New Row Or Column specifies, for a multi-column design, whether the current section and/or the next section will be printed on a new row or column.</ahelp>","<ahelp hid=""."" visibility=""hidden"">New Row Or Column specifies, for a multi-column design, whether the current section and/or the next section will be printed on a new row or column.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Keep Together specifies to print the current object starting on top of a new page if it doesn't fit on the current page.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Keep Together specifies to print the current object starting on top of a new page if it doesn't fit on the current page.</ahelp>"
"Insert some data fields into the Detail area, or insert other control fields into any area. When you select an inserted field, you can set the properties in the Properties window.","Insert some data fields into the Detail area, or insert other control fields into any area. When you select an inserted field, you can set the properties in the Properties window."
"For a Label field, you can change the displayed text in the Label input box.","For a Label field, you can change the displayed text in the Label input box."
"<ahelp hid=""."">For a picture, you can specify to either insert the picture as a link to a file or only as an embedded object in the Base file. The embedded option increases the size of the Base file, while the link option is not as portable to other computers.</ahelp>","<ahelp hid=""."">For a picture, you can specify to either insert the picture as a link to a file or only as an embedded object in the Base file. The embedded option increases the size of the Base file, while the link option is not as portable to other computers.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Set the X Position for the selected object</ahelp>","<ahelp hid=""."" visibility=""hidden"">Set the X Position for the selected object</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Set the Y Position for the selected object</ahelp>","<ahelp hid=""."" visibility=""hidden"">Set the Y Position for the selected object</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Sets the width of the selected object.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Sets the width of the selected object.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select the font for the selected text object.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select the font for the selected text object.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Print when group change</ahelp>","<ahelp hid=""."" visibility=""hidden"">Print when group change</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Vert. Alignment</ahelp>","<ahelp hid=""."" visibility=""hidden"">Vert. Alignment</ahelp>"
"On the <emph>General</emph> tab page of a data field, you can set the Formatting properties, among others.","On the <emph>General</emph> tab page of a data field, you can set the Formatting properties, among others."
"<ahelp hid=""."">On the Data tab page, you can change the data contents to be shown.</ahelp>","<ahelp hid=""."">On the Data tab page, you can change the data contents to be shown.</ahelp>"
<bookmark_value>Adabas D databases (base)</bookmark_value>,<bookmark_value>Adabas D databases (base)</bookmark_value>
"<ahelp hid=""."">Specifies the settings for importing an Adabas D database.</ahelp>","<ahelp hid=""."">Задает параметры импорта базы данных Adabas D.</ahelp>"
"<link href=""text/shared/explorer/database/30000000.xhp"" name=""Adabas D database format"">Adabas D database format</link>.","<link href=""text/shared/explorer/database/30000000.xhp"" name=""Формат баз данных Adabas D"">Формат баз данных Adabas D</link>."
Adabas is only integrated into StarOffice and StarSuite.,Adabas is only integrated into StarOffice and StarSuite.
<bookmark_value>Report Builder</bookmark_value>,<bookmark_value>Report Builder</bookmark_value>
"<variable id=""rep_main""><link href=""text/shared/explorer/database/rep_main.xhp"">Report Builder</link></variable>","<variable id=""rep_main""><link href=""text/shared/explorer/database/rep_main.xhp"">Report Builder</link></variable>"
"The Report Builder is a tool to create your own database reports. Unlike with the <link href=""text/shared/autopi/01100000.xhp"">Report Wizard</link>, using the Report Builder you can take control to design the report the way you want. The generated report is a Writer document that you can edit, too.","The Report Builder is a tool to create your own database reports. Unlike with the <link href=""text/shared/autopi/01100000.xhp"">Report Wizard</link>, using the Report Builder you can take control to design the report the way you want. The generated report is a Writer document that you can edit, too."
"To use the Report Builder, the Report Builder extension must be installed.","To use the Report Builder, the Report Builder extension must be installed."
To open the Report Builder,To open the Report Builder
Open a Base file or create a new database. The database must contain at least one table with at least one data field and a primary key field.,Open a Base file or create a new database. The database must contain at least one table with at least one data field and a primary key field.
"Click the Reports icon in the Base window, then choose Create Report in Design View.","Click the Reports icon in the Base window, then choose Create Report in Design View."
The Report Builder window opens. ,The Report Builder window opens. 
"The Report Builder is divided into three parts. On the top you see the menu, with the toolbars below.","The Report Builder is divided into three parts. On the top you see the menu, with the toolbars below."
On the right you see the Properties window with the property values of the currently selected object.,On the right you see the Properties window with the property values of the currently selected object.
"The left part of the Report Builder window shows the Report Builder view. The Report Builder view is initially divided into three sections, from top to bottom:","The left part of the Report Builder window shows the Report Builder view. The Report Builder view is initially divided into three sections, from top to bottom:"
<emph>Page Header</emph> - drag control fields with fixed text into the Page Header area,<emph>Page Header</emph> - drag control fields with fixed text into the Page Header area
<emph>Detail</emph> - drag and drop database fields into the Detail area,<emph>Detail</emph> - drag and drop database fields into the Detail area
<emph>Page Footer</emph> - drag control fields with fixed text into the Page Footer area,<emph>Page Footer</emph> - drag control fields with fixed text into the Page Footer area
"To insert an additional <emph>Report Header</emph> and <emph>Report Footer</emph> area choose <item type=""menuitem"">Edit - Insert Report Header/Footer</item>. These areas contain text that appears at the start and end of the whole report.","To insert an additional <emph>Report Header</emph> and <emph>Report Footer</emph> area choose <item type=""menuitem"">Edit - Insert Report Header/Footer</item>. These areas contain text that appears at the start and end of the whole report."
"Click the ""-"" icon in front of an area name to collapse that area to one line in the Report Builder view. The ""-"" icon changes to a ""+"" icon, and you can click this to expand the area again.","Click the ""-"" icon in front of an area name to collapse that area to one line in the Report Builder view. The ""-"" icon changes to a ""+"" icon, and you can click this to expand the area again."
"You insert database fields by drag-and-drop into the Detail area. See the section ""To insert fields into the report"" below.","You insert database fields by drag-and-drop into the Detail area. See the section ""To insert fields into the report"" below."
"In addition, you can click the Label Field or Text Box icon in the toolbar, then drag a rectangle in the Page Header or Page Footer area, to define a text that is the same on all pages. You enter the text in the Label box of the corresponding Properties window. You can also add graphics by using the Graphics icon.","In addition, you can click the Label Field or Text Box icon in the toolbar, then drag a rectangle in the Page Header or Page Footer area, to define a text that is the same on all pages. You enter the text in the Label box of the corresponding Properties window. You can also add graphics by using the Graphics icon."
To connect the report to a database table,To connect the report to a database table
First you must connect the report to a database table.,First you must connect the report to a database table.
Move the mouse to the Properties view. You see two tab pages General and Data.,Move the mouse to the Properties view. You see two tab pages General and Data.
"On the Data tab page, click Content to open the combo box.","On the Data tab page, click Content to open the combo box."
Select the table for that you want to create the report.,Select the table for that you want to create the report.
"After selecting the table, press the <item type=""keycode"">Tab</item> key to leave the Content box.","After selecting the table, press the <item type=""keycode"">Tab</item> key to leave the Content box."
The Add Field window opens automatically and shows all fields of the selected table.,The Add Field window opens automatically and shows all fields of the selected table.
To insert fields into the report,To insert fields into the report
The Add Field window helps you to insert the table entries in the report. Click the Add Field icon in the toolbar to open the Add Field window.,The Add Field window helps you to insert the table entries in the report. Click the Add Field icon in the toolbar to open the Add Field window.
Drag and drop the field names one by one from the Add Field window into the Detail area of the report. Position the fields as you like. Use the icons in the toolbars to align the fields.,Drag and drop the field names one by one from the Add Field window into the Detail area of the report. Position the fields as you like. Use the icons in the toolbars to align the fields.
"It is not possible to overlap the fields. If you drop a table field on the Detail area, then a label and a text box are inserted.","It is not possible to overlap the fields. If you drop a table field on the Detail area, then a label and a text box are inserted."
"You can also insert text that should be the same on every page of the report. Click the Label Field icon, then drag a rectangle in the Page Header or Page Footer area. Edit the Label property to show the text you want.","You can also insert text that should be the same on every page of the report. Click the Label Field icon, then drag a rectangle in the Page Header or Page Footer area. Edit the Label property to show the text you want."
"<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to align the objects at the left margin of the area.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to align the objects at the left margin of the area.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to align the objects at the right margin of the area.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to align the objects at the right margin of the area.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to align the objects at the top margin of the area.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to align the objects at the top margin of the area.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to align the objects at the bottom margin of the area.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to align the objects at the bottom margin of the area.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to resize the objects to the smallest width.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to resize the objects to the smallest width.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to resize the objects to the smallest height.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to resize the objects to the smallest height.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to resize the objects to the greatest width.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to resize the objects to the greatest width.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to resize the objects to the greatest height.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select two or more objects and click this icon to resize the objects to the greatest height.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Inserts a horizontal line to the current area.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Inserts a horizontal line to the current area.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Inserts a vertical line to the current area.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Inserts a vertical line to the current area.</ahelp>"
"After inserting fields in the Detail view, the report is ready for execution.","After inserting fields in the Detail view, the report is ready for execution."
To execute a report,To execute a report
Click the Execute Report  icon on the toolbar.,Click the Execute Report  icon on the toolbar.
"A Writer document opens and shows the report you have created, which contains all values of the database table which you have insert.","A Writer document opens and shows the report you have created, which contains all values of the database table which you have insert."
"If the database contents did change, execute the report again to update the result report.","If the database contents did change, execute the report again to update the result report."
To edit a report,To edit a report
"First decide if you want to edit the generated report, which is a static Writer document, or if you want to edit the Report Builder view and then generate a new report based on the new design.","First decide if you want to edit the generated report, which is a static Writer document, or if you want to edit the Report Builder view and then generate a new report based on the new design."
"The Writer document is opened read-only. To edit the Writer document, click Edit File  on the Standard toolbar.","The Writer document is opened read-only. To edit the Writer document, click Edit File  on the Standard toolbar."
"If you want to edit the Report Builder, you can change some of its properties.","If you want to edit the Report Builder, you can change some of its properties."
"Click in the Details area. Then in the Properties window, change some properties, for example the background color.","Click in the Details area. Then in the Properties window, change some properties, for example the background color."
"After finishing, click the Execute Report icon to create a new report.","After finishing, click the Execute Report icon to create a new report."
"If you close the Report Builder, you will be asked if the report should be saved. Click Yes, give the report a name, and click OK.","If you close the Report Builder, you will be asked if the report should be saved. Click Yes, give the report a name, and click OK."
Sorting the report,Sorting the report
"Without sorting or grouping, the records will be inserted into the report in the order in which they are retrieved from the database.","Without sorting or grouping, the records will be inserted into the report in the order in which they are retrieved from the database."
"Open the Report Builder view and click the Sorting and Grouping icon  in the toolbar. You see the <link href=""text/shared/explorer/database/rep_sort.xhp"">Sorting and Grouping</link> dialog.","Open the Report Builder view and click the Sorting and Grouping icon  in the toolbar. You see the <link href=""text/shared/explorer/database/rep_sort.xhp"">Sorting and Grouping</link> dialog."
"In the Groups box, click the field which you want as the first sort field, and set the Sorting property.","In the Groups box, click the field which you want as the first sort field, and set the Sorting property."
Execute the report.,Execute the report.
Grouping,Grouping
"In the Groups box, open the Group Header list box and select to show a group header.","In the Groups box, open the Group Header list box and select to show a group header."
Click the Add Field icon  to open the Add Field window.,Click the Add Field icon  to open the Add Field window.
Drag-and-drop the field entry that you want to group into the group header section. Then drag-and-drop the remaining fields into the Detail section.,Drag-and-drop the field entry that you want to group into the group header section. Then drag-and-drop the remaining fields into the Detail section.
Execute the report. The report shows the grouped records.,Execute the report. The report shows the grouped records.
"If you like to sort and group, open the Report Builder view, then open the Sorting and Grouping dialog. Select to show a Group Header for the fields that you want to group, and select to hide the Group Header for the fields that you want to be sorted. Close the Sorting and Grouping window and execute the report.","If you like to sort and group, open the Report Builder view, then open the Sorting and Grouping dialog. Select to show a Group Header for the fields that you want to group, and select to hide the Group Header for the fields that you want to be sorted. Close the Sorting and Grouping window and execute the report."
Updating and printing your data,Updating and printing your data
"When you insert some new data or edit data in the table, a new report will show the updated data.","When you insert some new data or edit data in the table, a new report will show the updated data."
Click the Reports icon and double-click your last saved report. A new Writer document will be created which shows the new data.,Click the Reports icon and double-click your last saved report. A new Writer document will be created which shows the new data.
"To print a report, choose File - Print from the Writer document.","To print a report, choose File - Print from the Writer document."
"<link href=""text/shared/explorer/database/05010000.xhp"" name=""Table Design"">Table Design</link>","<link href=""text/shared/explorer/database/05010000.xhp"" name=""Конструктор таблиц"">Конструктор таблиц</link>"
Field Name,Аҭыԥ ахьыӡ
Copies the selected row to the clipboard.,Копирование выделенных строк в буфер обмена.
Pastes the content of the clipboard.,Вставка содержимого из буфера обмена.
"<ahelp hid="".uno:Delete"">Deletes the selected row.</ahelp>","<ahelp hid="".uno:Delete"">Удаление выделенных строк</ahelp>"
Format example,Аформат аҿырԥшы
Help area,Область справки
"<ahelp hid=""HID_TABLE_DESIGN_HELP_WINDOW"">Displays help texts.</ahelp>","<ahelp hid=""HID_TABLE_DESIGN_HELP_WINDOW"">Отображение текста справки.</ahelp>"
<bookmark_value>Access databases (base)</bookmark_value><bookmark_value>Microsoft Office;Access databases (base)</bookmark_value>,<bookmark_value>Access databases (base)</bookmark_value><bookmark_value>Microsoft Office;Access databases (base)</bookmark_value>
<bookmark_value>access rights for database tables (Base)</bookmark_value><bookmark_value>tables in databases; access rights to (Base)</bookmark_value>,<bookmark_value>права доступа к таблицам базы данных</bookmark_value><bookmark_value>таблицы в базах данных; права доступа</bookmark_value>
Displays the type of database.,Отображение типа базы данных.
Displays the complete path of the database table.,Отображение полного пути к таблице базы данных.
Read data,Прочитать данные
"<ahelp hid=""."">Allows a user to read the data.</ahelp>","<ahelp hid=""."">Пользователь имеет право на чтение данных.</ahelp>"
Insert data,Вставить данные
"<ahelp hid=""."">Allows a user to insert new data.</ahelp>","<ahelp hid=""."">Пользователь имеет право на вставку новых данных.</ahelp>"
Change data,Изменить данные
"<ahelp hid=""."">Allows a user to change data.</ahelp>","<ahelp hid=""."">Пользователь имеет право на изменение данных.</ahelp>"
Delete data,Удалить данные
"<ahelp hid=""."">Allows a user to delete data.</ahelp>","<ahelp hid=""."">Пользователь имеет право на удаление данных.</ahelp>"
Change table structure,Изменить структуру таблицы
"<ahelp hid=""."">Allows a user to change the table structure.</ahelp>","<ahelp hid=""."">Пользователь имеет право на изменение структуры таблицы.</ahelp>"
"<ahelp hid=""."">Allows the user to delete the table structure.</ahelp>","<ahelp hid=""."">Пользователь имеет право на удаление структуры таблицы.</ahelp>"
"Yes, register the Database for me","Аиеи, иҭаҩҩтәуп адыррақәа рышьаҭа"
"No, do not register the database","Мап, иҭаҩҩтәӡам адыррақәа рышьаҭа"
"<variable id=""rep_datetime""><link href=""text/shared/explorer/database/rep_datetime.xhp"">Date and Time</link></variable>","<variable id=""rep_datetime""><link href=""text/shared/explorer/database/rep_datetime.xhp"">Date and Time</link></variable>"
"<ahelp hid=""."">You can open the Date and Time dialog of the <link href=""text/shared/explorer/database/rep_main.xhp"">Report Builder</link> by choosing <item type=""menuitem"">Insert - Date and Time</item>.</ahelp>","<ahelp hid=""."">You can open the Date and Time dialog of the <link href=""text/shared/explorer/database/rep_main.xhp"">Report Builder</link> by choosing <item type=""menuitem"">Insert - Date and Time</item>.</ahelp>"
"<ahelp hid=""."">Enable Include Date to insert a date field into the active area of the report. The date field displays the current date when the report is executed.</ahelp>","<ahelp hid=""."">Enable Include Date to insert a date field into the active area of the report. The date field displays the current date when the report is executed.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select a format to display the date.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select a format to display the date.</ahelp>"
"<ahelp hid=""."">Enable Include Time to insert a time field into the active area of the report. The time field displays the current time when the report is executed.</ahelp>","<ahelp hid=""."">Enable Include Time to insert a time field into the active area of the report. The time field displays the current time when the report is executed.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Select a format to display the time.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Select a format to display the time.</ahelp>"
Click OK to insert the field.,Click OK to insert the field.
"You can click the date or time field and drag to another position within the same area, or edit the properties in the Properties window.","You can click the date or time field and drag to another position within the same area, or edit the properties in the Properties window."
"<link href=""text/shared/explorer/database/menuinsert.xhp"">Insert</link>","<link href=""text/shared/explorer/database/menuinsert.xhp"">Вставка</link>"
Report,Аҳасабырба аҟаза
Query (Design View),Запрос (конструктор)
Query (SQL View),Запрос (режим SQL)
"<ahelp hid=""."">Opens the table design view.</ahelp>","<ahelp hid=""."">Открывает конструктор таблиц.</ahelp>"
"<ahelp hid=""."">Opens a new view in design mode.</ahelp>","<ahelp hid=""."">Открывает новое представление в режиме конструктора.</ahelp>"
View (Simple),Представление (простое)
"<ahelp hid=""."">Opens a new view in SQL mode.</ahelp>","<ahelp hid=""."">Открывает новое представление в режиме SQL.</ahelp>"
Assign columns,Назначить столбцы
"<link href=""text/shared/explorer/database/05030400.xhp"" name=""Assign columns"">Assign columns</link>","<link href=""text/shared/explorer/database/05030400.xhp"" name=""Назначить столбцы"">Назначить столбцы</link>"
up,вверх
down,вниз
all,все
<bookmark_value>spreadsheets;as databases (base)</bookmark_value>,<bookmark_value>spreadsheets;as databases (base)</bookmark_value>
Report to Text Document,Аҳасабрба атекст документ ахь
"<link href=""text/shared/explorer/database/menuview.xhp"">View</link>","<link href=""text/shared/explorer/database/menuview.xhp"">Вид</link>"
Database Objects,Адыррақәа рбаза аобиект
Refresh Tables,Аҭаӡҩыра рҿыцтәуп
%PRODUCTNAME Database,%PRODUCTNAME адыррақәа рышьаҭа
"<variable id=""base""><link href=""text/shared/explorer/database/main.xhp"">Using Databases in %PRODUCTNAME Base</link></variable>","<variable id=""base""><link href=""text/shared/explorer/database/main.xhp"">Использование баз данных в базе данных %PRODUCTNAME</link></variable>"
"The following database types are read-only types in %PRODUCTNAME Base. From within %PRODUCTNAME Base it is not possible to change the database structure or to edit, insert, and delete database records for these database types:","The following database types are read-only types in %PRODUCTNAME Base. From within %PRODUCTNAME Base it is not possible to change the database structure or to edit, insert, and delete database records for these database types:"
Spreadsheet files,Spreadsheet files
Text files,Text files
Address book data,Address book data
Using a Database in %PRODUCTNAME,Использование базы данных в %PRODUCTNAME
"<embedvar href=""text/shared/guide/data_view.xhp#data_view""/>","<embedvar href=""text/shared/guide/data_view.xhp#data_view""/>"
"<embedvar href=""text/shared/guide/data_register.xhp#data_register""/>","<embedvar href=""text/shared/guide/data_register.xhp#data_register""/>"
"<embedvar href=""text/shared/guide/data_new.xhp#data_new""/>","<embedvar href=""text/shared/guide/data_new.xhp#data_new""/>"
"<embedvar href=""text/shared/guide/data_tables.xhp#data_tables""/>","<embedvar href=""text/shared/guide/data_tables.xhp#data_tables""/>"
"<embedvar href=""text/shared/guide/data_queries.xhp#data_queries""/>","<embedvar href=""text/shared/guide/data_queries.xhp#data_queries""/>"
"<embedvar href=""text/shared/guide/data_forms.xhp#data_forms""/>","<embedvar href=""text/shared/guide/data_forms.xhp#data_forms""/>"
"<embedvar href=""text/shared/guide/data_reports.xhp#data_reports""/>","<embedvar href=""text/shared/guide/data_reports.xhp#data_reports""/>"
"<embedvar href=""text/shared/guide/data_im_export.xhp#data_im_export""/>","<embedvar href=""text/shared/guide/data_im_export.xhp#data_im_export""/>"
"<embedvar href=""text/shared/explorer/database/menubar.xhp#titletext""/>","<embedvar href=""text/shared/explorer/database/menubar.xhp#titletext""/>"
"<embedvar href=""text/shared/explorer/database/toolbars.xhp#toolbars""/>","<embedvar href=""text/shared/explorer/database/toolbars.xhp#toolbars""/>"
"In a database window, choose <emph>Edit - Database - Properties</emph>","In a database window, choose <emph>Edit - Database - Properties</emph>"
"<link href=""text/shared/explorer/database/30100000.xhp"" name=""Create New Adabas Database"">Create New Adabas Database</link>","<link href=""text/shared/explorer/database/30100000.xhp"" name=""Создание базы данных Adabas"">Создание базы данных Adabas</link>"
Administrator,Администратор
Domain User,Пользователь домена
"<ahelp hid=""HID_DLG_ADABAS_DOMAINPWD"">Enter a password.</ahelp>","<ahelp hid=""HID_DLG_ADABAS_DOMAINPWD"">Введите пароль.</ahelp>"
Database settings,Параметры базы данных
Database size (MB),Размер базы данных (МБ)
<bookmark_value>tables in databases;importing text formats (Base)</bookmark_value><bookmark_value>text databases (Base)</bookmark_value>,<bookmark_value>tables in databases;importing text formats (Base)</bookmark_value><bookmark_value>text databases (Base)</bookmark_value>
Custom,Ашьақәыргылара
Copy Table,Аҭаӡҩыра акопиа ахыхтәуп
"<link href=""text/shared/explorer/database/05030100.xhp"" name=""Copy Table"">Copy Table</link>","<link href=""text/shared/explorer/database/05030100.xhp"" name=""Копировать таблицу"">Копировать таблицу</link>"
Definition and data,Аструктуреи адыррақәеи
Definition,Аструктура
As table view,В виде таблицы
Append data,Адыррақәа иацаҳҵап
Create primary key,Аԥхьатәи ацыԥха иаԥҳҵап
"SELECT ""Address"" FROM ""biblio"" ""biblio""","SELECT ""Address"" FROM ""biblio"" ""biblio"""
Report Navigator,Report Navigator
<bookmark_value>formulas in reports;editing</bookmark_value><bookmark_value>functions in reports;editing</bookmark_value>,<bookmark_value>formulas in reports;editing</bookmark_value><bookmark_value>functions in reports;editing</bookmark_value>
"<variable id=""rep_navigator""><link href=""text/shared/explorer/database/rep_navigator.xhp"">Report Navigator</link></variable>","<variable id=""rep_navigator""><link href=""text/shared/explorer/database/rep_navigator.xhp"">Report Navigator</link></variable>"
"You can open the Report Navigator window of the <link href=""text/shared/explorer/database/rep_main.xhp"">Report Builder</link> by choosing <item type=""menuitem"">View - Report Navigator</item>.","You can open the Report Navigator window of the <link href=""text/shared/explorer/database/rep_main.xhp"">Report Builder</link> by choosing <item type=""menuitem"">View - Report Navigator</item>."
"<ahelp hid=""."">The Report Navigator reveals the structure of the report. You can use the Report Navigator to insert functions into the report.</ahelp>","<ahelp hid=""."">The Report Navigator reveals the structure of the report. You can use the Report Navigator to insert functions into the report.</ahelp>"
"<ahelp hid=""."">Click an entry in the Report Navigator. The corresponding object or area is selected in the Report Builder view. Right-click an entry to open the context menu.</ahelp>","<ahelp hid=""."">Click an entry in the Report Navigator. The corresponding object or area is selected in the Report Builder view. Right-click an entry to open the context menu.</ahelp>"
To enter functions to the report,To enter functions to the report
"<ahelp hid=""."">In the context menu of the Report Navigator, you see the same commands as in the Report Builder view, plus additional commands to create new functions or to delete them.</ahelp>","<ahelp hid=""."">In the context menu of the Report Navigator, you see the same commands as in the Report Builder view, plus additional commands to create new functions or to delete them.</ahelp>"
"Functions can be entered using a syntax as specified by the <link href=""http://en.wikipedia.org/wiki/OpenFormula"">OpenFormula</link> proposal.","Functions can be entered using a syntax as specified by the <link href=""http://en.wikipedia.org/wiki/OpenFormula"">OpenFormula</link> proposal."
"<ahelp hid=""."" visibility=""hidden"">Enter the formula that defines the function. Use OpenFormula syntax.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Enter the formula that defines the function. Use OpenFormula syntax.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">Enter the initial value for the evaluation of the formula. Often this is set to 0 or to 1.</ahelp>","<ahelp hid=""."" visibility=""hidden"">Enter the initial value for the evaluation of the formula. Often this is set to 0 or to 1.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">If Deep traversing is enabled, functions are evaluated considering all lower levels of hierarchy. This would be used for instance for line numbering. If Deep traversing is not enabled, only the first level of hierarchy is evaluated.</ahelp>","<ahelp hid=""."" visibility=""hidden"">If Deep traversing is enabled, functions are evaluated considering all lower levels of hierarchy. This would be used for instance for line numbering. If Deep traversing is not enabled, only the first level of hierarchy is evaluated.</ahelp>"
"<ahelp hid=""."" visibility=""hidden"">If Pre evaluation is enabled, functions are evaluated only when the report is finished.</ahelp>","<ahelp hid=""."" visibility=""hidden"">If Pre evaluation is enabled, functions are evaluated only when the report is finished.</ahelp>"
~Display border,Показать рамку
Print border,Печать рамок
Copy ~back,Обратное копирование
Copy ~entire sheet,Копировать весь лист
~Comment,Комментарии
Count (Numbers only),Ахыԥхьаӡара (арыцхәқәа рымацара)
StDev (Sample),Иеиҭагоу ахьаҵ (Ақәырԥшы)
