Аԥсны аҳәынҭқарра ашьаустә закәанеидкыла	Уголовный кодекс республики абхазия
шьауӷас иазыԥҵәоуп маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра ҿҳәарала хәышықәса рҟынӡа.	наказывается лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет.
Урҭ аумҭақәа ирыхҟьазар машәырла ихьанҭоу аҵыхәҭәақәа, –	То же деяние, повлекшее по неосторожности тяжкие последствия, –
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ԥшьышықәса рҟынӡа.	наказывается лишением свободы на срок до четырех лет.
X аҟәша. АҲӘЫНҬҚАРРАТӘ МЧРА ИАԥЫНГЫЛО АЦӘГЬАУРА	РАЗДЕЛ Х. Преступление против государственной власти
29-тәи ахы. АКОНСТИТУЦИАТӘ ШЬАҚӘГЫЛАШЬЕИ АҲӘЫНҬҚАРРАТӘ ШӘАРҬАДАРЕИ РЫШЬАҬАҚӘА ИРԥЫНГЫЛО АЦӘГЬАУРА	Глава 29. Преступление против основ Конституционного строя и безопасности государства
Аҳәынҭқарратә ԥсахра (анаԥхара)	Государственная измена
Аҳәынҭқарратә ԥсахра, д.и., Аԥсны Аҳәынҭқарра атәылауаҩы ила, гәҭакыла, атәыла ахьыԥшымра, аҵакырадгьыл алакьымсра, мамзаргьы аҳәынҭқарратә шәарҭадара, Аԥсны Аҳәынҭқарра ахыхьчаратә лшара иамоу ааха рызҭо аумҭақәа рымҩаԥгара, лымкаала: аӷа ишҟа аиасра, ашпионра, аҳәынҭқарра амаӡеи, мамзаргьы аибашьратә маӡеи атәым ҳәынҭқарразы араргамара, Аԥсны Аҳәынҭқарра аҵшәаараҿы атәым ҳәынҭқарра ацхыраара аҭара, –	Государственная измена, то есть деяния, умышленно совершенные гражданином Республики Абхазия в ущерб суверенитету, территориальной неприкосновенности или государственной безопасности и обороноспособности Республики Абхазия: переход на сторону врага, шпионаж, выдача государственной или военной тайны иностранному государству, оказание иностранному государству помощи в проведении враждебной деятельности против Республики Абхазия, –
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала жәашықәса инадыркны жәохә шықәса рҟынӡа, мамзаргьы ԥсраҽнынӡа ахақәиҭра алхәдатәра, мамзаргьы ашьрақәҵара.	наказываются лишением свободы на срок от десяти до пятнадцати лет либо пожизненным лишением свободы, или смертной казнью.
Азгәаҭа. Абри Азакәанеидкыла абри ахәҭаҷи, иара убас, ахәҭаҷқәа 274, 277 рҿы иазԥхьагәаҭоу ацәгьаурақәа ҟазҵаз ауаҩытәыҩса ашьаустә ҭакԥхықәра аҟынтәи ихы дақәиҭтәхоит уи ихатәгәаԥхарала, насгьы ианаамҭоу амчра аусбарҭақәа адырра рыҭарала, мамзаргьы даҽа хкык ала дацхраар Аԥсны Аҳәынҭқарра азҿлымҳарақәа уи нахыс аԥхасҭа злармоуша аҭагылазаашьа аԥҵара аҿы, уи адагьы зыҟаҵара дахьӡаз аумҭа аҿы даҽа цәгьаурак аилазаара адыргақәа амамзар.	Примечание. Лицо, совершившее преступления, предусмотренные настоящей статьей, а также статьями 274 и 277 настоящего Кодекса, освобождается от уголовной ответственности, если оно добровольным и своевременным сообщением органам власти или иным образом способствовало предотвращению дальнейшего ущерба интересам Республики Абхазия и если в его действиях не содержится иного состава преступления.
Ашпионаж (ашпионра)	Шпионаж
Аԥсны Аҳәынҭқарра амаӡеи, аибашьратә маӡеи ирызку адыррақәа атәым ҳәынҭқаррахь, мамзаргьы атәым ҳәынҭқарратә еиҿкаарахь рышьҭра, мамзаргьы урҭ рхаҭарнак иҭара, мамзаргьы урҭ рыҭара хықәкыс иҟаҵаны аҳәынҭқарратә маӡеи аибашьратә маӡеи ирызку адыррақәа реидкылара, рӷьычра, мамзаргьы рыҵәахра, иара убас, атәым ҳәынҭқарратә ԥшыхәра адҵала Аԥсны Аҳәынҭқарра анҭыҵтәи ашәарҭадара ԥырхагас иаҭазарц азы даҽа дыррақәак реизгара, урҭ аумҭақәа ҟаҵазар атәым тәылауаҩы ила, мамзаргьы атәылауаҩра змам ауаҩытәыҩса ила, –	Передача, а равно собирание, похищение или хранение в целях передачи иностранному государству, иностранной организации или их представителям сведений, составляющих государственную или военную тайну Республики Абхазия, а также передача или собирание по заданию иностранной разведки иных сведений для использования их в ущерб внешней безопасности Республики Абхазия, если эти деяния совершены иностранным гражданином или лицом без гражданства, –
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала жәашықәса инадыркны жәохә шықәса рҟынӡа.	наказывается лишением свободы на срок от десяти до пятнадцати лет.
Аҳәынҭқарратә, мамзарагьы ауаажәларратә усзуҩы иԥсҭазаара ақәыххра	Посягательство на жизнь государственного или общественного деятеля
Аҳәынҭқарратә, мамзарагьы ауаажәларратә усзуҩы, уи дызҿу аҳәынҭқарратә, мамзаргьы даҽа политикатә маҵурак иаҟәыхра хықәкыс иаҭаны, мамзаргьы уи аусуразы шьаурак аҳасабала иԥсҭазаара ақәыххра (аршәарӡыӡаратә акт), –	Посягательство на жизнь государственного или общественного деятеля, совершенное в целях прекращения его государственной или иной политической деятельности либо из мести за такую деятельность (террористический акт), –
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала жәашықәса инадыркны жәохә шықәса рҟынӡа, мамзаргьы ԥсраҽнынӡа ахақәиҭра алхәдатәра, мамзаргьы ашьрақәҵара.	наказывается лишением свободы на срок от десяти до пятнадцати лет либо пожизненным лишением свободы или смертной казнью.
Мчыла амчра агара, мамзаргьы амчра аанкылара	Насильственный захват власти или насильственное удержание власти
Аԥсны Аҳәынҭқарра Аконституциатә шьақәгылашьа аилагара иазкны мчыла амчра агара, мамзаргьы мчыла аанкылара, иара убас, Аԥсны Аҳәынҭқарра Аконституциатә шьақәгылашьа аԥсахра иазку аҟаҵамҭа, –	Действия, направленные на насильственный захват власти или насильственное удержание власти в нарушение Конституции Республики Абхазия, а равно направленные на насильственное изменение конституционного строя Республики Абхазия, –
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала жәашықәса инадыркны жәохә шықәса рҟынӡа.	наказываются лишением свободы на срок от десяти до пятнадцати лет.
Бџьаршьҭыхрала агылара	Вооруженный мятеж
Аԥсны Аҳәынҭқарра Аконституциатә шьақәгылашьа аԥсахра, мамзаргьы Аԥсны Аҳәынҭқарра аҵакырадгьыл акзаара аилагара хықәкыс иаҭаны бџьарлатәи агылара аиҿкаара, мамзаргьы уи агылара активла аҽалархәра, –	Организация вооруженного мятежа (восстания) либо активное участие в нем в целях свержения или насильственного изменения конституционного строя Республики Абхазия либо нарушения территориальной целостности Республики Абхазия, –
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала жәашықәса инадыркны жәохә шықәса рҟынӡа.	наказывается лишением свободы на срок от двенадцати до пятнадцати лет.
Аекстремисттә усура анагӡаразы иаарту ааԥхьара	Публичные призывы к осуществлению экстремистской деятельности
Аекстремисттә усура анагӡаразы иаарту ааԥхьара, –	Публичные призывы к осуществлению экстремистской деятельности, -
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала хышықәса рҟынӡа.	наказываются лишением свободы на срок до трех лет.
Урҭ аумҭақәа ауаа рацәа рылаҳәагатә хархәагақәа рхархәарала рыҟаҵара, –	Те же деяния, совершенные с использованием средств массовой информации, -
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра ҿҳәарала хышықәса рҟынӡа.	наказываются лишением свободы на срок от двух до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет.
Адиверсиа	Диверсия
Аԥсны Аҳәынҭқарра аекономикатә шәарҭадара ахыхьчаратә лшареи рыҵшәаара хықәкыс измоу, аԥжәарақәа, амцаркрақәа, мамзаргьы анаплакқәа, аргыларақәа, аихамҩеи егьырҭ адырраҭаратәи аимадаратәи хархәагақәеи, ауааԥсыра рыԥсҭазаара аиқәыршәагатә обиектқәеи реилажьра рыԥхасҭатәрақәа рымҩаԥгара, –	Совершение взрыва, поджога или иных действий, направленных на разрушение или повреждение предприятий, сооружений, путей и средств сообщения, средств связи, объектов жизнеобеспечения населения в целях подрыва экономической безопасности и обороноспособности Республики Абхазия, –
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала жәаҩа шықәса инадыркны жәохә шықәса рҟынӡа.	наказывается лишением свободы на срок от десяти до пятнадцати лет.
Аумҭақәа еиҿкаау агәыԥ ала рыҟаҵара, –	Те же деяния, совершенные организованной группой, -
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала жәаҩа шықәса инадыркны жәохә шықәса рҟынӡа, мамзаргьы ԥсраҽнынӡа ахақәиҭра алхәдатәра, мамзаргьы ашьрақәҵара.	наказываются лишением свободы на срок от двенадцати до пятнадцати лет либо пожизненным лишением свободы, или смертной казнью.
Ацәымӷра, мамзаргьы аиӷара арбыжкра, иара убас, ауаҩытәыҩса иҳаҭыр аларҟәра	Возбуждение ненависти либо вражды, а равно унижение человеческого достоинства
Ацәымӷра, мамзаргьы аиӷара арбыжкра, иара убас, ауаҩытәыҩса иаҳаҭыр аларҟәра, мамзаргьы гәыԥҩыла ауаа ахаҵара-ԥҳәысратә, цәаԥшшәахәылатә, амилаҭратә, абызшәатә, ахылҵшьҭратә, адинхаҵаратә дыргақәа, иара убас, дызмадоу асоциалтә гәыԥ адырга амзыз ала раҳаҭыр аларҟәра, насгьы уи ҟаҵазар аргама, мамзаргьы ауаарацәа рылаҳәагатә хархәагақәа рхархәарала, –	Действия, направленные на возбуждение ненависти либо вражды, а также на унижение достоинства человека либо группы лиц по признакам пола, расы, национальности, языка, происхождения, отношения к религии, а равно принадлежности к какой-либо социальной группе, совершенные публично или с использованием средств массовой информации, -
шьауӷас ирзыԥҵәоуп ахараԥса шәагаала ҩынҩажәи жәаба нызқь инадыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык аҟынӡа, мамзаргьы ахақәиҭра алхәдатәра, ҿҳәарала ҩышықәса рҟынӡа.	наказываются штрафом в размере от пятидесяти тысяч до ста тысяч рублей, либо лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет, либо исправительными работами на срок до одного года, либо лишением свободы на срок до двух лет.
Урҭ аумҭақәа ҟаҵазар:	Те же деяния, совершенные:
а) амч ахархәарала, мамзаргьы уи ахархәаразы қәмақаррала;	а) с применением насилия или с угрозой его применения;
б) амаҵурауаҩ имаҵуратә ҭагылазаара ихы архәарала;	б) лицом с использованием своего служебного положения;
в) еиҿкаау агәыԥ ала, –	в) организованной группой, -
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа.	наказываются лишением свободы на срок от двух до пяти лет.
Аекстремисттә еилахәызаара аиҿкаара	Организация экстремистского сообщества
Аекстремисттә еилахәызаара аԥҵара д.и., аидеологиатә, аполитикатә, ацәаԥшшәахәтәы, амилаҭратә адинхаҵаратә цәымӷра, мамзаргьы аиӷара амзызқәа рыла, иара убас, абри Азакәанеидкыла ахәҭақәа 146, 147, ахәҭаҷ 207 актәи аҩбатәи ахәҭақәа, ахәҭаҷқәа 208, 241, 242, 279, 281 рыла иазԥхьагәаҭоу асоциалтә гәыԥ иаҵанакуа, аекстремисттә хырхарҭа змоу ацәгьаурақәа рцәымӷреи раӷареи мзызс иаҭаны, иара убас, уи аекстремисттә еилахәызаара аҟәшак, мамзаргьы аекстремисттә еилахәызаара аихшаратә хәҭақәа напхгара рыҭара, иара убас, аекстремисттә хырхарҭа змоу ацәгьаурақәа рыҟаҵаразы апланқәеи аҭагылазаашьақәеи рышьақәыргылареи, урҭ ацәгьаурақәа рынагӡареи хықәкыс иаҭаны аекстремисттә еилахәызаара аҟәшақәеи, аихшаратә хәҭақәеи реиҿкааҩцәа, рнапхгаҩцәа, урҭ рхаҭарнакцәеи реидгылеи аԥҵара, –	Создание экстремистского сообщества, то есть организованной группы лиц для подготовки или совершения по мотивам идеологической, политической, расовой, национальной или религиозной ненависти либо вражды, а равно по мотивам ненависти либо вражды в отношении какой-либо социальной группы преступлений, предусмотренных статьями 146, 147, частями первой и второй статьи 207, статьями 208, 241, 242, 279 и 281 настоящего Кодекса (преступления экстремистской направленности), а равно руководство таким экстремистским сообществом, его частью или входящими в такое сообщество структурными подразделениями, а также создание объединения организаторов, руководителей или иных представителей частей или структурных подразделений такого сообщества в целях разработки планов и (или) условий для совершения преступлений экстремистской направленности -
шьауӷас ирзыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны хынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хәышықәса рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра, ҿҳәарала ԥшьышықәса рҟынӡа.	наказываются штрафом в размере от тридцати тысяч до шестидесяти тысяч рублей, либо лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет, либо лишением свободы на срок до четырех лет.
Аекстремисттә еилахәызаара аҽалархәра, –	Участие в экстремистском сообществе -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала хә-нызқь инадыркны жәохә нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа, мамзаргьы уи ада.	наказывается штрафом в размере от пяти тысяч до пятнадцати тысяч рублей либо лишением свободы на срок до двух лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
Абри ахәҭаҷ актәи, мамзаргьы аҩбатәи ахәҭақәа рҿы иазԥхьагәаҭоу аумҭақәа амаҵурауаҩ имаҵуратә ҭагылазаара ихы иархәаны рыҟаҵара, –	Деяния, предусмотренные частями первой или второй настоящей статьи, совершенные лицом с использованием своего служебного положения, -
шьауӷас ирзыԥҵәоуп ахараԥса шәагаала ҩынҩажәи жәаба нызқь инадыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала хышықәса инадыркны фышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа.	наказываются штрафом в размере от пятидесяти тысяч до ста тысяч рублей либо лишением свободы на срок от трех до шести лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет.
Азгәаҭа. Аекстремисттә еилахәызаара хатәгәаԥхарала иалҵыз ауаҩы, ашьаустә ҭакԥхықәра аҟынтәи ихы дақәиҭтәхоит, уаанӡа иҟаиҵахьаз аумҭаҿы даҽа цәгьаурак аилахәызаара адыргақәа ыҟамзар.	Примечание. Лицо, добровольно прекратившее участие в экстремистском сообществе, освобождается от уголовной ответственности, если в его действиях не содержится иного состава преступления.
Аекстремисттә еиҿкаара аусура аиҿкаара	Организация деятельности экстремистской организации
Аекстремисттә усура ахьымҩаԥнагоз иахҟьаны ауаажәларратәи, мамзаргьы адинхаҵаратәи еидгыла, мамзаргьы даҽа еиҿкаарак азакәан амчра зоухьоу аӡбара иаднакылаз азыӡба ала иаԥыху, мамзаргьы иԥку еиҭах аиҿкаара, –	Организация деятельности общественного или религиозного объединения либо иной организации, в отношении которых судом принято вступившее в законную силу решение о ликвидации или запрете деятельности в связи с осуществлением экстремистской деятельности, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩынҩажәи жәаба нызқь инадыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра, ҿҳәарала хышықәса рҟынӡа.	наказывается штрафом в размере от пятидесяти тысяч до ста тысяч рублей либо лишением свободы на срок до трех лет.
Аекстремисттә усура ахьымҩаԥнагоз иахҟьаны ауаажәларратәи, мамзаргьы адинхаҵаратә еидгыла, мамзаргьы даҽа еиҿкаарак азакәан амчра зоухьоу аӡбара иаднакылаз азыӡба ала иаԥыху, мамзаргьы иԥку аусура еиҭах аҽалархәра, –	Участие в деятельности общественного или религиозного объединения либо иной организации, в отношении которых судом принято вступившее в законную силу решение о ликвидации или запрете деятельности в связи с осуществлением экстремистской деятельности, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны хынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра, ҿҳәарала ҩышықәса рҟынӡа.	наказывается штрафом в размере от тридцати тысяч до шестидесяти тысяч рублей либо лишением свободы на срок до двух лет.
Азгәаҭа. Аекстремисттә усура ахьымҩаԥнагоз иахҟьаны ауаажәларратәи, мамзаргьы адинхаҵаратәи еидгыла, мамзаргьы даҽа еиҿкаарак азакәан мчра зоухьоу аӡбара иаднакылаз азыӡба ала иаԥыху, мамзаргьы иԥку аусура аҽалархәра хатәгәаԥхарала иаҟәыҵыз ауаҩытәыҩса ашьаустә ҭакԥхықәра аҟынтәи ихы дақәиҭтәхоит уи иумҭа аҟны даҽа цәгьаурак аилазаара адыргақәа ыҟамзар.	Примечание. Лицо, добровольно прекратившее участие в деятельности общественного или религиозного объединения либо иной организации, в отношении которых судом принято вступившее в законную силу решение о ликвидации или запрете деятельности в связи с осуществлением экстремистской деятельности, освобождается от уголовной ответственности, если в его действиях не содержится иного состава преступления.
Аҳәынҭқарратә маӡа аргаматәра	Разглашение государственной тайны
Ауаҩытәыҩса игәрагара иабзоураны, мамзаргьы имаҵура, мамзаргьы иусура ирыдҳәаланы иидыруаз аҳәынҭқарратә маӡа злоу адыррақәа, аҳәынҭқарратә наԥхара адыргақәа амамкәа раргаматәра, д.и., урҭ адыррақәа даҽаџьоукы рлымҳаҟынӡа инеиртә еиԥш иҟалазар, –	Разглашение сведений, составляющих государственную тайну, лицом, которому она была доверена или стала известна по службе или работе, если эти сведения стали достоянием других лиц, при отсутствии признаков государственной измены, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ԥшьышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа, мамзаргьы уи ада.	наказывается лишением свободы на срок до четырех лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
Уи аумҭа машәырла аҵыхәтәа бааԥс ахылҿиаара, –	То же деяние, повлекшее по неосторожности тяжкие последствия, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра, ҿҳәарала хышықәса инадыркны быжьшықәса рҟынӡа уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа.	наказывается лишением свободы на срок от трех до семи лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет.
Аҳәынҭқарратә маӡа зну аусшәҟәқәа рырӡра	Утрата документов, содержащих государственную тайну
Аҳәынҭқарратә маӡа ахьыҟоу анеира иақәиҭу ила аҳәынҭқарратә маӡа зну аусшәҟәқәа, иара убас, аҳәынҭқарратә маӡа иаҵанакуа амаҭәарқәа ркышьа, рышьҭышьа аԥҟарақәа реилагара иахҟьаны рырӡра, насгьы уи машәырла аҵыхәтәа бааԥс ахылҿиаара, –	Нарушение лицом, имеющим допуск к государственной тайне, установленных правил обращения с содержащими государственную тайну документами, а равно с предметами, сведения о которых составляют государственную тайну, если это повлекло по неосторожности их утрату и наступление тяжких последствий,
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра, ҿҳәарала хышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа, мамзаргьы уи ада.	наказывается лишением свободы на срок до трех лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
30-тәи ахы. АҲӘЫНҬҚАРРАТӘ МЧРЕИ, АҲӘЫНҬҚАРРАТӘ МАҴУРЕИ, АҲӘЫНҬҚАРРАТӘ МАҴЗУРА АҬЫԤАНТӘИ АҲӘЫНҬҚАРРАТӘ УСБАРҬАҚӘА РҾЫ АМАҴУРЕИ АЗҾЛЫМҲАРАҚӘЕИ ИРԤЫНГЫЛО АЦӘГЬАУРАҚӘА	Глава 30. Преступления против государственной власти, интересов государственной службы и службы в органах местного самоуправления
Амаҵзуратә лшарамчы цәгьахәыцрала ахархәара	Злоупотребление должностными полномочиями
Амаҵурауаҩ имаҵуратә лшарамчы уи амаҵура азҿлымҳарақәа ирҿагыло ала ахархәара, насгьы уи аумҭа акрырҳара, мамзаргьы даҽа хатә зҿлымҳарак хықәкыс иаҭаны иҟаҵазар, мамзаргьы ауаатәыҩсеи аиҿкаарақәеи рзинқәеи закәанлатәи разҿлымҳарақәеи, иара убас, ауаажәларреи аҳәынҭқарреи азакәан иахьчо рызҿлымҳарақәа аԥхаста цәгьа рыҭара ахылҿиаазар, –	Использование должностным лицом своих служебных полномочий вопреки интересам службы, если это деяние совершено из корыстной или иной личной заинтересованности и повлекло существенное нарушение прав и законных интересов граждан или организаций либо охраняемых законом интересов общества или государства, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала жәа-нызқь инадыркны ҩажәи хәба нызқь мааҭ рҟынӡа, мамзаргьы маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хәышықәса рҟынӡа мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала шықәсык инаркны ԥшьышықәса рҟынӡа.	наказывается штрафом в размере от десяти тысяч до двадцати пяти тысяч рублей, либо лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет, либо лишением свободы на срок от одного года до четырех лет.
Уи аумҭа ҟаҵазар Аԥсны Аҳәынҭқарра аҳәынҭқарратә маҵзура ҭыԥ нызкыло ила, мамзаргьы аҭыԥантәи ахатә напхгаратә усбарҭа ахада ила, –	То же деяние, совершенное лицом, занимающим государственную должность Республики Абхазия, а равно главой органа местного самоуправления, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала хышықәса инадыркны быжьшықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа, мамзаргьы уи ада.	наказывается штрафом в размере от тридцати тысяч до ста тысяч рублей либо лишением свободы на срок от трех до семи лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
Абри ахәҭаҷ актәи, мамзаргьы аҩбатәи ахәҭақәа рҿы иазԥхьагәаҭоу аумҭақәа ихьанҭоу аҵыхәтәа ахылҿиаар, –	Деяния, предусмотренные частями первой или второй настоящей статьи, повлекшие тяжкие последствия, -
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ԥшьышықәса инадыркны жәашықәса рҟынӡа уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа.	наказываются лишением свободы на срок от четырех до десяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет.
Азгәаҭа	Примечания.
Амаҵурауаа ҳәа абри ахы ахәҭаҷқәа рҿы иԥхьаӡоуп ҭышәынтәаларала, аамҭала, мамзаргьы иҷыдоу ауснагӡатәқәа, мамзаргьы аиҿкаара дҵақәҵаратә, мамзаргьы анхамҩа-напхгаратә усбарҭақәеи, аҳәынҭқарратә усбарҭақәеи, аҭыԥантәи ахатә напхгаратә усбарҭақәеи, аҳәынҭқарратә, мамзаргьы амуниципалтә еиҿкаарақәеи рҿы, иара убас, Аԥсны Аҳәынҭқарра абџьармчқәеи Аԥсны Аҳәынҭқарра аиҿкаара ҷыдақәеи рҿы иназыгӡо ауаа.	Должностными лицами в статьях настоящей главы признаются лица, постоянно, временно или по специальному полномочию осуществляющие функции представителя власти либо выполняющие организационно-распорядительные, административно-хозяйственные функции в государственных органах, органах местного самоуправления, государственных и муниципальных учреждениях, а также в Вооруженных Силах Республики Абхазия и специальных формированиях Республики Абхазия.
Аҳәынҭқарратә маҵураҭыԥ нызкыло ауаа ҳәа абри ахы ахәҭаҷқәа рҿы, иара убас, абри Ашьаустә закәанеидкыла егьырҭ ахәҭаҷқәа рҿгьы иԥхьаӡоуп Аԥсны Аҳәынҭқарра Аконституциала ишьақәгылоу амаҵзураҭыԥқәа нызкыло амаҵурауаа.	Под лицами, занимающими государственные должности Республики Абхазия в статьях настоящей главы и других статьях настоящего Кодекса понимаются лица, занимающие должности, устанавливаемые Конституцией Республики Абхазия.
Амаҵурауаа рхыԥхьаӡара иалам аҳәынҭқарратә усуцәа ашьаустә ҭакԥхықәра рыдлоит абри ахы аҿы иарбоу ахәҭаҷқәа рыла, ҷыдала иазԥхьагәаҭоу зықәшәо ахәҭаҷқәа аныҟоу.	Государственные служащие и служащие органов местного самоуправления, не относящиеся к числу должностных лиц, несут уголовную ответственность по статьям настоящей главы в случаях, специально предусмотренных соответствующими статьями.
Абиуџьеттә хархәагақәа хықәкыда рныхра	Нецелевое расходование бюджетных средств
Абиуџьеттә хархәагақәа, ззоужьу ишьақәрыӷәӷәоу абиуџьеттә хықәкқәа, абиуџьетнҵа, абиуџьеттә хархәагақәа рзоужьразы аацҳамҭа, абиуџьет ала ишьақәрыӷәӷәоу абиуџьетнҵа, ахашәалеи ахарџьи рынҵаных абиуџьет хархәагақәа риура ҵыҵӷәыс иамаз даҽа усшәҟәык иақәымшәо абиуџьеттә хархәагақәа зауз амаҵурауаҩ ила хықәкыда, шәагаа дула рныхра, –	Расходование бюджетных средств должностным лицом получателя бюджетных средств на цели, не соответствующие условиям их получения, определенным утвержденными бюджетом, бюджетной росписью, уведомлением о бюджетных ассигнованиях, сметой доходов и расходов либо иным документом, являющимся основанием для получения бюджетных средств, совершенное в крупном размере, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ аанкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа, мамзаргьы уи ада.	наказывается штрафом в размере от тридцати тысяч до ста тысяч рублей либо лишением свободы на срок до двух лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
