аҿатә уасиаҭ	новый завет
Абасала, азакәанԥҟарақәа рахьтә иреиҵаӡоу ак еилазгауа, урҭ рылагьы ауаа идзырҵауа, Жәҩантәи Аҳраҿы ихаҭагьы иреиҵаӡоу иакәхоит, ишыҟоу ала иназыгӡауа, идзырҵауа Жәҩантәи Аҳраҿы идуӡӡоу иакәхоит.	Итак, кто нарушит одну из заповедей сих малейших и научит так людей, тот малейшим наречется в Царстве Небесном, а кто сотворит и научит, тот великим наречется в Царстве Небесном.
Избанзар ишәасҳәоит, шәара шәиаша-ҵабырг ашәҟә-дырҩцәеи афарисеицәеи рҵабыргра изеиҳамхар, шәарҭ Жәҩантәи Аҳраҿы шәызнеираны шәыҟаӡам.	Ибо, говорю вам, если праведность ваша не превзойдет праведности книжников и фарисеев, то вы не войдете в Царство Небесное.
Ишәаҳахьеит ажәытә уаа рҳәамҭа: уаҩ думшьын, ауаҩы дызшьыз аӡбара иқәуп.	Вы слышали, что сказано древним: не убивай, кто же убьет, подлежит суду.
Сара сакәзар, ишәасҳәоит, акгьы злам азыҳәа зашьа изы иԥсахеибакуа дарбанзаалакь аӡбара иқәуп, зашьа рака ҳәа иазҳәаз асинедрион изыԥшуп, аиқәымшәа ҳәа изызҳәаз иакәзар, џьаҳанымтәи амцеилашыра иԥеиԥшуп.	А Я говорю вам, что всякий, гневающийся на брата своего напрасно, подлежит суду, кто же скажет брату своему: рака, подлежит синедриону, а кто скажет: безумный, подлежит геенне огненной.
Убри аҟнытә аӡатәқәҵарҭаҿ уӡатә уманы уаннеиуа аамҭазы, убраҟа уашьа уара уахь агәынхара шимоу анугәалашәалакь,	Итак, если ты принесешь дар твой к жертвеннику и там вспомнишь, что брат твой имеет что-нибудь против тебя,
Инаугаз уӡатә иааныжьны, уҿынаханы уашьа иҿы унеи, заа иара уинышәа, нас уӡатә, умҭа уазыхынҳә.	оставь там дар твой пред жертвенником, и пойди прежде примирись с братом твоим, и тогда приди и принеси дар твой.
Акыр умазкуа ауаҩы, иареи уареи амҩа шәеицықәнаҵы заа уинышәа, уи уара аӡбаҩ уииҭаанӡа, аӡбаҩ имаҵуҩы уимаидаанӡа, абахҭа лашьцарахь ургаразы,	Мирись с соперником твоим скорее, пока ты еще на пути с ним, чтобы соперник не отдал тебя судье, а судья не отдал бы тебя слуге, и не ввергли бы тебя в темницу,
Ииашаны иуасҳәоит: уара убрантә ҭыҵшьа умаӡам, аҵыхәтәантәи уҟәрышь руҭаанӡа.	истинно говорю тебе: ты не выйдешь оттуда, пока не отдашь до последнего кодранта.
Шәарҭ ишәаҳахьеит ажәытә уаа ирҳәаз: укалҭ уашьҭамныҟәан.	Вы слышали, что сказано древним: не прелюбодействуй.
Сара ишәасҳәоит: абри аԥҳәыс сара дсымандаз ҳәа илыхәаԥшуа дарбанзаалакь, гәыла-ԥсыла уи лҿы дкалҭшьҭаныҟәеит.	А Я говорю вам, что всякий, кто смотрит на женщину с вожделением, уже прелюбодействовал с нею в сердце своем.
Уарӷьа бла уарҩашьауазар, иҭжәаны, иуҟәганы икажь, избан акәзар ухәҭак ҭахар иеиӷьуп, уцәеижь зегьы амцеилашыра иахәхар аасҭа.	Если же правый глаз твой соблазняет тебя, вырви его и брось от себя, ибо лучше для тебя, чтобы погиб один из членов твоих, а не все тело твое было ввержено в геенну.
Уарӷьа нап уарҩашьауазар, иҩҿахҵәаны, иуҟәганы икажь, избанзар уара узы ухәҭак ҭахар еиҳа иеиӷьуп, уцәеижь зегьы амцаеилашыра иахәхар аасҭа.	И если правая твоя рука соблазняет тебя, отсеки ее и брось от себя, ибо лучше для тебя, чтобы погиб один из членов твоих, а не все тело твое было ввержено в геенну.
