Агәымшәа 	﻿Храброе сердце 
Ҽааны иаауа амзазы ашьхарахь идәықәрҵоит аидара ҿыц, 	В следующем месяце с севера придет следующая поставка припасов. 
уа иҟалоит афатә, абџьар, аидара. 	Еда и оружие. Они... 
Иаанкыл. 	Довольно. 
Избан шәызрыцхыраауа? 	Почему ты помогаешь мне? 
Избан сара? 	Почему ты помогаешь мне? 
Абыржә шәахихәаԥшуа азы. 	Из-за того, как ты смотришь на меня сейчас. 
Ҳара уажәшьҭа ианаҳцәыӡ агәыӷра, 	Когда мы подумали, что вся надежда утрачена, 
ицәырҵт ҳара ҳаҭауадтә еиқәрхаҩцәа. 	прибыли наши доблестные спасители. 
Иҟалоит иамшәхыр ааҵәақәа. 	Снимите их капюшоны. 
Аамсҭа Уилиам, ҳара ҳаҳәоит аиԥылара. 	Сэр Уильям, мы пришли искать встречи. 
Ҵакыс иамоуи? 	В чем дело? 
Шәара шәеиныкәт ашьапҩзы ииашара азы, 	Вы поклялись в верности Длинноногому. 
амцҳәаҩ изыҳәа уи иҭацәу шьҭыбжьуп. 	Клятва лжецу вовсе не клятва. 
Ҳара иаҳтахуп ишәзааҳгар аиашазы ақәра. 	Каждый наш человек готов присягнуть в верности тебе. 
Иҟарҵааит атаҳмадацәа рхеилак зегьы ирбо ираҳәуа, 	Так пусть совет публично присягнет. 
иаҳзыҟаҵом, дара ихарҵом шәара шәыԥсы шҭоу, 	Мы не можем. Многие не верят, что ты жив. 
егьырт иацәшәоит Морне илахьынҵа. 	Другие считают, что ты отплатишь им, как Морнею. 
Ҳаиқәшәоит Еденбраҿы 	Так что мы приглашаем тебя в Эдинбург. 
2-мш рышьҭахь. 	Приезжай через два дня. Объяви, что прощаешь нас, 
ҳара ҳаидгылоит шәааигәа сигәа, 	и мы встанем за тебя. 
- нас Шотландиа иҟалоит акакәны. - акакәны. 	- Шотландия будет едина. - Едина? 
- шәара ҳа-ҳзакәнгьы, шәа-шәзакәнгьы? - мап. 	- То есть мы и вы. - Нет. 
Сара абри азоуп. 	То есть вот это. 
Роберт Брус ихәдықәҵара. 	Это обещание Роберта Брюса. 
Уара иумдыруеи, ари цәҟьоуп. 	Ты же знаешь, что это ловушка. Скажи ему. 
Иара ииаҳә. Брус иҭаххар уара уишьуан Фалкерк аҿы. 	Если бы Брюс хотел убить тебя, он бы сделал это у Фолкерка. 
Ааи. 	Да. 
Сара издыруеит, сара избеит, 	Я знаю. Я видел. 
ибзиоуп, иара делкаауп. Егьырҭ шԥаҟоу? 	Хорошо, а кроме него как остальные? 
Рҽеизганы агызмалцәа, абзамыҟәақәа, дара аҽакала изеинаалом, ари цәҟьароуп. Убла аарты. 	Подлые ублюдки, они на все готовы. Это ловушка. Ты что, ослеп? 
Усзыӡырҩы, 	Посмотри на нас. 
иаҳҭахуп аҭауадцәа ҳадгылара аҳауа аиԥш. 	Нам нужно попробовать, мы не справимся сами. 
ҳәӷра заҵә ҳажәлар зегь, 	Единственная надежда у нас - объединиться с дворянами. 
рзыҳәа ҳхы, Ианаҳмырхәа имарианы, 	Знаешь что случится в противном случае? 
нас изакәи? 	Что? 
Акгьы, 	Ничего. 
- сара исҭахӡам сҟалар сџьабаацәгьаҩны, - саргьы. 	- Я не хочу быть мучеником. - Я тоже. 
Исҭахуп аԥсҭазаара, 	Я хочу жить. 
исымазарц аҩны, ахәыҷқәа нас аҭынчра. 	Я хочу иметь дом, детей и мир. 
- Ииашаны? - Аиаша. 	- Правда? - Да. 
Сара убри азыҳәан анцәа сиҳәоит, аха ҭынчрада, ари зегьы башоуп. 	Я просил этого у Господа, но все ни к чему, если у тебя нет свободы. 
- Ари баша гәыӷроуп. - Агәыӷра? Хымԥада. 	- Это просто мечта, Уильям. - Мечта? Просто... 
Нас иҟаҳҵо закәи абри аамҭа зегьы. 	А что мы тогда делали все это время? 
Мчыла иаҳа ҟарҵар ҳҭахуп. 	Мы ведь жили этой мечтой. 
Амала ахақәиҭра акгьы иаҵанакӡом. Уара уазхәыци Марон. 	Ты мечтаешь не о свободе. А о Маррон. 
Аԥыжәара укәуп, игәы иаанагоит лара улбоит ҳәа. 	Ты хочешь быть героем, потому что думаешь, что она тебя видит. 
Мап, сара ус схәыцӡом, сара издыруеит уи. 	Я не думаю, что она меня видит. Я знаю наверняка. 
Уаргьы, уаб уибоит. 	И твой отец тоже видит тебя. 
Анцәа ду. 	Господи. 
Угыл. Суццома? 	Пойти с тобой? 
Мап. Схала сцоит. 	Нет, я пойду сам. 
- Ҳаибабоит. - Ааи. 	- Увидимся позже. - Хорошо. 
Сгәыӷоит азԥшра маҷны илзынхеит. 	Надеюсь, все же раньше, а не позже. 
- Иара дааӡом. - даауеит. 	- Он не приедет. - Приедет. 
Сара агәра сызгом. 	Я знаю, приедет. 
Шәхаҵкы, иара дааигәахоит. 	Мой господин, он приближается. 
Мап. 	Нет! 
Уаԥырхагамхан Роберт. 	Не вмешивайся, Роберт. 
Брус дмыргәаҟтәуп. 	Прочь! 
Иҳаман аиқәшаҳаҭра. 	Мы договаривались, что Брюс будет невредим. 
Саб. 	Отец! 
Уара. Уара алахша. 	Ты, гнилой ублюдок! 
Иауеи? Иауеи? 	Почему? 
Ашьапҩзы иара даара диԥырхаган, 	Длинноногому нужен Уоллес. 
ҳара ҳаамсҭцәа ҳԥырхаган, 	И нашей знати тоже. 
ари гәнаҳароуп агәыргьын азы. 	Такова была цена твоей короны. 
Уԥсхаԥсы. 	Умри! 
Уԥсха-ԥсааит уара. 	Я хочу, чтобы ты умер. 
Сара ирласны сыԥсоит. 	Я умру довольно скоро. 
- Агәырҩа уамган, уара укралхоит. - Уара уҟнытә акгьы сҭахӡам. 	- А ты станешь королем. - Не нужно мне от тебя ничего. 
Уара уаҩӡам, 	Ты не мужчина. 
уара саб уакәӡам. 	И ты не отец мне. 
Уара са сыҷкәын уоуп. 	Ты мой сын, 
Енагь иудыруан уара са схы иҭоу, 	и ты всегда знал, что я думаю. 
- уара сыужьеит. - Уара уоуп зхы зжьаз, 	- Ты обманул меня. - Ты позволил обмануть себя. 
аха гәаныла иудыруа иҟалаша. 	В твоем сердце ты всегда знал, что должно произойти здесь. 
Иааԥцәаны уара еилукааит ацәымӷра. 	И вот, наконец, ты знаешь что значит ненавидеть. 
Уажәшьҭа уара уазыхҩоуп акралра. 	Теперь ты готов быть королем. 
Сара сцәымӷра ԥсоут уара иуцны. 	Моя ненависть умрет с тобой. 
Уилиам Уалас! Шәара ахара шәыдуп аҳәынҭқарра аԥсахразы. 	Уильям Уоллес, вы обвиняетесь в государственной измене. 
- Зҽаԥхьада? - Шәыкрал 	- Кому? - Вашему королю. 
ишәҳәар ишәылшозеи? 	У вас есть что сказать? 
Исҳәар исылшоит ахааназгьы. 	Никогда за всю свою жизнь 
Сара сымқәӡит аиашазы. 	я не присягал ему в верности. 
Уи агьыурым. Иара шәара шәыкрал иоуп. 	Не имеет значения. Он ваш король. 
Шәахьхәыр ишәоуеит ирласны аԥсра. 	Сознайтесь в этом и получите скорую смерть. 
Мап анакәха шәара шәахысроуп аҽрыцқьара ахьаа. 	А если будете отрицать, вас придется очистить болью. 
Нас ишԥажәуа, шәахьхәуама? 	Вы признаетесь? 
Шәара шәҽы шәықәшаҳаҭхома? 	Вы признаетесь? 
иаанагоит аҿрыцқьара шәара ишәоуеит уаҵәы ашьыжь. 	Ну что же, утром вы получите очищение. 
- Шәыҳаракыра шәхаҵкы! - Сара абандаҩы иахь, 	- Ваше Высочество. - Я к заключенному. 
- акрал иҳәеит аӡәгьы наҳмышьҭырц. - Акрал дыԥсоит мызкы ашьҭахь, иҷкәын дбашоуп. 	- Король приказал... - Король скоро умрет, а его сын слаб. 
Уара утәала дарбан иныҟәзго? 	Кто по вашему будет править этим королевством? 
Иаарҭы ашә. 	Откройте дверь. 
Шәара шәыҳаракыра! 	Ваше Высочество. 
Угыл ацәыршәага. Уаанҽас, 	Вставай, мразь! А ну, встать! 
ҳааныжь ҳара. 	Довольно. Ступайте. 
Сара иуасҳәт ҳааныжь. 	Я сказала ступайте. 
Аҳкәажә! 	Моя госпожа. 
Ухаҵкы! 	Сэр, 
Сшәыҳәоит шәара, 	я пришла умолять вас 
шәахьхәу, шәқәы акрал игәрагаразы, 	признаться во всем и поклясться в верности королю, 
нас иара шәишаҭар ҟалоит. 	чтобы он проявил милосердие. 
Сара стәыла ишаҭару? 	Проявит ли он милосердие к моей стране? 
Ашаҭара еиҳауп аԥсра ацкьыс. 	Милосердие - это быстрая смерть, 
Абааш аԥсҭазаара иамоуп аамҭанык, 	а может и заточение в башне. 
ихадоу шәара шәыԥсы ҭазароуп. 	А тем временем кто знает, что может случиться. 
Иара иҽаԥхьа 	Если б вы могли жить... 
сара иузымч ҭоуба шьҭасҵар, 	Если я поклянусь ему, 
нас сыҩнуҵҟа зегьы ԥсоит, 	тогда погибнет все, чем я являюсь. 
Шәара шәыԥсыр хлымӡахроуп. 	Вы умрете. Это будет ужасно. 
Зегь ԥсоит, 	Все умирают. 
аха иҵабыргны зегь зынхом. 	Но не все живут по-настоящему. 
Ижәжәы абри, 	Выпейте. 
ахьаа артәарц. 	Это усмирит вашу боль. 
Мап. Ари сыхдырра хнаҿоит. 	Нет, это замутнит мой разум. 
Сара сҭанагалоит ацәанырра, 	А он мне нужен. 
сара сыхдырра цқьазароуп, 	Если я потеряю сознание или закричу, 
мамзар ашьапҩзы сыхирбгалоит. 	тогда Длинноногий победит меня. 
Иузымчҳуа ахшыҩ ҵак, шәара шәдырҳәацәалоит. 	Я не вынесу мысль о ваше пытке. 
Абри жәжәы. 	Примите это. 
Ибзиоуп. 	Хорошо. 
Сара сшәыҳәоит, 	Я пришла 
сшәыҳәоит дышәшаҭарц Уилиам Уалас. 	умолять жизни Уильяма Уоллеса. 
Шәара лабҽаба иара иахь шәхы ӡырыжәгом. 	А ты весьма очарована им, да? 
Сара пату иқәсҵоит иара. 	Я уважаю его. 
Шәаарыԥхьа иара пату қәҵара хатәы жәлар. 	Он был достойным врагом. 
Акрал дуӡӡа! Иаашәырԥшы агәшаҭара, сшәыҳәоит шәара. 	Прояви милосердие, и ты получишь уважение собственных людей. 
Иара абыржәыҵәҟьа. 	Даже сейчас 
Шәара ишәзаарԥшӡом агәшаҭара. 	ты не способен на милосердие. 
Нас шәара? 	И ты. 
Шәара шәзыҳәан ажәа еилкааӡам убасҵәҟьа, абзиабара еиԥш. 	Тебе неведомо слово любовь. 
саб иҿы акаанӡа, 	Перед тем, как он потерял дар речи, 
иара иҳәеит дара дшырыжьжьо 	он сказал мне последнее желание, что он живет лишь ради того, 
Уалас иԥсразы. 	чтобы узнать, что Уоллес мертв. 
Ижәбо, 	Видишь? 
зегь рахь иаабоит аԥсра. 	Смерть приходит ко всем. 
Аха иара аиаанӡа, иара анааилак, 	Но перед тем, как она придет к тебе, 
ижәдыруаз шәара 	знай, 
шәымҭашьҭа нҵәоит шәара шәыла. 	что твоя кровь умрет с тобой. 
Сара дныҟәызгоит ахәыҷы мгәарҭа, иахьыҟам шәара шәшьа. 	В моем чреве растет дитя не твоей крови. 
Шәара шәыҷкәын дзаанхом акраамҭа агәыргьынаҿ, шәара шәныс. 	Твой сын не долго будет на троне. Клянусь. 
Сара сшәоит. 	Мне так страшно. 
Амч сыҭа. 	Дай мне силы 
сыԥароуп хьӡыла-ԥшала. 	умереть достойно. 
Абаар иара. Абаар иара. Анцәа. 	Вот он, смотрите. 
Иааит акааимет ақәшәара атәыла аҭиразы. 	Вот ужасная цена измены. 
Ма ушьамхнышьгал, 	Упади на колени сейчас. 
ирылаҳәа уара акрал инапаҵаҟа уҟоуп ҳәа. 	Объяви себя верным подданным короля 
Уиыҳәала иара игәшаҭаразы. 	и умоляй о милосердии. 
Нас дуоуеит иара. 	И ты получишь его. 
Ашаха. 	Веревку. 
Усыцхраа ашьҭыхраҿ. 	Поднимите его. 
Шәиха иара. 	Тяните. 
Абас. 	Вот так. 
Деиҵышәхла. 	Вытягивайте. 
Иубама, ааа? 	Что, приятно? 
Угыл ушьамхнышьгыланы. 	Встань на колени. 
Уагәӡы акрал дыргасахьа сара скәымжәаҿы, 	Поцелуй королевский герб на моем плаще. 
нас уара угәаҟрақәа нҵәоит. 	И больше не будет боли. 
Шәгәашәҽаныл! 	На дыбу его. 
Иазхома? 	Довольно? 
Ари зегьы иҟалоит инҵәар, 	Все может окончиться 
абыржәыҵәҟьа. 	прямо сейчас. 
Аҭынчра, 	Покой. 
ақьафура. 	Блаженство. 
Баша иҳәа. 	Просто скажи это. 
Амала ҿҭы. 	Выкрикни. 
Ашаҭара. 	"Пощады". 
Ашаҭара. 	Пощады. 
Ашаҭара. Ашаҭара. Ашаҭара. 	Пощады. 
Уҳәҳәа. 	Выкрикни. 
Баша иҳәа. Ашаҭара. 	Просто скажи "Пощады". 
- иҳәа Ашаҭара. Иҳәа. - Иҳәа ари. 	- Пощады, Уильям, пощады. - Господи, ну скажи же. 
Ацәгьаҟаҵаҩ иҭахуп ак ҳаиҳәар. 	У зник желает сказать слово. 
Ахақәиҭра-а-а-а. 	Свобода! 
Ихы нхырҵәа ашьҭахь 	После обезглавливания 
ихәамц ԥҟаны хәҭа-хәҭала ишьҭарҵеит. 	тело Уильяма Уоллеса было четвертовано. 
Ихы иқәдыргылт Лондонтәи ацҳаҿы, 	Голова была выставлена на лондонском мосту. 
иара инаԥқәеи ишьапқәеи дәықәҵан аԥшьнҵәамҭақәа Британиахь, 	Его руки и ноги были отправлены в разные стороны Британии, 
агәҽанҵара еиԥш. 	как предостережение. 
аха алҵшәа ашьапҩзы игәы ишаанагоз изыҟамлеит. 	Но результат был вовсе не тот, на который рассчитывал Длинноногий. 
Нас сара Роберт Брус, 	И я, Роберт Брюс, 
сааҭгылт сыр сыманы идсырдырырц сара спатуқҵара Англиатәи акра лир ахь, 	выступил, чтобы принести присягу армиям английского короля 
нас исыдысқыларц иара идгылара сара сгәыргьын ахь. 	и получить согласие на мою коронацию. 
Агәра сымоуп сара ишыуӡәӡәаз ҳәа уара уашьҭахь, 	Я надеюсь ты подмыл зад сегодня утром. 
уажәы дагәӡраны дыҟоуп акрал. 	Сейчас его будет целовать король. 
Ҳцароуп. Аҵыхә ԥаҳҵәароуп. 	Поехали. Покончим с этим. 
Уаангыл. 	Стой. 
Шәара икашәҭәуан ашьа Уаласеи шәареи. 	Вы сражались с Уоллесом. 
Уажәшьҭа икашәҭәа ашьа сара сыла. 	Теперь сражайтесь со мной. 
Уалас. Уалас. Уалас. 	Уоллес! 
1314 шықәса қьырса иира аҟнытә, 	В год Господа нашего, 1314-й, 
Шотландиа аԥсадгьыл-бзиабаҩцәа, иҟан абжеиҵыраҩык амла ииагозгьы 	патриоты Шотландии, голодные, превосходимые числом, 
иаҽагылан иахьықәибахәаз Банекбан аҟны. 	вышли на поле Банекберна. 
Дара аҿагылоуп аибашьҩцәа, нас ажәеинраалаҩцәа реиԥш. 	Они сражались, словно поэты войны. 
Дара аҽагылан Ашотландцәа еибашьрыла 	Они сражались, как шотландцы 
иргеит дара рхақәиҭра. 	и завоевали свободу. 
