Сара сҭоурых.	Моя история.
Абарҭ ахырхарҭақәа роуп ИУНЕСКО хықәкыс иамоу, уи аусурагьы ҵакыс иаҵоу.	Именно эти направления и являются целью ЮНЕСКО и лежат в основе ее деятельности.
Кембриџь – Оксфорд анаҩс, Британиа ду иҟоу зегь раасҭа ижәытәтәу аҩбатәи университетуп, адунеи аҿы аԥшьбатәи аҭыԥ аннакылоит, еиҳа еицырдыруа ауниверситетқәа ируакуп.	Кембридж – второй самый старый университет в Великобритании после Оксфорда, четвёртый в мире, один из наиболее известных университетов мира.
Кембриџьтәи ауниверситет шьақәгылоуп 31 коллеџь рыла.	Кембриджский университет сегодня сосоит из 31 колледжей.
Ақалақь аҿы инхо ауааԥсыра реиҳараҩык арҵаҩцәеи астудентцәеи роуп.	Большая часть населения города – преподаватели и студенты.
Астудентцәа зегь аҵара анырҵо Кембриџь инхозароуп.	Все студенты должны жить в Кембридже, в то время как они учатся там.
Кембриџь амҩадуқәа рҿы иуԥылоит ииаҵәеиқәароу, мамзаргьы еиқәаҵәоу, амаҭәа зшәу аҿар маҷымкәа.	На улицах Кембриджа Вы можно увидеть, что много молодых людей, которые носят темно-синюю или черную одежду.
Астудентцәеи аспирантцәеи рҵареи рыҭҵаарадырратә усуреи ашколқәа - дара қ ыҟоуп - рыҟны имҩаԥысуеит.	Учебная и исследовательская работа со студентами и аспирантами проходит в школах - их 6.
Ашколқәа афакультетқәеи акафедрақәеи рыла ишьақәгылоуп.	Школы состоят из факультетов и кафедр.
Кембриџьтәи ауниверситет аҟны арҵара мҩаԥысуеит 28 курс рыла.	В Кембриджском университете обучение ведётся по 28 курсам.
Арҭ акурсқәа ирыҵанакуеит абарҭ амаҭәарқәа:	Эти курсы включают в себя следующие предметы:
Иахьатәии абжьарашәышықәсазтәи абызшәақәа; афранцыз, анемец, аиталиа, аиспан, апортугалиа, аурыс бызшәақәа.	Современные и средневековые языки; французский, немецкий, итальянский, испанский, португальский и русский языки.
Абиологиатәи абиомедицинатәи ҵарадыррақәа.	Биологические и биомедицинские науки.
Иахьа аколлеџьқәа хԥа аҳәса рымацара рыдыркылоит.	В настоящий момент три колледжа принимают только женщин.
Егьырҭ 28 коллеџь –еилаԥсоуп.	Остальные 28 колледжей – смешанные.
Аколлеџьқәа ҩба аспирантцәа мацара рыдыркылоит.	Два колледжа принимают только аспирантов.
Аколлеџьқәа 4 еиҳарак астудентцәа еиҳабацәа ма аспирантцәа рыдыркылоит - 21 ш. иреиҳау.	4 колледжа принимают преимущественно взрослых студентов - старше 21 года - или аспирантов.
Егьырҭ 25 коллеџь астудентцәа реиԥш аспирантцәагьы рыдыркылоит.	Остальные 25 колледжей принимают как студентов, так и аспирантов.
Европатәи аҳәса иаци иахьеи.	Европейские женщины вчера и сегодня.
17-тәи ашәышықәсазы ибеиаз аҳәсақәа, шамахамзар, аҩны арҵаҩцәа аҵара ддырҵон.	В 17-м столетии богатым женщинам обычно преподавали дома домашние учителя.
Урҭ иддырҵон абас еиԥш иҟаз амаҭәарқәа: алаҭын, афранцыз бызшәа, анапҟазара иара убас иддырҵон урҭ рҭеиҭыԥш ацклаԥшышьа, афортепианои егьырҭ амузыкатә инструментқәеи рҿы ахәмаршьа.	Им преподавали такие предметы, как латынь, французский язык, рукоделие, их также обучали, как хорошо выглядеть, играть на фортепьяно и других музыкальных инструментах.
Дара ианрызҳалак, рҭаацәа ирыӡбон хаҵа изыццаша; аԥҳәызба лҭаацәа лыԥшәма иҭаацәара леихраҵага рырҭар акәын.	Когда они подрастали, их родители решали, за кого они должны выйти замуж; семья женщины должна была платить приданое родителям мужа.
Ибеиаз аҳәса аус рыуӡомызт, урҭ аҩны иҟазар акәын, рҭаацәа ирхылапшуан рмаҵуцәа адҵақәа рыҭо, иҟарҵаша раҳәо.	Богатые женщины обычно не работали, они могли только оставаться дома и заботиться о семье, указывая слугам, что делать.
Иӷарыз аҳәса ашкол ахь иныҟәомызт, аҵарагьы рымамызт; рыҩны, рхәыҷқәа ирхылаԥшуан, афатә ҟарҵон, амхы, ауҭра ҟарҵон.	Бедные женщины не ходили в школу и не имели образова- ния; они только заботились о своем доме, детях, готовили еду или работали на полях.
Рџьабааԥса маҷны ирзыршәон, аус рацәаны иутәын.	Им платили мало, а работать нужно было много.
19-тәи ашәышықәсазы амал змаз аҳәса аҵара аҩны иддырҵон, урҭгьы 17-тәи ашәышықәсазы аҳәса иддырҵоз ддырҵон, шамахамзар.	В 19-м столетии обеспеченные женщины обычно получали образование дома, им преподавали практически то же самое, что и женщинам семнадцатого столетия.
Урҭ афортепиано ахәмаршьа, францыз бызшәала ацәажәашьа, аҽырԥшӡашьа, асасцәа рырлахҿыхшьа ргәыҟаҵашьа ддырҵон.	Их учили играть на фортепьяно, говорить по-французски, привлекательно выглядеть и развлекать гостей.
1870 шықәса рынахыс хымԥада аҵара рымазар акәын.	После 1870 года образование для женщин стало обязательным.
Аҷкәынцәеи аӡӷабцәеи еиуеиԥшымыз амаҭәарқәа ирхысуан.	Девочки и мальчики учили разные предметы.
Аӡӷабцәа аӡәӡәашьеи, афатәҟаҵашьеи, анаплыхҟаҵарақәеи, аҩны аныҟәгашьеи рҵон.	Девочки изучали прачечное дело, кулинарию, рукоделие и навыки домашнего хозяйства и т. д.
Аҳәса беиақәа аус руӡомызт, урҭ рмаҵуцәа рыцырхырааны анхамҩа иахылаԥшуан.	Богатые женщины не работали, но благодаря помощи своих слуг, управляли домашним хозяйством.
Аҳәса беиақәа рмаҵуцәа аҩны усқәа зегьы ҟарҵон.	Слуги богатых женщин выполняли все обязанности по дому.
Абасала, аҳәса беиақәа ирыдыз ҭеиҭыԥшла аԥшӡареи амаҵуцәа напхгара рыҭареи акәын.	Так что, все что было нужно богатым женщинам, это иметь привлекательную внешность и руководить слугами.
Аҳәса ӷарцәа аусгьы рулар ахәыҷқәагьы рааӡалар акәын.	Бедные женщины должны были и работать, и воспитывать своих детей.
Урҭ ашахтақәеи афабрикақәеи рҿы сааҭ раацәала аус руан акәын, аха идырҳауаз даара имаҷын.	Они были вынуждены работать на шахтах и фабриках в течение многих часов, при этом они зарабатывали очень мало.
1870 шықәсанӡа иӷарыз аҭаацәарақәа рхәыҷқәагьы аус рулар акәын.	Вплоть до 1870 года маленькие дети из бедных семей также должны были работать.
20-тәи ашәышықәсазы, Актәи адунеизегьтәи аибашьра ианалага, ахацәа еибашьра ицеит азы аҳәса зуалафахәы маҷыз русурҭа ҭыԥқәа ааныжьны, афабрикақәа рахь усура ицар рылшон, убри аҟынтә афабрикақәа рҿы аҳәса рымацара аус руан, аибашьразы абџьар ҟарҵон.	В 20-м столетии, когда началась Первая мировая война, женщины могли оставить свои малооплачиваемые рабочие места и получить работу на фабриках, так как все мужчины ушли на войну, поэтому на фабриках работали одни женщины, производя оружие для войны.
Анаҩс акьыԥхьга машьына аԥырҵеит аҟнытә аԥҳәыс маӡаныҟәгаҩыс аусурҭа лоур алшон.	Позже была изобретена пишущая машинка, так что для женщин стала доступна работа секретаря.
Џьоукы рҵаҩцәас аусура иалагеит.	Некоторые женщины стали преподавателями.
Аԥҳәыс уажәшьҭа лхатә зин лоуит, ицәырҵуа иалагеит раԥхьаӡатәи аҳәса – аҳәынҭқарра ахадацәа.	Женщины теперь имели право голоса, появились первые женщины-президенты.
Даҽа џьоукы аполитика рнапы аларкуа иалагоит.	Некоторые женщины занимаются политикой.
Аҳәса даҽа цәамаҭәак ныҟәырго иалагеит, урҭ уажәшьҭа акорсетқәа ныҟәыргаӡом, аҵык кьаҿқәа ршәырҵоит, иара убас ахаҵеиқәагьы рышьарҵоит.	Женщины начали носить другую одежду, они больше не носят корсеты, они носят короткие платья, даже брюки.
Сгәанала, аҳәса рроль даара аҽаԥсахит.	Помоему, роль женщин очень сильно изменилась.
20-тәи ашәышықәсазы иҟалаз аиҭакрақәа ибзианы анырра ҟарҵеит, избанзар урҭ ахацәа ираҟараны ирыхәаԥшуа иалагеит, аемансипациатә процессқәа уи еиԥш аҭагылазаашьа рнаҭеит.	Я думаю, что все изменения, которые произошли в 20-м столетии были положительны, потому что женщины стали рассматриваться как равные мужчинам, чему способствовали процессы эмансипации.
Диана – ажәлар рыпринцесса.	Дианна – принцесса народа.
Диана Спенсар диит 1961 шықәса ԥхынгәы 1 азы Лондон.	Диана Спенсер родилась 1 июля 1961 года в Лондоне.
Уи ҩыџьа аиҳәшьцәа еиҳабацәеи аиашьа еиҵби лыман.	У нее было две старшие сестры и младший брат.
Данхәыҷыз ахәмаррақәа, аӡсара, аҩра, акәашара бзиа илбон.	В детстве она любила игры, плавание, бег, танцы.
Лара дкәашаҩхарц лҭахын.	Она хотела стать танцовщицей.
Уи адагьы, Диана ахәыҷқәа даара бзиа илбон азы жәаф шықәса анылхыҵуаз ахәыҷ баҳҷаҿ аус луан.	Кроме того, она очень любила детей, и в шестнадцать лет работала в детском саду.
Диана дыпринцессахеит апринц Чарлыз, аҳкәажә лԥа, ԥҳәысс дигарц ажәа анылниҵа, ианеибага ашьҭахь.	Диана стала принцессой, когда принц Чарльз, сын королевы, попросил ее стать его женой, и они поженились.
Раԥхьа урҭ насыԥ змаз ҭаацәаран уҳәартә иҟан.	В начале они, казалось, были счастливой парой.
Ҩыџьа аԥацәа рыман.	У них было двое сыновей.
Дара акыр иныҟәахьан, аус руан, еицны атәылақәа акыр рбахьан.	Они много путешествовали, работали, посещали вместе многие страны.
Аха изҿыз хаз-хазын азы Диана насыԥ наӡаны илымамызт.	Но Диана была не совсем счастлива, т. к. они занимались разными вещами.
Чарлыз лара дизеилкаауамызт.	Чарльз не понимал ее.
Диана адунеиаҿ зегь реиҳа ирдыруаз, зегь реиҳа иԥшӡаз, зегь реиҳа зфотосахьа ҭырхуаз ԥҳәысны дзыҟаз?	Почему Диана была самой известной, самой красивой, наиболее часто фотографируемой женщиной в мире?
Еиуеиԥшым атәылақәа рыҟнытә миллионҩыла ауаа ргәы дзалнахи, лгәыбылра дзырки лара?	Почему она завоевала сердца миллионов и миллионов людей в разных странах?
Избан Лондан данҭаха ашьҭахь лыхьӡала абас ауаа рацәаҩны изааи?	Почему так много людей приехало в Лондон почтить ее память, когда она погибла?
Избан, Диана лыԥсҭазаара далызхыз автокатастрофа ҵҩа змам ауаа рцәа иҭанарӡыӡартә изыҟалеи?	Почему автокатастрофа, которая унесла ее жизнь, стала большим потрясением для множества людей?
Изырҭаххеи ауаа Лондонҟа апринцесса лыԥсыжрахь ацара?	Почему люди почувствовали необходимость приехать в Лондон на похороны принцессы?
«Диана убас ԥҳәыс ссирын, лара лаҟара насыԥ змамыз ауаа убри аҟара рзыҟалҵахьан.», – рҳәоит дыздыруаз ауаа.	«Она была такой прекрасной женщиной, она так много делала для тех, кто был менее удачлив, чем она», – говорили люди, которые знали»
Диана ак лаҩшәомызт, дгәыбылҩын.	Она была внимательной женщиной.
Шәҩыла ауаа иазгәарҭон лыразра.	Сотни людей отмечали ее доброту.
Бзиа илбон амал змамыз абжьара уаа, лара амалгьы амал змаз аҩызцәагьы шлымазгьы.	Она любила простых людей, хотя была богата и имела богатых друзей.
Дахьыҟазаалак ауаа сабарыцхраари ҳәа дхәыцуан.	Где бы она ни была, она всегда была готова помочь людям.
Уи бзиа илбон ауаа рыцҳақәеи ачымазыҩцәеи, АСПИД-и аҿкы чымазара змаз рыхәышәтәырҭақәа рҿы днеиуан, урҭ рыхькьысра дацәшәаӡомызт, драцәажәон, дырзыӡырҩуан.	Она любила больных и бедных, посещала больницы для больных СПИдом и прокаженных, не боялась дотрагиваться до них, разговаривала с ними, слушала их.
Уи ауаа ԥарала мацара акәӡамызт ауаа дышрыцхраауаз, лгәылыԥсы рылҭон урҭ насыԥ рымазарцазы, избанзар лара насыԥ лымамызт.	Она хотела помогать людям не только деньгами, но отдавать им частицу своей души, делать их счастливыми, так как сама она была несчастна.
Урҭ абзиабара рылҭарц лҭахын, избанзар уи абзиабара лара лхаҭа илыгын.	Она хотела дарить им любовь, потому что любовь была нужна и ей самой.
Диана 15 шықәса лҭаацәараҿы абзиабара илымамыз лыԥсихика ианыԥшит азы лассы-лассы дҵәыуо дырбон.	Диану часто видели в слезах, т. к. 15-летний брак без любви оказал воздействие на ее психику.
Убри аҟара илыцклаԥшуан, лгәы ндырхон, уи иахҟьаны анерв чымазарагьы ҵылгеит, аха убригьы даиааит, еиҳа ианыуадаҩыз аамҭазы ажәлар рыбзиабара лдыруан азы.	Не секрет, что Диану преследовали и унижали до такой степени, что у нее произошел нервный срыв, и она смогла справиться с этим только благодаря тому, что знала, что в самые тяжелые моменты ее поддерживала любовь народа.
Ииашаҵәҟьаны, Диана ажәлар дрыпринцессаны дыҟан.	Действительно, Диана была народной принцессой.
Америкатәии Британиатәии ашколқәа.	Американская и Британская школа.
Америка ахәыҷқәа зегь ашкол ахь ицоит фышқәса инаркны жәаф рҟынӡа.	В Америке в школу идут все дети от шести до шестнадцати.
Урҭ фышықәса «алагарҭатәи» ашкол аҿы иҟоуп, ԥшьышықәса ма фышықәса «аҩбатәи» ма «аиҳабыра» школ аҿы.	Они проводят шесть лет в «элементарной» школе, и четыре или шесть лет во «вторичной» или «высокой» школе.
Ашкотә ҵараиура ахы иақәиҭуп.	Школьное образование свободно.
Есышықәса, аҵарашықәс анҵәамҭазы, ахәыҷқәа атест ргоит.	В конце каждого учебного года, дети берут тест.
Ахәыҷы ибзианы аҵара иҵозар, уи егьи акласс ахь диасуеит.	Если ребенок преуспевает, он переходит в следующий класс.
Ибзианы изымҵозар, уи аҵара деиҭахысроуп.	Если он не успевает, он должен повторить обучение.
Школқәак иахьатәи аамҭа иақәшәо акомпиутер, акабельтә телехәаԥшреиԥш иҟоу амыругақәа рымоуп, аха атәылаҿы иҟоуп класс уадак мацара змоу даҽа школқәакгьы.	Некоторые школы имеют современное обучающее оборудование, как компьютеры и кабельное телевидение, но есть маленькие школы страны, только с одной классной комнатой.
Ашкол аҿы рҵара ианалгалак, анаҩс, урҭ реиҳараҩык абжьаратә школ адиплом роуеит.	После учебы в школе, большинство студентов получает диплом средней школы.
Аколлеџь аҿы аҵара рҵар рҭахызар, атестқәа ргоит аколлеџь аҭаларазы.	Если они хотят учится в колледже, они берут тесты для поступления в колледж.
Британиа ду ахәыҷқәа ашкол ахь иныҟәоит хәба инаркны жәафанӡа.	В Великобритании в школу дети ходят от пяти до шестнадцати.
Урҭ фышықәса «алагарҭатә» школ аҿы ирхыргоит, анаҩс иацырҵоит «аҩбатәи ашкол» аҿы.	Они проводят шесть лет в «первичной» школе, и затем продолжают к «вторичной» школе.
Брита- ниа ду «аҳәынҭқарратә» школқәа ыҟоуп, урҭ рхы иақәиҭуп, ахатә школқәа рыхәԥса аҭаацәа иршәоит.	В Великобритании есть «государственные» школы, которые являются свободными, и частные школы, за которые платят родители.
Ахәыҷқәа есымша ашкол аҿы иҟоуп, аԥсшьара мшқәа раан ауп аҩныҟа ианаауа.	Дети остаются в школе все время, и только во время каникул приходят домой.
Урҭ, шамахамзар, аформа ҷыда ныҟәыргоит.	Они, обычно, носят униформы.
Аҩ-тәылак рыҟны аҵара, шамахамзар, даара формалла имҩаԥысуеит.	Обучение в обеих странах – обычно весьма формально.
Астудентцәа агәыԥқәа рыҟны еицхыраауеит, арҵаҩ иахь ицоит ацхыраара анырҭаху мацара.	Студенты часто сотрудничают в группах. и идут к преподавателю только, когда они нуждаются в помощи.
Дамеи иԥхыӡ маана.	Волшебный сон Дамея.
Амшын иаҿықәыз ԥсыуа қыҭак аҟны ҷкәына хәыҷык иҭаацәеи иареи еицынхон.	В одной из сел приморской Абхазии жил со своими родителями маленький мальчик.
Дамеи ихьӡын иара.	Звали его Дамеи.
Дамеи даара згәырҵҟәыл бзиаз хәыҷын.	Дамеи был очень любознательным ребенкокм.
Зегьы дрызҵаауан, зегьы идыруазар иҭахын.	Все его интересовало, и обо всем хотел знать.
Ҽнак, зны ақыҭаҿы инхоз ахацәа шьхацара аамҭа анааи, ианцо, излацо амҩа, арахә ахьдырҳәуа иахьалацәажәоз, иара ахаан имаҳацыз – аҵангәара ҳәа ажәа ҿыцк иаҳаит.	И вот как-то, в то время, когда мужчины его села обсуждали, когда надо им подниматься в горы, какой дорогой пойти на каких пастбищах пасти скот, Дамеи услышал незнакомое ему слово – ацангуара.
Дамеи аиҳабацәа аҵангәара закәуи ҳәа данразҵаа, урҭ хаҳәла еиларҭәахны мацара, иаакәыршаны иеиқәҵоу хаҳәгәарақәоуп, насгьы аҵан ргәарақәа еиҳарак гьежьгьежьӡа иҟоуп ҳәа иарҳәеит.	Дамею захотелось узнать, что это за ацангуары и ему объяснили, что это ограды, построенные из одних камней и что они бывают круглыми.
Нас Дамеи аҵан ргәарақәа зыргылодаз, аҵануаа зусҭцәада ҳәа дрызҵааит.	Тогда Дамеи спросил, кто строит эти ограды и кто такие ацаны.
Урҭ зыргылоз даара уаа ссақәан ҳәа иарҳәеит, дара аныҟаз адунеи ауааҵәҟьақәа, ҳара ҳажәла – ауаа ҟамлаӡацызт ҳәа.	И ему ответили, что строителями этих оград были очень маленькие люди, которые жили на земле, когда на ней не было еще настоящих людей как мы.
Аха Дамеи иаҳаз изхомызт, ихаҭа ибар иҭахын.	Но Дамею захотелось узнать побольше о них и самому увидеть их ограды.
Иаб диҳәо далагеит ашьха сга ҳәа.	Он стал просить своего отца взять его с собой в горы.
Дамеи макьана дхәыҷын азы Махаз, ус ихьӡын Дамеи иаб, иҵегьы иузҳар узгоит ҳәа иеиҳәеит.	Дамеи был слишком мал еще и Махаз, так звали его отца, обещал забрать когда он немного подрастет.
Аха аҷкәын хәыҷ иаб иҳәара данаҟәымҵ, ашьха дахьцоз диманы дцеит.	Но мальчик так упорно и долго уговаривал отца, он решился забрать его с собой.
Ашьха Дамеи бзиа ибеит, зегьы игәаԥхон ара, аха ашьха аԥхын кьаҿ анҵәамҭахь инеиуан, иара макьана изымдыруаз шаҟа ирацәаз.	Дамею нравилось в горах все, но короткое горное лето быстро подходило к концу, а он еще многое не узнал.
Аҵануаа ргәара рхази рыџьмақәеи рзы идыргылон, аха рыџьмақәа дуӡӡақәан, ртәыҩақәа ауӡан, рԥаҵақәа ауын, ишьҭассы адгьыл иқәҳәазо иныҟәон.	Ацаны строили свои ограды для себя и своих коз, но козы имели очень высокие рога и длиннющие бороды, которые вырастали у них даже до земли.
Ахшгьы рацәаны ирымҵуан.	И давали и очень много молока.
Абри акоуп аҵанаа рзы Дамеи иаҳазгьы.	Вот и все, что узнал об ацанах Дамеи.
Иҟоуп убас аԥсыуа ажәак – Аламыс ҳәа.	Есть такое слово «совесть»
Даара акраҵанакуеит, даараӡагьы акры аанагоит аԥсуа изы ари ажәа кьаҿ.	Чрезвычайно важное, емкое для абхаза это краткое слово.
Кәыркәа шоура цәгьак азы Гәдоуҭа ақалақь салсны сцон амшын агаҿахь шыҟоу.	Жарким июльским днем я как-то проходил по главной улице Гудауты в сторону берега моря.
Икакаҷха, ишәҭышха иҟаз абаҳча хәыҷ аҿы аҟәардә хәхәа дықәтәан ҭаҳмадак.	 В цветущем садике на длинной скамье сидел старик.
Аԥсшәа ааибаҳҳәан, снаидтәалеит.	Поздоровавшись, сел на скамью рядом с ним.
Ажәеи ажәеи шеихаҳҳәаалоз, ажәабжьқәа рҳәара ҳнагалеит.	Слово за слово, стали рассказывать разные истории.
Иҵып шьҭа ҩынҩажәаҟа шықәса, – иҳәеит аҭаҳмада, – сара саҳәшьеиҵбы лыблақәа акы рхыслан, уи дархьаауа далагеит.	-Это было сорок лет тому назад, – сказал старик, – моя младшая сестренка повредила себе глаза, это стало ее беспокоить.
Дабаҳамгеи, дзаҳмырбада аҳақьым дуцәа, аха акгьы лмыхәагәышьеит.	Куда только и к кому только ни возили ее; но вылечить глаза уже нельзя было.
Ус еиҳа-еиҳа деицәахо, уаҳагьы хәарҭак лмоуӡакәа длашәны дшаанхоз анеилылкаа – адәыӷба лҽаҵажьны лҽылшьит.	С каждым днем все хуже она видела и, когда совершенно убедилась, что полная слепота – ее удел, она бросилась под поезд.
Сара џьара сыҟан, санааи, иеизаз ауаа аҩны дырҭәхьан.	Я вернулся уже тогда, когда собравшиеся люди наполнили наш дом.
Иҟәаҟәаха иҟаз саҳәшьа рыцҳа даарган, ацәардаӷәы дықәын.	Люди принесли растерзанное тело и положили на кровать.
Саҳәшьа илхаз аҳәсақәа шеизҵаауаз саҳаит: «Ахаҵеиқәа злышьоузеи, мшәан?» ҳәа.	Я услышал их разговор: «Почему она в мужских брюках?»
Егьи, саҳәшьа сара сеиқәа лышьалҵазаап. Аха аҳәса данааилырх, аиқәа аҵаҟагьы иҟәашӡа лымаҭәақәа лшәын.	Я узнал свои брюки. Но женщины раздели сестру, под брюками на ней было белоснежное белье.
«Излышьалҵазеи, мшәан, ахаҵеиқәа? Изылҭаххазеи?» – иахырҳәаара рзымдыруа иааимҵаркит аҳәса.	Зачем она надела мужские брюки?» – недоумевали женщины.
Сара аӡәзаҵәык сакәын саҳәшьа мыжда ас зыҟалҵаз здыруаз – уи аламыс акәын!	Только я один понял, почему сестра так сделала.
Ауаҩ иаша.	Праведный человек.
Дыҟан зны уаҩ иашак.	Некогда жил один праведный человек.
Иԥсы ҭанаҵы гәыр-ԥынҵак аҟарагьы аӡәы иитәыз имгацызт.	За всю свою жизнь и на иголку не воспользовался он чужим добром.
Ҽнак аӡы дышхықәтәалаз, ҵәак аманы ишаауаз ибеит.	Сидел он как-то у ручья и увидел, что плывёт яблоко.
Даара деилаҳаит ари аҵәа.	Оно ему очень понравилось.
Аӡы иааҭиган ифеит.	Он взял его из воды и съел.
Аха иаразнак иҟаиҵаз дахьхәит, избанзар аԥшәма дизымҵааӡакәа аҵәа ифеит.	Но тут же раскаялся, так как съел яблоко, не спросив разрешения у хозяина.
Ари игәы иҵхон азы аҵәа зтәыз аԥшәма дыԥшааны даҭаимҵарц азы диҳәарц иӡбеит.	Он не знал от этого покоя и решил найти хозяина яблока и попросить прощения.
Аӡышьҭра дхыланы аҩадаҟа ддәықәлеит аҵәа ахьҭагылаз абаҳча иԥшаарц азы.	Пошёл он вверх по ручью и стал искать, из какого сада яблоко попало в ручей.
Ус дышнеиуаз, ааигәа иҟаз ақыҭаҟны днанагеит.	Так дошёл он до соседнего села.
Ахаҵа абаҳча зтәыз аԥшәма иашҭа дынҭалан, аԥсшәа наиаҳәаны, ихьыз иеиҳәеит.	Мужчина вошёл во двор хозяина этого сада и, поприветствовав хозяина, сказал ему о том, что с ним произошло.
Ишыҟалаз сыздырам, аха убаҳчаҟнытә аӡы иалашәаз аҵәа сфеит.	– Не знаю, как случилось, но я съел яблоко, которое ручей унёс из твоего сада.
Сгәы ҭынчхом сшаҭаумҵаз саҳаанӡа, избанзар ахаан сара истәымыз акы схы иасмырхәаӡац.	Я не буду знать покоя, пока ты не простишь меня, ибо я в жизни никогда не пользовался чемлибо, что бы не принадлежало мне.
Аԥшәма аҭак ииҭеит:	Хозяин ему ответил.
Аҩны ԥҳак дсымоуп.	У меня дома моя дочь.
Лара днапыдоуп, дшьапыдоуп, дагьгаӡоуп.	Она не имеет рук и ног, слепа и глупа.
Абас иҟоу арыцҳа ԥҳәысс дугар, уаҭасҵаӡом.	Если ты на такой убогой женишься, тогда я прощу тебя.
Ахаҵа дақәшаҳаҭхеит, ачара аҿҳәара ԥырҵәан иеиԥырҵит.	Мужчина согласился, они определили день свадьбы и разошлись.
Аҿҳәара аҽны аҭаца ддәылыргеит.	В назначенный день вывели невесту.
Уи гракгьы лымаӡамызт, уи моу, ссиршәа дыԥшӡан.	У неё не было ни одного недостатка, а напротив, она была писаная красавица.
Арԥыс ари деигәырӷьеит, лабгьы дизҵааит ари иаанагои ҳәа.	Обрадовался жених и спросил её отца, как всё это объяснить.
Сыԥҳа ахаан иакәым ак ҟалымҵаӡац.	За всю свою жизнь моя дочь не совершила ни одного неправедного поступка.
Уаргьы лара улеиԥшзаап.	Таким же оказался и ты.
Шәшеиқәнаго еилыскааит азы шәеибагар сҭаххеит.	Я понял, что вы достойны друг друга, и потому хотел, чтобы вы поженились.
Аҵәазы, ҳәарада, уаҭасҵаӡом.	А яблоко, конечно же, я тебе прощаю.
Аидара хьанҭа.	Тяжелая ноша.
Аҵаҩы ирҵаҩы диҳәеит:	Ученик попросил учителя:
– Уара убри аҟара уҟәыӷоуп, угәалаҟазаара бжьысны уаҩы уибаӡом, ахаан аӡәы уизгәааӡом.	– Ты такой мудрый. Ты всегда в хорошем настроении, никогда не злишься.
Саргьы ус сыҟазар сҭахуп, аха исылшаӡом усыцхраа!	У меня так не получается помоги и мне быть таким!
Арҵаҩы ари дақәшаҳаҭхан, уца, акартоши амакәани аага ҳәа ддәықәиҵеит.	Учитель согласился и попросил ученика принести картофель и пакет.
Аӡәы уизгәаар, иухамышҭуашәа убозар, абри акартош аашьҭыхны, ганкы ухьӡ анҵа, агьи аган аимак ахьуоуз ауаҩы ихьӡ анҵа, нас иара амакәан инаганы иҭаҵа, иҳәеит.	– Если ты на когонибудь разозлишься и затаишь обиду, – сказал учитель, то возьми этот, с одной его стороны напиши своё имя, с другой имя человека, с которым произошёл конфликт, и положи этот картофель в пакет.
Абри амакәан уахьцалак иуманы уцалароуп.	Ты должен всегда этот мешок носить с собой.
Аӡәы уизгәаацыԥхьаӡа, картошк ацҵала, – иҳәеит. Аҵаҩы дақәшаҳаҭхеит.	И каждый раз, когда на кого-нибудь обидишься, добавлять в него картофель.
Аамҭа ԥыҭк цеит.	Прошло какое-то время.
Аҵаҩы имакәан иҭаз акартошқәа ирыцлеит азы ихьанҭахеит, дахьцалак изгаӡом.	Пакет ученика пополнился ещё несколькими картошинами и стал уже достаточно тяжёлым.
Насгьы аԥхьа иҭаиҵаз акартош абаара иалагеит.	К тому же тот картофель, что он положил в самом начале стал портиться.
Афҩы цәгьахеит.	Стал издавать неприятный запах.
Аҵаҩы ирҵаҩы иҿы дааин иеиҳәеит:	Ученик пришёл к учителю и сказал.
– Ари шьҭа аныҟәгара уадаҩуп.	– Это уже невозможно носить с собой.
Амакәангьы хьанҭоуп, акартошқәа иҭоугьы бжьысит.	И пакет слишком тяжёлый, и картофель испортился.
Даҽакы иҟасҵара саҳә!	Предложи что-нибудь другое.
Аха арҵаҩы аҭакс иаиҳәеит:	Но учитель ответил:
– Уаргьы уҩныҵҟа убас ауп ишыҟоу.	 – То же самое, происходит и у тебя в душе.
Аӡәы уаницәгәаалак, ахаҳә хьанҭеиԥш акы уаҵалоит.	Когда ты, на кого-нибудь злишься, обижаешься, то у тебя в душе появляется тяжёлый камень.
Уи уаргьы иаразнак иузгәаҭаӡом.	Ты это сразу не замечаешь.
Нас ахаҳәқәагьы рхыԥхьаӡара есааира иацлоит.	Потом камней становиться всё больше.
Агәаара уашьцыло, еицыло ишнеиуа – ҟазшьаны иҟалоит, афҩы змоу ҟазшьа бааԥсны ишьҭухуеит.	Поступки превращаются в привычки, привычки – в характер, который рождает зловонные пороки.
Аха уи лассы иухашҭуеит, избанзар амыцхәы ихьанҭахоит азы аныҟәгара уадаҩхоит.	Но об этом грузе очень легко забыть, ведь он слишком тяжёлый, чтобы носить его постоянно с собой.
Абри зегьы шымҩаԥысуа уахәаԥшны иубартә иуасҳәеит.	Я дал тебе возможность понаблюдать весь этот процесс со стороны.
Аӡәы уаницәгәаауа мамзаргьы уара аӡәы игәы нурхарц ануӡба, уазхәыц, ани акартош бааԥс зҭоу амакәан аныҟәгара иаԥсоу иаԥсаму.	И Каждый раз, когда ты решишь обидеться или, наоборот, обидеть кого-то, подумай, нужно ли таскать мешок гнилой картошки внутри?
Ацқьа Валентин имш.	День Святого Валентина.
Ацқьа Валентин имш алегендақәа ирхылҵит.	День Св. Валентина восходит корнями к нескольким легендам.
