%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?	Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?
%PRODUCTNAME ақәыргылара	Установка %PRODUCTNAME
%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам	У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.
Алицензиатә еиқәшаҳаҭра адкылатәуп	Принять лицензионное соглашение
Алицензиатә еиқәшаҳаҭра сыдыскылоит	Я принимаю условия лицензионного соглашения
Алицензиатә еиқәшаҳаҭра сыдыскылом	Я не принимаю условия лицензионного соглашения
Алицензиатә еиқәшаҳаҭра шеибгоу агәаҭара. Ацаҳәа аҭаргьежьра ма «%PAGEDOWN»апытҟәыр шәхы иашәырхәа абри аиҿцәажәара аҟны алицензиа атекст зегьы агәаҭаразы	Просмотр лицензионного соглашения полностью. Используйте полосу прокрутки или кнопку «%PAGEDOWN» в этом диалоге чтобы просмотреть текст лицензии целиком.
Алицензиатә еиқәшаҳаҭрала аҟаза шәнанагоит, ахархәаҩ идыррақәа рыҭара  %OLD_VERSION нтә нас %PRODUCTNAME аҿы аҽҭаҩҩра.\n\nШәагәҭас «Анаҩс».	Мастер проведёт Вас через лицензионное соглашение, передачу пользовательских данных из %OLD_VERSION и регистрацию %PRODUCTNAME.\n\nНажмите «Далее».
Алкаа. Инаскьагоу (иактивым) анҵамҭақәа ананубаало адыррақәа рхыҵхымҭақәа рыҟныть раныхра залшом	Примечание. При отображении удалённых (неактивных) записей удалить их из источника данных невозможно.
Алкаара	Выделение
Алкаара	Выбор
Алкаара	В~ыделение
Алкаара аԥыхтәуп	Отменить выделение
Алкаара арежим	Режим выделения
Алкаара аҵәахра	Спрятать выделение
Алогарифматә регрессиа	Логарифмическая (%SERIESNAME)
Алогигатә	Логическое
Алокалтә диск ахь ашьақәыргылара.	Установка на локальный диск.
Алокалтә каталог аҿы акьыԥхьра...	Опубликование в локальный каталог...
Алфавиттә рбага	Алфавитный указатель
Алхра	В~ыбрать
Алхра	Выбор
Алхра	Выбрать
алхра ахкы рацзара	множественный выбор
Алхра ахьӡынҵа	Список выбора
Алхра...	Выбрать...
Алхратә фаил	Выбор файла
Алцәҟәра	Мигание
Алҵшәа	Результат
Алҵшәа	Result
Алҵшәа2	Результат2
Алшара ҷыдақәа	Специальные возможности
альфа	Альфа
Амадарақәа иԥсахын.\nАԥсахрақәа еқәхархома?	Связи были изменены.\nСохранить изменения?
Амаӡажәа	Пароль...
Амаӡажәа ахәҭоуп	Требуется пароль
Амаӡажәа ахәҭоуп	Т~ребуется пароль
Амаӡажәа ахәҭоуп	Требуется ~пароль
Амаӡажәа гәнаҳкылап	Запомнить пароль
Амаӡажәа еқәхархап.	Сохранить пароль
Амаӡажәа иашаӡам	Неправильный пароль
Амаӡажәа ҭажәгал	Введите пароль
Амаӡажәа шамоу ихьчатәуп	Сохранить с паролем
Амаӡажәа:	Пароль:
Амаӡажәа.	Пароль
Амаӡажәа.	Па~роль
Амаӡажәақәа еиқәшәаӡом. Еиҭаҭажәгал.	Пароли не совпадают.
Амаӡаныҟәгаҩ	Секретарь
Амакетқәа	Макеты
Амакрос аанкылатәуп	Остановить макрос
Амакрос азалхра	Назначить макрос
Амакрос алхра	Выбрать макрос
Амакрос анагӡара аанкылатәуп	Остановить выполнение макроса
Амакрос апанель	Панель макроса
Амакрос аҭаҩра 	Записать макрос
Амакрос ахьӡ	Имя макроса
Амакрос ахьӡ	Название макроса
Амакрос нагӡатәуп...	Выполнить макрос
Амакрос нагӡатәуп...	Выполнить макрос...
Амакрос...	Макрос...
Амакросқәа	Макросы
Амакросқәа %PRODUCTNAME	Макросы %PRODUCTNAME
Амакросқәа аредакциа рзура	Редактировать макросы
Амакросқәа ралхра	Выбор макроса
Амакросқәа рнапхгараҭара	Управление макросами
Амакросқәа ршәарҭадара	Безопасность макросов
Амакросқәа рынҵара	Запись макроса
Амакросқәеи адиалогқәеи %PRODUCTNAME	Макросы и диалоги %PRODUCTNAME
Амаксимум	Максимум
амаксимум аиура	получить максимум
Амарка	Марка
Амарка ахьыӡ	Название марки
Амаркерқәа	Маркеры
Амаркоқәа рпонель	Панель макросов
Амаркос	Макрос
Амаркос ахьӡ	Имя макроса
Амаркос ахьынтә	Макрос из
Амаркосқәа егьырҭ адокументқәарҟынтәи	Макросы из других документов недоступны.
Амаркосқәа иҟоу:	Существующие макросы:
Амаругақәа рпанель 	Панели инструментов
Амаругақәа рпанель арктәуп	Закрыть панель инструментов
Амассив	Массив
Амастер иаԥнаҵоит афакс ахсаала афаксқәа рацәаны раԥҵаразы адәахьала зҭеиҭԥш еиԥу насгьы ақәыргыларақәа даҽакны	Мастер заканчивает подготовку шаблона факса для создания новых документов с одинаковым внешним видом и другими установками.
Амасштаб	~Масштаб
Амасштаб	Масштаб
Амасштаб	Масштабирование и режимы просмотра
Амасштаб	Вид
Амасштаб 100%	Масштаб 100%
Амасштаб азыԥшаара	Подбор масштаба
Амасштаб еизырҳатәуп	Увеличить масштаб
Амасштаб иагырхатәуп	Увеличить масштаб
Амасштаб иагырхатәуп	Уменьшить масштаб
Амасштаб...	Масштаб...
Амасштабркра арежим	Режим масштабирования
Амасштбыркра ықәгатәуп	Снять масштабирование
Амацәаз  	Кольцо
Амацәаз ала	По кольцу
Амацәыс	Молния
Амаҵзура [2] ([3]) аусура изаламгеит. Игәашәҭ иахәҭоу азин шәымзар асистематә маҵзурақәа аус ашәырурц.	Служба [2] ([3]) не смогла стартовать. Убедитесь, что имеете достаточно прав для запуска системных служб.
Амаҵзура [2] ([3]) ианыҵуам. Игәашәҭ иахәҭоу азин шәымзар асистематә маҵзурақәа аныхразы.	Служба [2] ([3]) не удаляется. Убедитесь, что имеете достаточно прав для удаления системных служб.
Амаҵзура [2] ([3]) изаанымгылеит. Игәашәҭ иахәҭоу азин шәымзар асистематә маҵзурақәа аанкыларазы.	Служба [2] ([3]) не смогла остановиться. Убедитесь, что имеете достаточно прав для остановки системных служб.
Амаҵзура [2] ([3]) изышьақәгылом. Игәашәҭ иахәҭоу азин шәымзар асистематә маҵзурақәа ашьақәыргыларазы.	Служба [2] ([3]) не устанавливается. Убедитесь, что имеете достаточно прав для установки системных служб.
Амаҵзура аԥыхра	Удаление служб
Амаҵзура ҿыцқәа рышьақәыргылара	Установка новых служб
Амаҵзура: [1]	Служба: [1]
Амаҵзура: [2]	Служба: [2]
Амаҵура/ахьыӡ	Звание/Должность
Амаҵурақәа раанкылара	Остановка служб
Амаҵурақәа русарура	Запуск служб
Амедиа аобиект	Медийный объект
Амедиа арҳәага	Медиаплеер
Амениу	Меню
Амениу аԥҵатәуп	Создать меню
Амениу еиҭагатәуп	Переместить меню
Амениуеиҵа ацҵатәуп	Добавить подменю
Аметадыррақәа HTML	Метаданные HTML
Аметалик	Металик
аметафаил ахь	В метафайл
Аметод 	Метод
Аметод:	Метод: 
Амза	Месяц
Амза	Луна
Амза	~Месяц
Амза	Month
Амзар	Календарь
аминимум аиура	получить минимум
Амодель	Модель
Амодель ахьыӡ ԥсахтәуп	Редактировать модель
Амодель ацҵатәуп	Добавить модель
Амодельқәа	Модели
Амодератор	Модератор
Амодификациа арыцхә	Дата модификации
Амодудь  [2] аҭаҩра ауам. HRESULT [3]. Шәсистематә администратор шәидҵаал.	Невозможно зарегистрировать модуль [2]. HRESULT [3]. Свяжитесь с Вашим системным администратором.
Амодул	Модуль
Амодул ХХ иқәаҳгома?	Удалить модуль XX?
Амодул ҿыц	Новый модуль...
Амодуль [2] аҭаҩра аԥыхра ауам. HRESULT [3]. Шәсистематә  администратор шәыҽимажәда.	Невозможно удалить регистрацию модуля [2]. HRESULT [3]. Свяжитесь с Вашим системным администратором.
Амодуль ала ахыԥхьаӡарақәа рҵакы архынҳәуеит (ахыԥхьаӡара иабсолиуту  аҵакы).	Возвращает значение чисел по модулю (абсолютное значение числа).
Амодуль алхра	Выбрать модуль
Амодульқәа	Модули
Амодульқәа рҭаҩра	Регистрация модулей
Амодульқәа рҭаҩра аԥыхра	Удаление регистрации модулей
Амозаика	Мозаика
Аморт. SYD	                     \<item type=\"input\"\>Аморт. SYD\</item\>                  
Амра	Солнце
амудул ҿыц	Новый модуль
Амультмедиа анапхгара	Воспроизведение мультимедиа
Амультмедиа анапхгара	Мультимедиа
Амҳәырхуҷ	Печатка
Амҽхак алхтәуп...	Выбрать диапазон...
Амҽхак арбатәуп...	Задать диапазон...
Амҽхак ахьыӡ	Названия диапазона
Амҽхакқәа акы алышәх	Выберите один из параметров:
Амш	День
Амш аусхәаԥш	Повестка дня...
Амш аусхәаԥш	Повестка дня
Амш аусхәаԥш  ахсаала анҵараан ҳшымгәыӷӡоз агха ҟалеит	Неожиданная ошибка случилась при записи шаблона повестки дня.
Амш аусхәаԥш аартраан ҳгәаҳҽынӡамкәа агха ҟалеит	При открытии шаблона повестки дня произошла неожиданная ошибка.
Амш аусхәаԥш аҟаза	Мастер повестки дня
Амш аусхәаԥш ахәҭа	Пункты повестки дня
Амш аусхәаԥш ахәҭақәа	Темы повестки дня
Амш аусхәаԥш ахсаала иаҵанакуеит иалху ауаа рҭагалага-дыргақәа. Амш аусхәаԥш абри ахсаала ала аԥҵараан, арҭ адыргақәа шәыԥсахыр ҟалоит дара ирықәнаго ахьыӡқәа рыла.	Шаблон повестки дня будет содержать все метки-заполнители для выбранных ролей. При создании повестки дня из этого шаблона можно заменить метки соответствующими именами.
Амш аусхәаԥш ахсаала ишьҭнахуеит иалкаау аҭарҭәага-адырга змоу ахәҭақәа	Шаблон повестки дня будет содержать метки-заполнители для выбранных элементов.
Амш аусхуаԥш азы иашәырба адизаин адаҟьа	Выберите дизайн страницы повестки дня
Амшқәа рхыԥхьаӡара	Число дней
Амшынтә	Морской
Амыруга алхтәуп	Выбрать инструмент
Амыругақәа рпанель	Панели инструментов
Амыругақәа рпанель 	Главная панель инструментов
Амыругақәа рпанель 	Элементы управления
Амыругақәа рпанель 	Панель инструментов
Амыругақәаа рпанель апозициа арктәуп	Фиксировать позицию панели инструментов
Амыругақәаа рпанель иамарӷәӷәатәуп	Закрепить панель инструментов
Амыругақәаа рпанель... Архиара	Настройка панели инструментов...
Амыругақәаа рпанельқәа зегьы амарӷәӷәатәуп	Закрепить все панели инструментов
Амыруыгатә панел шьқәыхаргылап	Настройка панелей инструментов 
Амҩа	Путь
Амҩа	Улица
Амҩа	Путь и имя файла
Амҩа [2] ажәақәа алоуп, аҭаӡ ахьӡ аҿы зхархәара ҟамло.	Путь [2] содержит слова, которые недопустимы в имени папки.
Амҩа [2] зхархәара ҟамло асимволқәа алоуп.	Путь [2] содержит недопустимые символы.
Амҩа [2] ииашам. Ииашоу амҩа ашәырба.	Путь [2] не верен. Укажите верный путь.
Амҩа ахәҭак [2] системала иақәнагоу аура еиҳахеит.  	Часть пути [2] превышает длину пути разрешенную системой.
Амҩа:	Путь:
Амҩа:	Улица:
Амҩа...	Путь...
Амҩа/афаил ахьӡ	Путь/имя файла
Амҩақәа	Пути
Амҩаԥгара ацәхьаҵра	Откат действия:
Амҩаԥгаҩ	Проводник
Анавигациа	Навигация
Анавигациа апанель аарԥштәуп	Показать панель навигации
Анавигациа апанель ҵәахтәуп	Скрыть панель навигации
Анавигациатә панел	Панель навигации
Анагарақәа	Доставки
Анагӡара	Выполнение
Анагӡара:	Выполнение:
Анагӡара:	Выполнение: 
Анапаҵаҩҩрақәа	Подписи
Анаплакы:	Организация:
Анаплакыра	Организация
Анапхгага аелементқәа ҭаргылатәуп	Вставить элементы управления
Анапхгара азура	Администрирование
Анапхгара ахәҭа 	Элемент управления
Анапхгара ахәҭа 	Элемент управления...
Анапхгара ахәҭа (идырым ахкы)	Элемент управления (неизвестный тип)
Анапхгара ахәҭақәа рыҟазаара	Расположить элементы управления
Анапхгара ахәҭақәа шьақәшәыргыл шәформаҿы	Расположите элементы управления на Вашей форме
Анапхгарап елименткгьи иалкаам	Не отмечены элементы управления
Анапхгарап елименткгьи иалкаам	Ни один элемент управления не выделен
Анапхгаратә елемант	Элементы управления
Анапхгаратә елемант	Form controls
Анапхгараҭара...	Управление...
Анапхгараҭара...	Управление
Анапхгараҭара...	Со~здать...
Анапхгараҭара...	Настройка
Анапхгараҭара...	Организовать
Анаԥшцәа	Наблюдатели
анаскьа	Суммировать отступы для абзацев и таблиц внизу страницы
Анаскьа аилазаашьа	Структура отступов
Анахара/акопиа ахыхра	Переместить/копировать...
Анашьҭра	Отправить
Анашьҭра аҟаза	Мастер рассылки
Анашьҭра зауа	Получатели рассылки
Анашьҭразы алагамҭатә документ алышәх	Выберите начальный документ
Анаҩс	Далее
Анаҩсан >	Дальше >
Анаҩсанстәи агха	Следующая ошибка
Анаҩсантәи абӷьыц ахь	К следующему листу
Анаҩсантәи абзац иадкылатәуп	Объединить со следующим абзацем
Анаҩсантәи абларҭақәа реҭаҵра 	С~ледующие ячейки
Анаҩсантәи абларҭақәа реҭаҵра 	Сдвиг след. ячеек
Анаҩсантәи адаҟьанӡа иалкаатәуп	Выделить до следующего листа
Анаҩсантәи анҵамҭа	Следующая запись
Анаҩсантәи ахҵара	Следующая метка
Анаҩсантәи ихьчам абларҭахь	К следующей незащищённой ячейке
Анаҩстәи аслаид	Следующий слайд
Анаҩстәи астиль	Следующий стиль
Анбан ду	Буквица
Анбан дуқәа	Прописные буквы
Анбан дуқәа	ПРОПИСН~ЫЕ
Анбан дуқәа	ВЕРХНИЙ РЕГИСТР
Анбан хәыҷқәа	Строчные буквы
Анбан хәыҷқәа	cтро~чные буквы
Анбан хәыҷқәа	нижний регистр
Англызтәи	Английский
Анеиразы агха ыҟоуп. Иҟалозар, игәашәҭ ииашаны аконфигурациа ықәгылазар Windows Installer аҿы нас еиҭа   ашьақәыргылара шәҽазышәшәа.	Ошибка доступа. Пожалуйста, убедитесь что Windows Installer сконфигурирован правильно и попытайтесь произвести инсталляцию снова.
Анеиҩстәи адаҟьа	Следующая страница
Анеиҩстәи адаҟьа	В начале след. стр.
Анемец бызшәа (Германиа)	Немецкий (Германия)
Анемецтәи	Немецкий
Анеҩс >>	Далее >>
Анеҩс >>	~Далее >>
Анеҩс >>	~Next >>
Анеҩстәи	Следующее
Анимациа	Анимация
Анимациа зызу асахьа...	Анимированное изображение...
Анлызтә бызшәа (ЕАА)	Английский (США)
Аномер	Номер
Аномераҭара аҿактәуп	Включить нумерацию
Аномерқәа ықәыргылатәуп	Вставить нумерацию
Аномеррка аԥыхтәуп	Удалить нумерацию
Аномерркра ирҿыцны алагара	Начать нумерацию заново
Анорвег бызшәа (букмол)	Норвежский (букмол)
Анултә цакқәа	Нулевые значения
Анумерациа 1	Нумерованный список 1
Анумерациа 2	Нумерованный список 2
Анумерациа 3	Нумерованный список 3
Анумерациа 4	Нумерованный список 4
Анумерациа 5	Нумерованный список 5
Анумерациа аилазаара	Структура нумерации...
Анумерациа асимвол	Символ нумерации
Анумерациа аҿактәуп	Выключить нумерацию
Анумерациа хкы	Тип нумерации
Анумерркра	Нумерация
Анумерркра	Структура и нумерация
Анцәамҭақәа реицыҟазаашьа	Синхронизировать концы
Анцәамҭатә зхьарԥш	Концевая сноска
Анцәамҭатә зхьарԥш бжьаргылатәуп	Вставить концевую сноску
Анҵамҭа амаркер	Маркер записи
Анҵамҭа аԥыхтәуп	Удалить запись
Анҵамҭа ахьыӡ	Имя записи
Анҵамҭа ахьыӡ ԥсахтәуп	Переименовать запись
Анҵамҭа ацҵатәуп	Добавить запись
Анҵамҭа ԥшаатәуп	Найти запись...
Анҵамҭа хьчатәуп	Сохранить запись
Анҵамҭақәа	Записи
Анҵамҭақәа	Элементы
Анҵамҭақәа аус рыдулара	Действия над записью
Анҵамҭақәа рзеиԥш хыԥхьаӡара	Общее количество записей
Анҵәамҭа	Конец
Анҵәамҭа ...	Финализация...
Анҵәамҭа албаага адҿаҳәалара	Привязка концевой сноски
Анҵәамҭа албаага асимволқәа	Символы концевой сноски
Анҵәамҭатә лбаақәа	Концевые сноски
Анҵәамҭаҭә зхьарԥшқәа рықәыргыларақәа ԥсахтәуп	Изменить установки концевых сносок
Анҵәамҭаҿы агьежь змоу аиԥшьгатә цәаҳәа 	Соединительная линия с кругом на конце
Аныҟәгаҩ $(ARG1) ҭашәыргыл.	Вставьте носитель $(ARG1).
Анырраҟаҵаратә абларҭақәа	Влияющие ячейки
Анырраҟаҵаратә абларҭақәа рҽырҵыцра	Автоматическое обновление влияющих ячеек
Анырха	Длит-сть
Аныхраан агха ҟалеит:	Ошибка при удалении: 
Анҩсанстәи амасштаб	Следующий масштаб
Ао	Объект StarFrameSet
Аобиект	Объект
Аобиект	Объекты
Аобиект	Рисованный объект
Аобиект $(ARG1) $(ARG2) акаталог аҟны аԥҵашьа амаӡам.	Невозможно создать объект $(ARG1) в каталоге $(ARG2).
Аобиект InPlace арежим аҿы  активра узазуам.	Невозможно активировать объект в режиме InPlace.
Аобиект Star аформат	Формат объекта Star
Аобиект агага аманы	Объект с тенью
Аобиект адаԥа адҳәалара	Привязка к рамкам объекта
Аобиект аиқәҳәаларҭа адҳәалара	Привязка к узлам объекта
Аобиект амасштаб	Масштаб объекта
Аобиект аԥыхтәуп	Удалить объект
Аобиект ари аус аднакылом	Объект не поддерживает это действие.
Аобиект атрибутқәа ацны иаԥҵатәуп	Изменить объект с атрибутами
Аобиект аҭаргылара	Вставка объекта
Аобиект ахаҿы ахәынаԥ	Мышь над объектом
Аобиект ахкы	Тип объекта
Аобиект ахыц аманы	Объект со стрелкой
Аобиект ахь аимадара ашьақәыргылара залшом	Невозможно установить связь с объектом.
Аобиект аҷыдаҟазшь	Выбор формата
Аобиект аҷыдаҟазшь	Свойства объекта
Аобиект узбжьаргылом %	Невозможно вставить объект %.
Аобиект узыԥшаауам	Невозможно найти объект.
Аобиектқәа зегь %1 ахкы змоу активра руеит %2 еиԥш, аха рҽеиҭаркӡом.	Все объекты типа %1 активируются как %2, но не преобразуются.
Аобиектқәа ркаталог	Каталог объектов
Аобиектқәа рҭыԥыркра ахархҿара аҭатәуп %WRITERCOMPATIBILITYVERSIONOOO11 ианаало.	Использовать размещение объектов, совместимое с  %WRITERCOMPATIBILITYVERSIONOOO11
Аобиектқәа рхыԥхьаӡара	Количество объектов
Аоперативтә гәынкылара азхом. Аиҭаҿакра аԥхьа егьырҭ аԥшьқәа аҿышәх.	Нехватка оперативной памяти. Выгрузите другие приложения перед повтором.
Аоператорцәа	Операторы
Аоперациа seek $(ARG1) аҟны анагӡара иауӡом.	Невозможно выполнить операцию seek на $(ARG1).
Аоперациа tell $(ARG1) аҟны анагӡара иауӡом.	Невозможно выполнить операцию tell на $(ARG1).
Аоперациа ианаамҭоу алгара залшом	Невозможно завершить операцию в уставленный срок.
Аоперациа нагӡаӡам	Операция не выполнена.
Апа	Тонкий
Апакет аарттәуп	~Открыть пакет...
Апакет аарттәуп	Открыть пакет
Апакет акеш  аԥҵара ауам. (package cache) [2]. Агха [3]. Шәсистематә  администратор шәыҽимажәда.	Невозможно создать кеш пакета (package cache) [2]. Ошибка [3]. Свяжитесь с Вашим системным администратором.
Апакет хьчатәуп	Со~хранить пакет...
Апакет хьчатәуп	Сохранить пакет
Апараметрқәа	Параметры
Апараметрқәа	 Параметры
Апараметрқәа	~Параметры
Апараметрқәа рыхәаԥшреи рыԥсахреи рзы шәақәыӷәӷәа Шьҭахьҟа	Чтобы просмотреть или изменить параметры, нажмите «Назад».
Апареллелограммм	Параллелограмм
Апатырқал	Оранжевый
Апатырқалтә	Оранжевый
Апаҭырқалԥштәи аиаҵәеи	Оранжевый и синий
Апауза анарха	Длительность паузы
Апаҵҟәыр	Кнопка
Апаҵҟәыр атип	Тип кнопки
Апаҵҟәырқәа шәхы иархәаны ашрифт ма !!!!!!	Используйте кнопки для изменения шрифта или вставки полей, таких как дата, время и т.д.
Аперсонал	Персонал
Апластик	Пластик
Апленка	Пленка
Апозициа	Позиция
Аполицәаҳәа, иҭырҭәааны	Полилиния, с заливкой
Апораметрқәа:	Параметры:
Апортугал бызшәа (Бразилиа)	Португальский (Бразилия)
Апотенциалтә регрессиа	Степенная (%SERIESNAME)
Апотугал бызшәа (Португалиа)	Португальский (Португалия)
Апошьҭа аихшаразы адресқәа рдыррақәа ахархәара аҭатәуп	Использовать базу данных адресов для почтовой рассылки
Апплет аобиект	Объект апплета
Апплет аобиект адокументахь ибжьанаргылоит. Аобиекти активра анауа,апплет дәықәлоит.	Вставляет объект апплета в документ. Когда активизируется объект, запускается апплет.
Апплет ԥсахтәуп	Изменить апплет
Апрезентациа	Презентация
Апрезентациа	Презентация...
Апрезентациа  Microsoft PowerPoint аарта ажәамаӡала ихьчоу аднакылом	Открытие презентаций Microsoft PowerPoint, защищённых паролем, не поддерживается.
Апрезентациа аҟаза	Мастер презентаций
Апрезентациа анубаало аҟаҵашьа	Способ отображения презентации
Апрезентациа ахкы алышәх	Выберите тип презентации
Апрефикс	Префикс
Апринтепр ашьақәырглақәа	Настройки принтера
Апринтер	Принтер
Апринтер	 Принтер 
Апринтер	Принтер 
Апринтер %s ақәгара ҳалшом.	Невозможно удалить принтер %s.
Апринтер архиара...	Настройки принтера...
Апринтер ахьӡ алышәх	Введите имя принтера
Апринтер ахьыӡ	Имя принтера
Апринтер ацаҳцап	Добавить принтер
Апринтер ҿыгара адиапазон	Диапазон печати
Апринтер ҿымҭӡакәа иаҳархәалап. :) ))	Использовать как принтер по умолчанию
Апрограмма аиндентифиткациа аҭаҩра аԥыхра	Удаление регистрации идентификаторов программы
Апрограмма аиҭашьқәыргылара мамзаргьы аԥыхра	Восстановить или удалить программу.
Апрограмма аус арутәуп	Запустить программу
Апрограмма афаилқәак ирҿыцзар ауеит [ProductName] акопиа анаашәхәуалакь ашьҭахь.	Some program files might have been updated since you obtained your copy of [ProductName].
Апрограмма ахәҭакәа алышәх, ашьақәыргылара зҭаху.	Выберите компоненты программы, которые необходимо установить.
Апрограмма ашьақәыргылара, амодификациа мамзаргьы аԥыхра.	Установка, модификация или удаление программы.
Апрограмма нагӡатәуп	Выполнить программу
Апрограммақәа ридентификаторқәа рҭаҩра	Регистрация идентификаторов программы
Апрограмматә компанентқәа зегьы шьақәыргылатәуп. (Адиск аҿы аҭыԥ рацәа аҭаххоит).	Установить основные компоненты. Рекомендуется для большинства пользователей.
Апрогресс	Прогресс
Апрогресс	Выполнение
Апроектҟаҵара арежимаҿ иаарттәуп	Открыть в режиме проектирования
Апроценттә аизакра ацны	Процентная с накоплением
Апытҟәыр URL бжьаргылатәуп	Вставить кнопку URL
Апытҟәырқәа арбатәуп	Показать кнопки
Апытҟәырла иԥсахтәуп	Заменить кнопкой
Аԥәтәы алхра	Выбор цвета
Аԥенџьыр	Окно
Аԥенџьыр	~Окно
Аԥенџьыр	О~кно
Аԥенџьыр арктәуп	Закрыть окно
Аԥенџьыр ашәагаала	По размеру окна
Аԥенџьыр ашьақәыргылара	Фиксировать окно
Аԥенџьыр еихшатәуп	Разбить окно
Аԥенџьыр ҿыц	Новое окно
Аԥкаанҵа аҩҩразы иаҿашәк аформа	Добавить форму для ведения протокола
Аԥкра	Ограничение
Аԥҟара ацҵатәуп	Добавить условие
Аԥочҭатә индекс/Ақалақь	Почтовый индекс/Город
Аԥошьҭатә адрес	Почтовый адрес
Аԥошьҭатә индекс	Почтовый индекс
Аԥошьҭатә индекс	Почт. индекс
Аԥошьҭеи ажәабжь ҿыцқәеи	Почта и новости
аԥсахра абуфер	буфер обмена
Аԥсахразы азин аҳҭап	Разрешить изменения
Аԥсахрақәа [2] ахархәара роурц азы шәсистема еиҭаҿактәуп. Шәақәыӷәӷәа Ааи аиҭаҿакра шәақшаҳаҭзар, мазаргьы Мап шәара шәхала аиҭаҿакра нас иҟашәцозар.	Вам необходимо перезагрузить систему для применения изменений [2]. Нажмите Да для перезагрузки сейчас или Нет, если Вы планируете перезагрузить систему позже.
Аԥсахрақәа адкылатәуп ма иаԥырхтәуп	Принять или отклонить изменения
Аԥсахрақәа адкылатәуп: $1	Принять изменение: $1
Аԥсахрақәа адкылатәым: $1	Отклонить изменение: $1
Аԥсахрақәа анҵалатәуп	Записывать изменения
Аԥсахрақәа ранализ	Анализ изменений
Аԥсахрақәа ранҵара	Запись изменений
Аԥсахрақәа рҽацәыхьчара	Защита от изменений
Аԥсшәаҳәара	Приветствие
Аԥсшәаҳәара	О~бращение
Аԥсшәаҳәара	Обращение
Аԥсшәаҳәара аҟнытә амхра	Удалить из приветствия
Аԥсшәаҳәара апозициа	Позиция приветствия
Аԥсшәаҳәара аԥҵара	Создание приветствия
Аԥсшәаҳәара ахәаԥшра	Просмотр приветствия
Аԥсшәаҳәара ахәҭақәа	Элементы приветствия
Аԥсшәаҳәара змоу,адыррақәа рхыҵхырҭа аҟнытә аҭыԥ алышәх.	Назначьте поля из источника данных, содержащие элементы приветствия.
Аԥсшәаҳәара иацҵатәуп	Добавить к приветствию
Аԥсшәаҳәара ихаҭалатәратәуп	2. Персонализировать приветствие
Аԥсыла	Полужирный
Аԥсыла	~Жирн.
Аԥсыла	Жирный
Аԥҭа	Облако
Аԥхьа	Перед
аԥхьа 	перед
Аԥхьа инеуа адаҟьа	Предыдущая страница
Аԥхьаӡага аҳәынҵәрала иԥсахтәуп	Заменить кнопкой счётчика
Аԥхьаӡара	Счёт
Аԥхьаӡара	Счет
Аԥхьаӡарақәа	Счета
Аԥхьаӡарақәа рыхәҭакәа	ДеталиСчетов
Аԥхьаҟа	Вперёд
Аԥхьаҟа	Переместить ~вперёд
Аԥхьара	Чтение
Аԥхьаразы мацара	Только для чтения
Аԥхьаразы мацара	~Только для чтения
Аԥхьатәи ~ адокументқәа	Предыдущие ~документы
Аԥхьатәи адаҟьа	Первая страница
Аԥхьатәи алаԥшхгара	Предварительный просмотр
Аԥхьатәи алаԥшхгара	Просмотр
Аԥхьатәи алаԥшхгара	Вид
Аԥхьатәи алаԥшхгара	Прос~мотр
Аԥхьатәи алаԥшхгара	Preview
Аԥхьатәи аплан ахь	На ~передний план
Аԥхьатәи аплан ахь	На передний план
Аԥхьатәи аплан аҿы	П~еред текстом
Аԥхьатәи аплан аҿы	На переднем плане
Аԥхьатәи асахьа	Начальный вид
Аԥхьатәи ацаԥха арбам	Первичный ключ не указан
Аԥхьатәи ацәаҳәа	Первая строка
Аԥхьатәи ацыԥха	Первичный ключ
Аԥхьатәи ацыԥха иаԥҳҵап	Создать первичный ключ
Аԥхьатәи ацыԥхахьы иаҵанакуеит	Относится к первичному ключу
Аԥҳәыс	для женщины
Аԥҳәыс	Женщина
Аԥшаара	Найти
Аԥшаара	Поиск:
Аԥшаара	~Найти
Аԥшаара	Поиск
Аԥшаара алҵшәақәа	Результаты поиска
Аԥшаара аԥҟара	Условие поиска
Аԥшаара...	Поиск...
Аԥшааратә критериақәа кырӡа ирацәоуп	Слишком много критериев поиска
Аԥшааратә цәаҳәа ԥшаам	Строка поиска не найдена
Аԥшаашьа алышәх	Выберите условие поиска
Аԥшаашьа аԥҟара	Условие поиска: 
Аԥшаашьа аԥҟара азалхым.	Не назначено условие поиска.
Аԥштәқәа	Цвета
Аԥштәқәа	Цвет
Аԥштәқәа	Colors
Аԥштәқәа рпанель	Панель цветов
Аԥштәқәа рсхема	Цветовая схема
Аԥштәқәа шыҟоу еиԥш	Цвета по умолчанию
