Ша сов къинхетаме  а‚ къинхетаме а волчу Делан  цIарца	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
Дагадаийта!  Мусас ма дийхира /Деле/ шен къомана мала хи / уьш, хьагбелла, “Тихолучу боьрахь болуш/. ТIаккха Оха элира: 'ДIатоха хьайн Iаса тIулгах'. ТIаккха цунах делира шийтта хьоста. Берриге а нахана евзира шайн-шайн хи молу меттиг.  Даа а даа‚ мала а мала Делан рицкъанах – ма де лаьтта тIехь вониг, боьханиг даржош	وَإِذِ اسْتَسْقَى مُوسَى لِقَوْمِهِ فَقُلْنَا اضْرِب بِّعَصَاكَ الْحَجَرَ فَانفَجَرَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْناً قَدْ عَلِمَ كُلُّ أُنَاسٍ مَّشْرَبَهُمْ كُلُواْ وَاشْرَبُواْ مِن رِّزْقِ اللَّهِ وَلاَ تَعْثَوْاْ فِي الأَرْضِ مُفْسِدِينَ
Аш аьллера: 'ХIай Муса‚ оха тоам бийр ма бац цхьана тайпана даарх. Хьайн Кхиош-кхобучуьнга деха‚ Цо йолийтуьйла тхуна лаьтта тIехь кхуьуш болчу хасстоьмех‚ ехачу наьрсех‚ саьрмасекхех‚ хьозийн кхоьэх‚ хохех цхьацца хIума. Цо элира: 'Ткъа аш хуьйцу диканиг /цул/ лахарчух? Охьадисса Мисра‚ шуна хир ду аш дехнарг'. Царна тIетуьйхира сий дайар а‚ мискалла а‚ Делера оьгIазло хилира царна. Иза – уьш Делан аятех ца тешаш хиларна а‚ нийса доцуш пайхамарш бойуш хиларна а ду. Иза – цара дуьхьало ярна а‚ уьш дозанах бовлуш хиларна а ду	وَإِذْ قُلْتُمْ يَا مُوسَى لَن نَّصْبِرَ عَلَىَ طَعَامٍ وَاحِدٍ فَادْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنبِتُ الأَرْضُ مِن بَقْلِهَا وَقِثَّآئِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا قَالَ أَتَسْتَبْدِلُونَ الَّذِي هُوَ أَدْنَى بِالَّذِي هُوَ خَيْرٌ اهْبِطُواْ مِصْراً فَإِنَّ لَكُم مَّا سَأَلْتُمْ وَضُرِبَتْ عَلَيْهِمُ الذِّلَّةُ وَالْمَسْكَنَةُ وَبَآؤُوْاْ بِغَضَبٍ مِّنَ اللَّهِ ذَلِكَ بِأَنَّهُمْ كَانُواْ يَكْفُرُونَ بِآيَاتِ اللَّهِ وَيَقْتُلُونَ النَّبِيِّينَ بِغَيْرِ الْحَقِّ ذَلِكَ بِمَا عَصَواْ وَّكَانُواْ يَعْتَدُونَ
Баккъалла а, /Мухьаммадна тIаьхьахттина/ ийман диллинарш а‚ /Мусана тIаьахьахттина хилла /жуьгтий а, /Iийсана таьахьахттина хилла/ насараш а‚ сабиаш а – /царах/ Делах а, тьххьарчу дийнах а тешаш берш а, дика мал йинарш а – царна шайн ял хир ю шайн  Кхиош-кхобучун гергахь,    кхерам а хир ма бац царна /эхартан таарх/, уьш сингаттаме а хир ма бац /мела цахиларх кхоьруш/	ِنَّ الَّذِينَ آمَنُواْ وَالَّذِينَ هَادُواْ وَالنَّصَارَى وَالصَّابِئِينَ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الآخِرِ وَعَمِلَ صَالِحاً فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلاَ خَوْفٌ عَلَيْهِمْ وَلاَ هُمْ يَحْزَنُونَ
Дагадайта! Оха шуьга чIагIо яйтира, шуна тIехула лам хттийна. Чг схьалаца Оха шайна делларг‚ цу чохь дерг а дагадайта шу хир дацара-те  /дуьненахь хллакхиларх а, эхартахь заб хиларх а/ кхоьруш	وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ خُذُواْ مَا آتَيْنَاكُم بِقُوَّةٍ وَاذْكُرُواْ مَا فِيهِ لَعَلَّكُمْ تَتَّقُونَ
ТIаккха‚ цул тIаьхьа‚ шу юхадевлира /Тавратаца  Iамал ярах/. Делан дозалла а‚ Цуьнан къинхетам а шуна ца хиллехьара – шу хилла хир дара эшначарех (шу хIаллакхир дара)	ثُمَّ تَوَلَّيْتُم مِّن بَعْدِ ذَلِكَ فَلَوْلاَ فَضْلُ اللَّهِ عَلَيْكُمْ وَرَحْمَتُهُ لَكُنتُم مِّنَ الْخَاسِرِينَ
Шуна бевзира шайх шотдийнан бакъо талхийнарш. Оха цаьрга элира: 'Хила шух сийсаздина маймалаш!'	وَلَقَدْ عَلِمْتُمُ الَّذِينَ اعْتَدَواْ مِنكُمْ فِي السَّبْتِ فَقُلْنَا لَهُمْ كُونُواْ قِرَدَةً خَاسِئِينَ
Оха иза хилийтира цу заманна а‚ тIаьхьа йогIур йолчу заманна а масална а‚ /Делах/ кхоьру-чарна кхетамна а	فَجَعَلْنَاهَا نَكَالاً لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةً لِّلْمُتَّقِينَ
Дагадаийта! Мусас аьллера шен къоме: 'Баккъалла а, Дала омра до шуьга аттана урс хьакха‚ аьлла'. Цара элира: 'Ахь хьийзор дара тхо?' Цо (Мусас) элира: 'Дала ларвойла со жехIал нахах хиларх'	وَإِذْ قَالَ مُوسَى لِقَوْمِهِ إِنَّ اللّهَ يَأْمُرُكُمْ أَنْ تَذْبَحُواْ بَقَرَةً قَالُواْ أَتَتَّخِذُنَا هُزُواً قَالَ أَعُوذُ بِاللّهِ أَنْ أَكُونَ مِنَ الْجَاهِلِينَ
Цара элира: 'Деха хьайн Кхиош-кхобучуьнга‚ билгалбе тхуна и хIун етт бу‚ āлий'. Цо элира: 'Цо (Дала) боху: 'И етт бу‚ къена а боцуш‚ жима а боцуш‚ юккъера. Шайга бохург кхочушде'	قَالُواْ ادْعُ لَنَا رَبَّكَ يُبَيِّن لّنَا مَا هِيَ قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لاَّ فَارِضٌ وَلاَ بِكْرٌ عَوَانٌ بَيْنَ ذَلِكَ فَافْعَلُواْ مَا تُؤْمَرونَ
Цара элира: 'Деха хьайн Кхиош-кхобучуьнга‚ билгалде тхуна‚ бос хIун бу цуьнан‚ āлий'. Цо элира: 'Цо боху: 'И етт бу‚ сирла-можачу басахь‚ шега хьоьжурш чIогIа цецбохуш'	قَالُواْ ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا لَوْنُهَا قَالَ إِنَّهُ يَقُولُ إِنّهَا بَقَرَةٌ صَفْرَاء فَاقِعٌ لَّوْنُهَا تَسُرُّ النَّاظِرِينَ
Цара элира: 'Деха хьайн Кхиош-кхобучуьнга‚ билгалде тхуна‚ и муха бу‚ āлий. Бежнаш дерриге а вовшех тера ду тхуна. Тхо‚ Далла лаахь‚ дIанислур долуш ду'	قَالُواْ ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَ إِنَّ البَقَرَ تَشَابَهَ عَلَيْنَا وَإِنَّآ إِن شَاء اللَّهُ لَمُهْتَدُونَ
Цо элира: 'Цо (Дала) боху: 'И етт бу охана дан  я ялтанан аренна хи дилла  Iамийна а  боцуш,  айпех цIена а болуш.  ЧIама боцуш  а бу иза'. Цара элира: 'ХIинца деана ахь бакъдерг'. ТIаккха цара цунна урс хьаькхира‚ шаьш герга хиллехь а /и/ ца дан	قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لاَّ ذَلُولٌ تُثِيرُ الأَرْضَ وَلاَ تَسْقِي الْحَرْثَ مُسَلَّمَةٌ لاَّ شِيَةَ فِيهَا قَالُواْ الآنَ جِئْتَ بِالْحَقِّ فَذَبَحُوهَا وَمَا كَادُواْ يَفْعَلُونَ
Дагадаийта /хй Исраилан кнтий/: 'Аш са (адам) ма дийра. Цу тIехь вовшашца девне девлира шу'. Дела ма ву гучудоккхург аш дIахьулдеш дерг	وَإِذْ قَتَلْتُمْ نَفْساً فَادَّارَأْتُمْ فِيهَا وَاللّهُ مُخْرِجٌ مَّا كُنتُمْ تَكْتُمُونَ
ТIаккха Оха элира: 'Цу докъах тоха /аьттан/ цхьа меже'. Иштта денво Дала велларг‚ гойту шуна Шен Iаламаташ‚ шу хилийтархьама кхеташ	فَقُلْنَا اضْرِبُوهُ بِبَعْضِهَا كَذَلِكَ يُحْيِي اللّهُ الْمَوْتَى وَيُرِيكُمْ آيَاتِهِ لَعَلَّكُمْ تَعْقِلُونَ
ТIаккха цул тIаьхьа шун дегнаш къиза хилира‚ тIулг санна я цул а чIогIа шайн къизаллица. Баккъалла а, тIулгаш юккъера схьадуьйлу  шовданаш. Царех (тлгех) ду, шаьш лелха а лелхаш, шайх хи долурш а.  Баккъалла а, царех ду Делах кхерарца оьгуш дерш. Дела ма вац  тергал ца деш аш дийриг	ثُمَّ قَسَتْ قُلُوبُكُم مِّن بَعْدِ ذَلِكَ فَهِيَ كَالْحِجَارَةِ أَوْ أَشَدُّ قَسْوَةً وَإِنَّ مِنَ الْحِجَارَةِ لَمَا يَتَفَجَّرُ مِنْهُ الأَنْهَارُ وَإِنَّ مِنْهَا لَمَا يَشَّقَّقُ فَيَخْرُجُ مِنْهُ الْمَاء وَإِنَّ مِنْهَا لَمَا يَهْبِطُ مِنْ خَشْيَةِ اللّهِ وَمَا اللّهُ بِغَافِلٍ عَمَّا تَعْمَلُونَ
Шу дог дохуш ду /хIай бусалбанаш/ уьш (жуьгтий) шайх тешаш хиларе?  Хилла царах цхьаберш  Делан дош хезаш‚ тIаккха‚ шаьш цунах кхеттачул тIаьхьа‚ и харцхьадоккхуш‚ шайна хуъушехь	أَفَتَطْمَعُونَ أَن يُؤْمِنُواْ لَكُمْ وَقَدْ كَانَ فَرِيقٌ مِّنْهُمْ يَسْمَعُونَ كَلاَمَ اللّهِ ثُمَّ يُحَرِّفُونَهُ مِن بَعْدِ مَا عَقَلُوهُ وَهُمْ يَعْلَمُونَ
Шаьш ийман диллинчарна дуьхьалкхетча‚ цара олу: 'Ийман диллина ду тхо'‚– ткъа шаьш вовшашца бисча, олу: 'Аш цаьрга дуьйцур ду ткъа шайна Дала хаийтинарг цаьрга /бусулбанашка/ шайца шайн Далла гергахь долчуьнца къийсийта. Шу хIунда ца хуьлу хьекъале?'	وَإِذَا لَقُواْ الَّذِينَ آمَنُواْ قَالُواْ آمَنَّا وَإِذَا خَلاَ بَعْضُهُمْ إِلَىَ بَعْضٍ قَالُواْ أَتُحَدِّثُونَهُم بِمَا فَتَحَ اللّهُ عَلَيْكُمْ لِيُحَآجُّوكُم بِهِ عِندَ رَبِّكُمْ أَفَلاَ تَعْقِلُونَ
Царна (жуьгташна) ца хаьа-те, и  Дела цара хьулдийриг а, цара гучудоккхург а  хууш вуйла?	أَوَلاَ يَعْلَمُونَ أَنَّ اللّهَ يَعْلَمُ مَا يُسِرُّونَ وَمَا يُعْلِنُونَ
Царах бу бодане берш‚ шайна жайна (Таврат) ца хууш‚ беккъа беса сатийсамаш бен  - уьш ма бац шайна хетарш деш бен	وَمِنْهُمْ أُمِّيُّونَ لاَ يَعْلَمُونَ الْكِتَابَ إِلاَّ أَمَانِيَّ وَإِنْ هُمْ إِلاَّ يَظُنُّونَ
