Моя история	Сара сҭоурых
И весь город собрался к дверям.	Ақалақь шынеибакыз ишә иадеизалт.
И он исцелил многих, страдавших различными болезнями; изгнал многих бесов, и не позволял бесам говорить, что они знают, что он христос.	Иара иеиуеиԥшым ачымазарақәа зыхьуаны иҟаз шьардаҩы еибгеитәит; жәпаҩы ирылаз аҩысҭаацәа рылицеит, урҭ христос иакәны дшыҟаз аҳәара иақәиҭитәуамызт.
А утром, встав весьма рано, вышел и удалился в пустынное место, и там молился.	Ашьжьымҭан, ашара дацгыланы иҿынеихан, ацәҳәырахь дцеит, убраҟа дныҳәауан.
Симон и бывшие с ним пошли за ним	Симони егьырҭ ицқәази ишьҭалт.
И, найдя его, говорят ему: все ищут тебя.	Дшаарбаз аиԥш, иарҳәоит: зегьы уара иушьҭоуп.
Он говорит им: пойдем в ближние селения и города, чтобы мне и там проповедывать, ибо я для того пришел.	Иара ус реиҳәоит: шәаала, ааигәатәи ақыҭақәеи ақалақьқәеи рахь, убраҟагьы суазҳәаларазы, избанзар убри азоуп сара сзааз.
И он проповедывал в синагогах их по всей галилее и изгонял бесов.	Дуазҳәауан уи галилеиаа рсинагогақәа зегьы рҿы, аҩысҭаацәагьы рылицон.
Приходит к нему прокаженный и, умоляя его и падая пред ним на колени, говорит ему: если хочешь, можешь меня очистить.	Дааиуеит ацәеилабааратә чмазара змаз аӡәы, уи, иара диҳәауа, иҿаԥхьа дшьамхнышыланы абас аиԥш иеиҳәоит: иуҭахызар сцәацқьатәра улшоит;
Иисус, умилосердившись над ним, простер руку, коснулся его и сказал ему: хочу, очистись.	Иисус, уи дрыцҳашьаны, инапы ҩеиҵыхны инаихьирсын, иеиҳәоит: исҭахуп, уцқьахааит.
После сего слова проказа тотчас сошла с него, и он стал чист.	Абри ажәа ашьҭахь, ицәеилабаара дналҵын, дыцқьашәқьаӡа дҟалеит.
И, посмотрев на него строго, тотчас отослал его	Нас, лаԥшы џьбарала днаихәаԥшын, доуишьҭит,
И сказал ему: смотри, никому ничего не говори, но пойди, покажись священнику и принеси за очищение твое, что повелел моисей, во свидетельство им.	Абас аиԥш иаҳәаны: аҳаҳи, абри аӡбахәала аӡә ак иоумҳәан; аха уцаны аԥшьаҩ уҽирба, моисеи ишақәиҵахьоу аиԥш, учымазара ушалгаз шаҳаҭра азуразы умҭа наг.
А он, выйдя, начал провозглашать и рассказывать о происшедшем, так что иисус не мог уже явно войти в город, но находился вне, в местах пустынных.	Иара дышдәылҵыз аиԥш, аҳәара далагеит иҟалаз шыҟалаз атәы, абри иахҟьаны, иисус аргама ақалақь дзаламло дҟалеит, – дыҟан уи анҭыҵ, ацәҳәырақәа рҿы.
И приходили к нему отовсюду.	Зегьынџьарантә ауаа изнеиуан.
Через несколько дней опять пришел он в капернаум; и слышно стало, что он в доме.	Мышқәак анаабжьыс, уи ҩаԥхьа капернаумҟа дааит; ираҳауа иалагеит аҩны дшахыз.
Тотчас собрались многие, так что уже и у дверей не было места; и он говорил им слово.	Иаразнак шьардаҩы еизеит, ашә аҿгьы уаҩы шьапыргыларҭа имоуа; иара иажәа рылаирҵәон.
И пришли к нему с расслабленным, которого несли четверо;	Ус дааргеит иара иҿы кәадаӡак, ԥшьҩы-уаак иҵагыланы;
И, не имея возможности приблизиться к нему за многолюдством, раскрыли кровлю дома, где он находился, и, прокопав ее, спустили постель, на которой лежал расслабленный.	Ауаа рацәа ахьыҟаз иахҟьаны, иааигәара ианзымнеи, дзыҩназ аҩны ахыб шәаны, икылжәаны, аԥсыҽ дызныз ииара лбаарышьҭит.
Иисус, видя веру их, говорит расслабленному: чадо!	Иисус, урҭ ирымаз азхаҵара азгәаҭауа, акәада иеиҳәоит: аҷкәын!
Прощаются тебе грехи твои.	Иумоу агәнаҳарақәа зегьы узҩоит.
Тут сидели некоторые из книжников и помышляли в сердцах своих:	Араҟа ашәҟәдырҩцәа иреиуаз шьоук тәан, урҭ ргәы абас аиԥш ҭырҳәаауан:
Что он так богохульствует?	Абри абас анцәа дышԥаирџьои?
Кто может прощать грехи, кроме одного бога?	Анцәа заҵәык ида агәнаҳахыхра зылшарыда?
Иисус, тотчас узнав духом своим, что они так помышляют в себе, сказал им: для чего так помышляете в сердцах ваших?	Иисус аҟыԥҳәа идоуҳала урҭ ас ишхәыцуаз анидыр, иреиҳәоит: иарбан, шәгәы абри аҩыза зҭышәҳәаауа?
Но чтобы вы знали, что сын человеческий имеет власть на земле прощать грехи, – говорит расслабленному:	Аха шәарҭ ижәдыруазааит ауаҩытәыҩса иԥа адгьыл аҿы агәнаҳарақәа ранажьра алшара шимоу, – нас акәада иеиҳәоит:
Тебе говорю: встань, возьми постель твою и иди в дом твой.	Уара уоуп изасҳәо: угыл, уиара аашьҭыхны уҩныҟа уҿынаха.
Он тотчас встал и, взяв постель, вышел перед всеми, так что все изумлялись и прославляли бога, говоря: никогда ничего такого мы не видали.	Иаргьы иаразнак дҩагылт, ииара иманы, зегь ишырбауаз дындәылҵит, урҭ зегьы, ари рзымбатәбараха анцәа ддырдууан, абас аиԥш ҳәауа: ҳарҭ бзанҵык абри аҩыза ҳамбацт.
И вышел иисус опять к морю; и весь народ пошел к нему, и он учил их.	Иисус ҩаԥхьа амшын агаҿахь дцәырҵит; ажәлар зегьы иара ишҟа рҿынархеит, иара идирҵауан.
Проходя, увидел он левия алфеева, сидящего у сбора пошлин, и говорит ему: следуй за мною.	Диасны дышцоз, уи алфеи иԥа леви аҳазылхырҭаҿ дыштәаз ибеит, абасгьы иеиҳәоит: усышьҭаланы уҿааха.
И он, встав, последовал за ним.	Уи дҩагыланы иара днаишьҭалт.
И когда иисус возлежал в доме его, возлежали с ним и ученики его и многие мытари и грешники: ибо много их было, и они следовали за ним.	Иисус уи иҩны аишәа дахьахатәаз ицахатәан иҵаҩцәеи, аҳазылхыҩцәеи, агәнаҳа змази шьардаҩы; урҭ рацәаҩын, дара зегьы иара ихьыԥшын.
Книжники и фарисеи, увидев, что он ест с мытарями и грешниками, говорили ученикам его: как это он ест и пьет с мытарями и грешниками?	Уи аҳазылхыҩцәеи агәнаҳа змази дрыдтәаланы акыршифоз збоз афарисеицәа, иҵаҩцәа ирарҳәоит: аҳазылхыҩцәеи агәнаҳа змоуи дрыдтәаланы акыршԥарыцифои-мшәан?
Услышав сие, иисус говорит им: не здоровые имеют нужду во враче, но больные; я пришел призвать не праведников, но грешников к покаянию.	Ари заҳаз иисус урҭ абас реиҳәоит: аҳақьым дызҭаху згәы бзиоу ракәӡам, ичмазаҩцәоу роуп; сара сзааз аиашақәа ракәымкәа, агәнаҳарақәа ирыҵоу ахьхәрахьы срыԥхьарц ауп.
Ученики иоанновы и фарисейские постились.	Иоанни афарисеицәеи рҵаҩцәа чгауан.
Приходят к нему и говорят: почему ученики иоанновы и фарисейские постятся, а твои ученики не постятся?	Иара иҟны инеины ирҳәоит: иоанни афарисеицәеи рҵаҩцәа ачгара иаҿуп, уара уҵаҩцәа зымчгауазеи?
И сказал им иисус: могут ли поститься сыны чертога брачного, когда с ними жених?	Иисус иреиҳәоит: аимазааратә чара иалахәу ачгара изалагарыма амаҳә ианидтәалоу аамҭазы?
Доколе с ними жених, не могут поститься,	Амаҳә дара дрыцҟанаҵы урҭ зычгом;
Но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни.	Аха иаашт аԥҳәысҳәаҩ данрымыххаша аамҭа, урҭ амшқәа раан ичгалап.
Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже.	Амаҭәажә аӡәгьы аҿыц ақәиршәуам: ас иҟоу ақәыршә ажә амаԥнажәоит, акылжәасҭагьы еицәахоит.
Никто не вливает вина молодого в мехи ветхие: иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут; но вино молодое надобно вливать в мехи новые.	Аҩ-ҿа аӡәгьы аҳаҭажәқәа ирҭеиҭәауам: аҩ-ҿа аҳаҭақәа ԥнажәоит, аҩгьы каҭәоит, аҳаҭақәагьы ԥхасҭахоит; аҩ-ҿа аҳаҭа ҿыцқәа ирҭарҭәоит.
И случилось ему в субботу проходить засеянными полями, и ученики его дорогою начали срывать колосья.	Зны, сабшак аҽны, амхурсҭақәа дрылсны дцон, иҵаҩцәа амҩан ачахәҵәқәа хырыжәжәауа иалагеит.
И фарисеи сказали ему: смотри, что они делают в субботу, чего не должно делать?	Афарисеицәа ирҳәоит: иумбои, урҭ асабшаҽны иҟаҵатәым шыҟарҵауа?
Он сказал им: неужели вы не читали никогда, что сделал давид, когда имел нужду и взалкал сам и бывшие с ним?	Иара ираҭеикуеит: мшәан шәарҭ бзанҵык шәамыԥхьаӡаци, давид ицқәази иареи ангәаҟ, ианымлашь, ииуз?
Как вошел он в дом божий при первосвященнике авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?	Аԥхьаԥшьаҩы авиафар ихаан анцәа иҩны дыҩналаны ԥшьаҩымзар уаҩы ифараны иҟамлоз амҭа-чақәа иаргьы ишифаз, иҩызцәагьы ишриҭаз?
И сказал им: суббота для человека, а не человек для субботы;	Иреиҳәеит урҭ: ауаҩы асабшазы акәым дзыҟоу, асабша ауаҩы изы ауп изаԥу;
Посему сын человеческий есть господин и субботы.	Убри аҟнытә ауаҩытәыҩса иԥа асабшагьы дақәиҭуп.
И пришел опять в синагогу; там был человек, имевший иссохшую руку.	Ҩаԥхьа асинагогаҿ дааит; уаҟа знапы ҩаз аӡә дыҟан.
И наблюдали за ним, не исцелит ли его в субботу, чтобы обвинить его.	Ишьклаԥшуан иара, асабшаҽны ахәышәтәра далагозар ҳбап ҳәа, аара идҵара рҭахны.
Он же говорит человеку, имевшему иссохшую руку: стань на средину.	Иара анапыхьарџь иеиҳәоит: агәҭаны уҩагыл.
А им говорит: должно ли в субботу добро делать, или зло делать?	Егьырҭ рахь иҳәоит: иҟаҵатәузеи асабшаҽны: абзиара акәу, ацәгьара акәу?
Душу спасти, или погубить?	Аԥсы ҿыхтәу, мамзаргьы иҭархатәу?
Но они молчали.	Аха дара ҿырҭуамызт.
И, воззрев на них с гневом, скорбя об ожесточении сердец их, говорит тому человеку: протяни руку твою.	Иԥсахы еибакуа, урҭ ргәымбылџьбарара дназыԥшны, абри ауаҩ иеиҳәоит: унапы ҩеиҵых.
Он протянул, и стала рука его здорова, как другая.	Уи инапы ҩеиҵихит, егьбзиахеит, егьи аиԥш.
Фарисеи, выйдя, немедленно составили с иродианами совещание против него, как бы погубить его.	Афарисеицәа ҩдәылҵын, иаарласны иродианааи дареи ҭархашьас иҭатәу азы иеилацәажәоит.
Но иисус с учениками своими удалился к морю; и за ним последовало множество народа из галилеи, иудеи,	Аха иисус иҵаҩцәа иманы амшын агаҿахь дцеит; галилеиа, иудеиа,
Иерусалима, идумеи и из‑за иордана.	Иерусалим, идумеиа, иордан-нырцәынтә уҳәа руааԥсыра шьардаҩгьы уахь инаишьҭалт.
И живущие в окрестностях тира и сидона, услышав, что он делал, шли к нему в великом множестве.	Убас тири сидони иахьрыҵанакуаз, иҟаиҵақәоз ртәы заҳаз, ҵҩа змам ажәлар иара иахь ихыҵит.
И сказал ученикам своим, чтобы готова была для него лодка по причине многолюдства, дабы не теснили его.	Иҵаҩцәа иреиҳәоит ашхәа издырхиаразы, ажәлар ахьырацәаз аҟнытә иара идеибагәало иаламгаразы.
Ибо многих он исцелил, так что имевшие язвы бросались к нему, чтобы коснуться его.	Шьардаҩы уаҟа ихәышәтәит, ахҭәасааратә чмазарақәа змаз иара иахь иеихон, иара ихьысразы.
И духи нечистые, когда видели его, падали пред ним и кричали: ты сын божий.	Иԥсыцқьақәамыз иара данырбалакь, иҿаԥхьа асаара рыҽкарыжьуан, еибарҳәҳәон абас: уара – анцәа уиԥоуп.
Но он строго запрещал им, чтобы не делали его известным.	Аха иара иӡбахә аҳәара, деицырдыруа иҟалара ӷәӷәала иақәиҭитәуамызт.
Потом взошел на гору и позвал к себе, кого сам хотел; и пришли к нему.	Нас, ашьхарахь дҩыхәнан, иара ииҭахқәаз дҩарыԥхьеит; иагьнеит иара иахь.
И поставил из них двенадцать, чтобы с ним были и чтобы посылать их на проповедь,	Жәаҩаҩык ықәиргылт, иара ицҟазааразы, уазҳәара ишьҭларазы,
И чтобы они имели власть исцелять от болезней и изгонять бесов;	Урҭ ачымазарақәа рылыргара, аҩысҭаацәа рылцара рылзыршо амчра рыҭаразы:
Поставил симона, нарекши ему имя петр,	Симон, пиотр ҳәа зыхьӡиҵаз;
Иакова зеведеева и иоанна, брата иакова, нарекши им имена воанергес, то есть «сыны громовы»,	Иаков зеведеи иԥеи, иаков иашьа иоанни, воанергес ҳәа хьӡысгьы ирыҭаны, ари иаанаго «афы» ахшара ҳәа ауп;
Андрея, филиппа, варфоломея, матфея, фому, иакова алфеева, фаддея, симона кананита	Андреи, филипп, варфоломеи, матфеи, фома, иаков алфеи иԥа, фаддеи, симон кананит,
И иуду искариотского, который и предал его.	Иара убас дызҭиз иуда искариот.
Приходят в дом; и опять сходится народ, так что им невозможно было и хлеба есть.	Ҩнык аҿы иааит; ҩаԥхьа ажәлар рыдеизалт, ача афахаҵәҟьа роуамызт.
И, услышав, ближние его пошли взять его, ибо говорили, что он вышел из себя.	Ари анраҳа, иара иҭахцәа дыргаразы инеит, избан акәзар уи деилашәаны дыҟоуп рҳәон.
А книжники, пришедшие из иерусалима, говорили, что он имеет в себе веельзевула и что изгоняет бесов силою бесовского князя.	Иерусалимнтәи иааз ашәҟәдырыҩцәа ракәзар, веельзевул дихоуп, аҩысҭаацәа аҩысҭаацәа раҳ имчала ирхицоит ҳәа изырҳәон.
И, призвав их, говорил им притчами: как может сатана изгонять сатану?	Урҭ даарыԥхьаны, ажәамаанала иреиҳәон: аџьныш аџьныш дышԥаԥхаиҵои?
Если царство разделится само в себе, не может устоять царство то;	Ҩнуҵҟала иеиҟәшахаз аҳра аҳрак аҳасабала изышьақәгылом.
И если дом разделится сам в себе, не может устоять дом тот;	Ҩнуҵҟала еиҟәшахаз аҩнаҭагьы ҩнаҭаны изеиқәхом;
И если сатана восстал на самого себя и разделился, не может устоять, но пришел конец его.	Аџьныш ихы дачычар, иҽеиҩишар, ҽеиқәырхашьа имам, инҵәара ааит.
Никто, войдя в дом сильного, не может расхитить вещей его, если прежде не свяжет сильного, и тогда расхитит дом его.	Аӷәӷәа иҩны иҩналаз дарабанзаалакь, уи имаҭәақәа ҩдәылҳәаны изгом, раԥхьа убри аӷәӷәа дҿеимҳәакәа, нас ауп иҩны анирҳәуа.
Истинно говорю вам: будут прощены сынам человеческим все грехи и хуления, какими бы ни хулили;	Иаша-ҵабыргла ишәасҳәоит: ауааԥсыра иреиуоу гәнаҳарас, рџьарас ирымоу арбанзаалакь ранажьхар алшоит;
Но кто будет хулить духа святаго, тому не будет прощения вовек, но подлежит он вечному осуждению.	Аха аԥсы цқьа ирџьара бзанҵык аӡәгьы ианажьхом, уи наӡаӡа иқәыӡбахоит.
Сие сказал он, потому что говорили: в нем нечистый дух.	Иара абри иҳәеит, избан акәзар изырҳәауан: уи аԥсымыцқьа дилоуп.
И пришли матерь и братья его и, стоя вне дома, послали к нему звать его.	Абри аамҭазы иани иашьцәеи ааны аҩны анҭыҵ игылан, уаҩ дизырышьҭит, иԥхьаразы.
Около него сидел народ.	Иааигәара ажәлар тәан.
И сказали ему: вот, матерь твоя и братья твои и сестры твои, вне дома, спрашивают тебя.	Иарҳәоит абас: абар, уара уани, уара уашьцәеи, уара уаҳәшьцәеи адәны игылоуп урыԥшаауеит.
И отвечал им: кто матерь моя и братья мои?	Иара ираҭеикуеит: дызусҭада сан, изусҭцәада сашьцәа?
И обозрев сидящих вокруг себя, говорит: вот матерь моя и братья мои;	Икәша итәаз илаԥш нарзырханы иҳәоит: абар, сара исану, абар сара исашьцәоу;
Ибо кто будет исполнять волю божию, тот мне брат, и сестра, и матерь.	Анцәа игәаҳәара назыгӡо дарбанзаалакь сара дсашьоуп, дсаҳәшьоуп, дсануп.
И опять начал учить при море; и собралось к нему множество народа, так что он вошел в лодку и сидел на море, а весь народ был на земле, у моря.	Иисус ҩаԥхьа амшын хықә аҟны дырҵара далагт; ауаа жәпаҩны ианидеизала, ашхәа дҩақәтәаны амшын дыҽԥықәгылт, ажәлар зегьы иҿаԥхьа иӡхықәгылан.
И учил их притчами много, и в учении своем говорил им:	Шьарда ажәамаанала идирҵауан, иҵараҿы абас аиԥш реиҳәон:
Слушайте: вот, вышел сеятель сеять;	Шәӡырҩла: абар, ажәлаҟьаҩ ажәлаҟьаразы дҭыҵит;
И, когда сеял, случилось, что иное упало при дороге, и налетели птицы и поклевали то.	Ажәла аниҟьоз аамҭазы, жәлацқәак амҩа иҩаншәалеит, аҵарақәа аахаԥырны ирфеит.
Иное упало на каменистое место, где немного было земли, и скоро взошло, потому что земля была неглубока;	Даҽа жәлацқәак иахьхаҳәраз, анышә ахьмаҷыз аҭыԥ аҿы икаԥсеит, лассгьы иқәыҳәҳәы иааит, избанзар анышә жәпамызт;
Когда же взошло солнце, увяло и, как не имело корня, засохло.	Амра анҩыҵхаха, иканӡеит, иҩеит, дац-ԥашә ахьрымамыз аҟнытә;
Иное упало в терние, и терние выросло, и заглушило семя, и оно не дало плода.	Жәлацқәак амаӷра илашәеит, амаӷра ианазҳа, арыц-жәла иҩахаԥан иахәаҽит, ҽаҩрагьы рзаамышьҭит.
И иное упало на добрую землю и дало плод, который взошел и вырос, и принесло иное тридцать, иное шестьдесят, и иное сто.	Ҽа жәлацқәак анышә бзиара иакәшәан, иҩагылт, ирызҳаит, ҩажәижәабантә, хынҩажәантә, шәынтә рыла еиҳаны аҽаҩра аарышьҭит.
И сказал им: кто имеет уши слышать, да слышит!	Иагьреиҳәеит: алымҳақәа зманы иҟоу, ак заҳауа, иаҳааит!
Когда же остался без народа, окружающие его, вместе с двенадцатью, спросили его о притче.	Ажәлар анықәҵ, икәшаны иҟази иҵаҩцәа ажәаҩаҩыки ажәамааназы иазҵааит.
И сказал им: вам дано знать тайны царствия божия, а тем внешним все бывает в притчах;	Иреиҳәоит абас: шәара анцәа иаҳра амаӡа шәзаатуп, егьырҭ, анасҭхақәа рзы, зегьы ажәамаанала ауп ишыҟоу.
Так что они своими глазами смотрят, и не видят; своими ушами слышат, и не разумеют, да не обратятся, и прощены будут им грехи.	Урҭ рыблақәа рыла иԥшуеит, аха ирбауам; рлымҳақәа рыла ираҳауеит, аха ирзеилкауам, рыгәнаҳарақәа рызҩарацгьы ихьаҳәуам.
И говорит им: не понимаете этой притчи?	Иагьреиҳәоит: абри ажәамаана зызҳәоу шәзеилымкааӡои?
Как же вам уразуметь все притчи?	Нас егьырҭ ажәамаанақәа зегьы зызку злеилышәкаарызеи?
Сеятель слово сеет.	Ажәлаҟьаҩ ажәа лаиҵоит.
Посеянное при дороге означает тех, в которых сеется слово, но к которым, когда услышат, тотчас приходит сатана и похищает слово, посеянное в сердцах их.	Амҩаҟны илаҵоу зызҳәоу – ажәа ззылаҵоу роуп, урҭ уи атәы раҳаит иара анылаҵахоз, аҩысҭаа днеины ргәы-рыԥсаҿы илаҵоу ажәа иӷьычуеит.
Подобным образом и посеянное на каменистом месте означает тех, которые, когда услышат слово, тотчас с радостью принимают его,	Убри аиԥш, ахаҳәраҿы илаҵоугьы зызҳәоу, – ажәа шаараҳалакь, иеигәырӷьаны иаԥылауа, издызкылауа роуп,
Но не имеют в себе корня и непостоянны; потом, когда настанет скорбь или гонение за слово, тотчас соблазняются.	Аха рыҩнуҵҟа дац-ԥашә рымам, еснагьтәқәам, нас, алахьеиқәра анцәырҵлакь, мамзаргьы ажәазы иԥхадырсуа ианалагалакь, иаразнак иҩашьоит.
Посеянное в тернии означает слышащих слово,	Амаӷраҿ илаҵоу змааноу ажәа заҳауа роуп,
Но в которых заботы века сего, обольщение богатством и другие пожелания, входя в них, заглушают слово, и оно бывает без плода.	Аха ари адунеи есааиратәи аҭахрақәа рҭаар, абеиара ихнахыр, егьырҭ агәаҳәарақәа иртәыртәыр, ираҳаз ажәа хәаҽхоит, ҽаҩра азаашьҭуам.
А посеянное на доброй земле означает тех, которые слушают слово и принимают, и приносят плод, один в тридцать, другой в шестьдесят, иной во сто крат.	Адгьыл бзиаҿ илаҵоу рызҳәоуп ажәа иазыӡырҩуа, издыркыло ауаа, акы ҩажәижәабаны, егьи хынҩажәаны, даҽакы шәкны иаззырҳауа.
Нет ничего тайного, что не сделалось бы явным, и ничего не бывает потаенного, что не вышло бы наружу.	Иаргамамхауа маӡа ыҟаӡам; адәахьы имааԥшышьагьы ҵәахтә зыҟалом.
Если кто имеет уши слышать, да слышит!	Алымҳақәа зманы иҟоу, ак заҳауа, иаҳааит!
И сказал им: замечайте, что слышите: какою мерою мерите, такою отмерено будет вам и прибавлено будет вам, слушающим.	Иреиҳәоит дара: игәнышәкылала ишәаҳауа: излашәшәауа ала ишәзыршәоит, иагьшәзацырҵоит иӡырҩуа.
Ибо кто имеет, тому дано будет, а кто не имеет, у того отнимется и то, что имеет.	Избан акәзар измоу иеиҭаиауеит, измам – имоугьы имыххоит.
И сказал: царствие божие подобно тому, как если человек бросит семя в землю,	Иҳәоит: анцәа иаҳра – ауаҩы адгьыл аҟны ииҟьауа ажәла иаҩызоуп,
И спит, и встает ночью и днем; и как семя всходит и растет, не знает он,	Дыцәоуп, уахынла, ҽынла дгылоит, аамҭа цоит, ажәла шаауа, ишазҳауа издырам, –
Ибо земля сама собою производит сперва зелень, потом колос, потом полное зерно в колосе.	Избан акәзар адгьыл иара ахала аеҵәара еибнаҭоит, арыц ылнахуеит, ишәуеит;
Когда же созреет плод, немедленно посылает серп, потому что настала жатва.	Ишышәра ианышәлакь, имагана ҩазикуеит, избанзар аҭагалара аамҭа ааит.
И сказал: чему уподобим царствие божие?	Иреиҳәоит дара: изеиԥшаҳтәрызеи анцәа иаҳра?
Или какою притчею изобразим его?	Мамзаргьы иарбан ажәамааноу уи зеиԥшу злааҳарԥшуа?
Оно – как зерно горчичное, которое, когда сеется в землю, есть меньше всех семян на земле;	Уи анылауҵо адгьыл аҿы зегь реиҳа иссоу абаџ жәла иеиԥшуп;
А когда посеяно, всходит и становится больше всех злаков, и пускает большие ветви, так что под тенью его могут укрываться птицы небесные.	Аха ианыларҵалакь, ианаалакь ачарыц жәлақәа зегьы раҵкыс еиҳаны аҽеибнаҭоит, амахә дуқәа ашьҭуеит, урҭ рышәшьыраҟны жәҩантәи аԥсаа рҽырҵәахыр алшоит;
И таковыми многими притчами проповедывал им слово, сколько они могли слышать.	Абри иеиԥшқәаз ажәамаанақәа рыла ажәала дуазҳәауан, заҟа раҳарц рылшоз аҟара;
Без притчи же не говорил им, а ученикам наедине изъяснял все.	Урҭ – ажәамаанада драцәажәомызт, аҵаҩцәа рымала, хазы, изызҳәаз реилиркаауан.
Вечером того дня сказал им: переправимся на ту сторону.	Иара убри аҽынтәи ахәылԥаз аан урҭ иреиҳәоит: нырцәҟа ҳарып.
И они, отпустив народ, взяли его с собою, как он был в лодке; с ним были и другие лодки.	Дара, ажәлар аурышьҭын, дызҭатәаз ишхәала агаҿа инаԥырҵит; иара егьырҭ ашхәақәагьы ицын.
И поднялась великая буря; волны били в лодку, так что она уже наполнялась водою.	Ус афарҭын ӷәӷәа ҵасит; ацәқәырԥақәа ашхәа иасуан, ӡыла идырҭәуан,
А он спал на корме на возглавии.	Иара – аԥсҟы азааигәара ахчныза ихы ықәҵаны дыцәан.
Его будят и говорят ему: учитель!	Уи даарҿыханы иарҳәоит: арҵаҩы!
Неужели тебе нужды нет, что мы погибаем?	Мшәан ҳара ҳҭахара гәхьаас иумаӡами?
И, встав, он запретил ветру и сказал морю: умолкни, перестань.	Дҩагылан, аԥшасра иақәиҭимтәит, амшынгьы иазиҳәеит: ҿумҭын, уҽеиқәк!
И ветер утих, и сделалась великая тишина.	Аԥшагьы тәеит, ауразоуроу аҭынчра ду иамҽханакит.
И сказал им: что вы так боязливы?	Иреиҳәеит дара: шәызшәоузеи абас?
Как у вас нет веры?	Ахаҵара зшәымамзеи?
И убоялись страхом великим и говорили между собою: кто же сей, что и ветер и море повинуются ему?	Мыцхәы шәаӡыӡараны ирысит, аӡәи-аӡәи еизҵаауан: дарбану абри, аԥшагьы амшынгьы зыххәыцуа?
И пришли на другой берег моря, в страну гадаринскую.	Инеит мшын нырцә – гадарынтәыла.
И когда вышел он из лодки, тотчас встретил его вышедший из гробов человек, одержимый нечистым духом,	Ашхәа дышҩақәҵыз аиԥш, адамрақәа иаарҭыҵны иаауаз, аԥсымыцқьа зхаз уаҩык диԥылт.
Он имел жилище в гробах, и никто не мог его связать даже цепями,	Уи адамрақәа рҟны ԥхьарҭас иман; даҷлагьы уаҩы дизԥахуамызт;
Потому что многократно был он скован оковами и цепями, но разрывал цепи и разбивал оковы, и никто не в силах был укротить его;	Акырынтәгьы шьамҭлаҳәлеи ҳәагәыжьлеи дҿарҳәахьан, аха ашьамҭлаҳәқәа ԥиххаауан, аҳәагәыжьқәагьы цҟьа-шәҟьа иқәиҵон; уаҩы дизеиқәкуамызт;
Всегда, ночью и днем, в горах и гробах, кричал он и бился о камни;	Еснагь, уахгьы-ҽынгьы, ашьхақәа рҿы, адамрақәа рҿы дҟаауан, ахаҳә иҽаниҟьон.
Увидев же иисуса издалека, прибежал и поклонился ему,	Харантә, иисус дшааибаз, днаидххыланы днаиеихырхәан,
И, вскричав громким голосом, сказал: что тебе до меня, иисус, сын бога всевышнего?	Нас, бжьы ӷәӷәала дныҩнаҵәаан, ҿааиҭит: иуҭахузеи, сара сҟны, зегьы ирхаку анцәа иԥа?
Заклинаю тебя богом, не мучь меня!	Анцәа дсыманы суҳәоит, сумыргәаҟын!
Ибо иисус сказал ему: выйди, дух нечистый, из сего человека.	Избанзар иисус иҳәеит: аԥсымыцқьа, абри ауаҩ уилҵ.
И спросил его: как тебе имя?	Диазҵааит иара: иухьӡузеи?
И он сказал в ответ: легион имя мне, потому что нас много.	Иара аҭак ииҭоит: алегион ауп сыхьӡ, избан акәзар ҳара ҳрацәаҩуп.
И много просили его, чтобы не высылал их вон из страны той.	Мыцхәы иҳәауан убратәи атәыла иалимцаразы.
Паслось же там при горе большое стадо свиней.	Убра, ашьхара ашьапаны, иҳәуан ҳәа гәарҭак.
И просили его все бесы, говоря: пошли нас в свиней, чтобы нам войти в них.	Аҩысҭаацәа зегьы абас аиԥш ала иҳәон: аҳәақәа рахь ҳашьҭы, ҳархаларазы.
Пасущие же свиней побежали и рассказали в городе и в деревнях.	Аҳәахьшьцәа ҩеибарсны рҿынархеит, иҟалаз ақалақьи ақыҭақәеи рҿы ирҳәеит.
И жители вышли посмотреть, что случилось.	Ауааԥсырагьы уи абаразы иҭыҵт.
Приходят к иисусу и видят, что бесновавшийся, в котором был легион, сидит и одет, и в здравом уме; и устрашились.	Иисус иҟны ианааи, легионк аҩысҭаацәа зхаз деилаҳәаны, ихыитәны, деибга-деизҩыда дыштәаз рбеит; иагьшәеит.
Видевшие рассказали им о том, как это произошло с бесноватым, и о свиньях.	Избаз иеиҭарҳәеит, аҩысҭаа дызхаз дшыҟалази аҳәақәа ирыхьызи.
И начали просить его, чтобы отошел от пределов их.	Нас иара иҳәауа иалагеит, рҳәаақәа аанижьразы.
И когда он вошел в лодку, бесновавшийся просил его, чтобы быть с ним.	Ашхәа данҭала, ԥаса аҩысҭаа дызхаз диҳәеит иара дицзааразы.
Но иисус не дозволил ему, а сказал: иди домой к своим и расскажи им, что сотворил с тобою господь и как помиловал тебя.	Аха иисус уи дақәиҭымтәкәа иеиҳәоит: уҩныҟа, уҭахцәа рахь уца, ираҳә иуқәиҭу иузиуз, ушрыцҳаишьаз.
